discharge,datetime
3753.4652416529134,2013-01-01
3677.2455047822655,2013-01-02
3670.351733358466,2013-01-03
3629.112764250171,2013-01-04
3526.943944053865,2013-01-05
3439.472772950887,2013-01-06
3399.438844698634,2013-01-07
3458.49,2013-01-08
3412.7597881022707,2013-01-09
3432.785642081499,2013-01-10
3406.09635311501,2013-01-11
3339.788137119726,2013-01-12
3287.168982425862,2013-01-13
3280.6183318593903,2013-01-14
3300.2881191159754,2013-01-15
3287.168982425862,2013-01-16
3261.002064076768,2013-01-17
3343.4125000000004,2013-01-18
3247.954299514812,2013-01-19
3320.0113970865045,2013-01-20
3333.189951976941,2013-01-21
3300.2881191159754,2013-01-22
3261.002064076768,2013-01-23
3215.4390662467317,2013-01-24
3208.953887319076,2013-01-25
3228.427295064461,2013-01-26
3247.954299514812,2013-01-27
3293.7255785331167,2013-01-28
3287.168982425862,2013-01-29
3228.427295064461,2013-01-30
3150.8555365304373,2013-01-31
3093.24061283325,2013-02-01
3042.4338362056947,2013-02-02
2979.464267780284,2013-02-03
3023.48005056291,2013-02-04
3118.7875120514545,2013-02-05
3033.8025000000002,2013-02-06
2966.9422977220656,2013-02-07
2948.2043499024853,2013-02-08
2998.2922074153153,2013-02-09
3036.109919116527,2013-02-10
3048.7637403422605,2013-02-11
3080.5030276303332,2013-02-12
3157.287050491688,2013-02-13
3157.287050491688,2013-02-14
3163.724531584982,2013-02-15
3183.0727667363776,2013-02-16
3202.474666820546,2013-02-17
3202.474666820546,2013-02-18
3393.5075,2013-02-19
3241.4393446376557,2013-02-20
3215.4390662467317,2013-02-21
3138.010414382278,2013-02-22
3093.24061283325,2013-02-23
3067.789363855934,2013-02-24
3004.580178642671,2013-02-25
2849.181993990846,2013-02-26
2781.9981778249976,2013-02-27
2739.624972811954,2013-02-28
2697.5479120041014,2013-03-01
2655.7674078504683,2013-03-02
2667.674409657839,2013-03-03
2890.1900000000005,2013-03-04
2794.159144406402,2013-03-05
2843.044238502114,2013-03-06
2861.4755712455662,2013-03-07
2849.181993990846,2013-03-08
2824.6671186106005,2013-03-09
2910.8905934203312,2013-03-10
2929.5204381688495,2013-03-11
2910.8905934203312,2013-03-12
2873.7932291022544,2013-03-13
2892.314846681299,2013-03-14
2867.631390680447,2013-03-15
2929.5204381688495,2013-03-16
2985.7342508526613,2013-03-17
3004.580178642671,2013-03-18
3250.055,2013-03-19
3118.7875120514545,2013-03-20
3125.1891739111156,2013-03-21
3093.24061283325,2013-03-22
3061.4415052839504,2013-03-23
3067.789363855934,2013-03-24
3086.8688306084036,2013-03-25
3125.1891739111156,2013-03-26
3163.724531584982,2013-03-27
3131.5968083880207,2013-03-28
3099.618373196342,2013-03-29
3112.391823910362,2013-03-30
3106.0021105905907,2013-03-31
3125.1891739111156,2013-04-01
3118.7875120514545,2013-04-02
2985.7342508526613,2013-04-03
2849.181993990846,2013-04-04
2667.674409657839,2013-04-05
2578.9632498465817,2013-04-06
2673.6369985200954,2013-04-07
2881.2174999999997,2013-04-08
2763.8019965516605,2013-04-09
2812.4458392107367,2013-04-10
2769.8613529146724,2013-04-11
2709.539686607841,2013-04-12
2715.544649147283,2013-04-13
2679.6056443993666,2013-04-14
2655.7674078504683,2013-04-15
2602.4860443390753,2013-04-16
2561.384954828805,2013-04-17
2538.0323599058424,2013-04-18
2451.327963258108,2013-04-19
2399.964334843715,2013-04-20
2468.559099807793,2013-04-21
2758.5525000000002,2013-04-22
2655.7674078504683,2013-04-23
2721.555660239022,2013-04-24
2898.50074945077,2013-04-25
3106.0021105905907,2013-04-26
3339.788137119726,2013-04-27
3547.2714732951345,2013-04-28
3520.179915656132,2013-04-29
3499.9232887894027,2013-04-30
3466.280499850867,2013-05-01
3372.868097615911,2013-05-02
3287.168982425862,2013-05-03
3280.6183318593903,2013-05-04
3287.168982425862,2013-05-05
3399.438844698634,2013-05-06
3649.7057443770327,2013-05-07
3760.4295785654153,2013-05-08
3893.86694281327,2013-05-09
3908.0360648973237,2013-05-10
3964.9466275842537,2013-05-11
4312.045,2013-05-12
4015.0503101181594,2013-05-13
4233.017376456184,2013-05-14
4486.368808572139,2013-05-15
4607.90776720328,2013-05-16
4638.523352757907,2013-05-17
4684.619641751608,2013-05-18
4792.983611990081,2013-05-19
4863.241156121183,2013-05-20
5409.0525,2013-05-21
4957.640991340885,2013-05-22
4785.205943559853,2013-05-23
4592.634577136968,2013-05-24
4600.268287894269,2013-05-25
4692.322518528009,2013-05-26
4700.031153588275,2013-05-27
4700.031153588275,2013-05-28
4831.958146949832,2013-05-29
5156.95575127744,2013-05-30
5516.4093519613125,2013-05-31
5425.513336756754,2013-06-01
5278.25829846129,2013-06-02
5270.131548659825,2013-06-03
6045.84,2013-06-04
5441.9887627415865,2013-06-05
5245.785493229486,2013-06-06
5245.785493229486,2013-06-07
5294.528890313251,2013-06-08
5343.477347171825,2013-06-09
5253.895145253295,2013-06-10
5124.825259149696,2013-06-11
5068.816872264705,2013-06-12
5310.822266576434,2013-06-13
5557.95278869662,2013-06-14
6067.506123768429,2013-06-15
6597.31639886139,2013-06-16
6814.878143261596,2013-06-17
7007.8760039693525,2013-06-18
6961.7017307624255,2013-06-19
6751.0909078689865,2013-06-20
6760.186656529051,2013-06-21
7202.1175,2013-06-22
6814.878143261596,2013-06-23
7137.902428947538,2013-06-24
9417.806920515553,2013-06-25
12869.477403595723,2013-06-26
12967.210165324328,2013-06-27
12857.284468642827,2013-06-28
13560.661931829602,2013-06-29
13937.6963875139,2013-06-30
13699.0625,2013-07-01
13089.849068283469,2013-07-02
12590.371306591634,2013-07-03
11898.92862235244,2013-07-04
11328.658950588298,2013-07-05
10850.019933303445,2013-07-06
10827.462277772442,2013-07-07
10940.464124250588,2013-07-08
10658.961143491559,2013-07-09
10791.6775,2013-07-10
10116.920013212513,2013-07-11
9921.040114564117,2013-07-12
9705.441602292429,2013-07-13
9641.182587675032,2013-07-14
10116.920013212513,2013-07-15
13765.6825,2013-07-16
12650.80961857028,2013-07-17
13386.323945305641,2013-07-18
13436.030045045367,2013-07-19
15585.728070276988,2013-07-20
23894.74,2013-07-21
22576.93311388062,2013-07-22
23386.675851514912,2013-07-23
23836.755290938272,2013-07-24
25045.010550243336,2013-07-25
26500.20869710001,2013-07-26
26061.405301306197,2013-07-27
25359.619267824615,2013-07-28
26095.041018487987,2013-07-29
28114.410867582843,2013-07-30
30526.46266767136,2013-07-31
33309.96201995145,2013-08-01
34752.62775014882,2013-08-02
36223.07339980892,2013-08-03
36870.18013833093,2013-08-04
37047.568317039746,2013-08-05
36144.99063314088,2013-08-06
36028.010264120654,2013-08-07
35484.38460716284,2013-08-08
34255.952724901144,2013-08-09
32841.490897558775,2013-08-10
32357.48594741785,2013-08-11
32766.815791352863,2013-08-12
34084.78501816717,2013-08-13
35581.1847371012,2013-08-14
36125.48192225284,2013-08-15
35445.69815703833,2013-08-16
33819.29988813033,2013-08-17
31932.055197007816,2013-08-18
30273.99653240654,2013-08-19
28673.820530234505,2013-08-20
26976.49177058427,2013-08-21
25559.239913188037,2013-08-22
25177.259550578307,2013-08-23
26263.515659703564,2013-08-24
28358.53546170767,2013-08-25
30346.032354319086,2013-08-26
32822.81486934989,2013-08-27
34294.04297229792,2013-08-28
35059.8901807446,2013-08-29
35021.415077206686,2013-08-30
33876.11003022269,2013-08-31
31913.616340735683,2013-09-01
30112.200826566885,2013-09-02
29132.030898220837,2013-09-03
28480.957826238948,2013-09-04
27542.777211522374,2013-09-05
26568.012727918926,2013-09-06
26095.041018487987,2013-09-07
26111.8662797477,2013-09-08
25893.522896627586,2013-09-09
26128.69647573855,2013-09-10
25843.25446209904,2013-09-11
25376.227116084752,2013-09-12
25492.62056558757,2013-09-13
26162.371670770237,2013-09-14
27353.42066063136,2013-09-15
28796.859647200865,2013-09-16
32785.47731599953,2013-09-17
36516.56645864245,2013-09-18
39917.929520303354,2013-09-19
42506.57190493689,2013-09-20
45104.2555586658,2013-09-21
46538.73037165991,2013-09-22
47263.6240747831,2013-09-23
47927.039579363474,2013-09-24
48639.317768481604,2013-09-25
48728.68864507954,2013-09-26
48885.26729439919,2013-09-27
48438.50629314877,2013-09-28
47197.51401534879,2013-09-29
45515.1152877784,2013-09-30
43286.98409911343,2013-10-01
40985.81353481066,2013-10-02
38903.23000321263,2013-10-03
37225.343831887636,2013-10-04
