discharge,datetime
3770.338944259113,2013-01-01
3787.4871514464685,2013-01-02
3719.018222817857,2013-01-03
3549.305063797164,2013-01-04
3465.241148943484,2013-01-05
3415.059884066257,2013-01-06
3465.2411489434858,2013-01-07
3498.80268663256,2013-01-08
4329.2275,2013-01-09
3482.0112142332173,2013-01-10
3415.059884066257,2013-01-11
3348.454217235639,2013-01-12
3365.0730532774273,2013-01-13
3381.713643340469,2013-01-14
3381.713643340469,2013-01-15
3365.073053277429,2013-01-16
3348.454217235639,2013-01-17
3381.713643340469,2013-01-18
3362.0225,2013-01-19
3415.059884066257,2013-01-20
3381.713643340469,2013-01-21
3348.454217235639,2013-01-22
3298.7287421843234,2013-01-23
3298.7287421843234,2013-01-24
3331.85718595726,2013-01-25
3381.713643340469,2013-01-26
3431.7654347406938,2013-01-27
3381.713643340469,2013-01-28
3298.7287421843234,2013-01-29
3249.2008984665626,2013-01-30
3150.7437792725436,2013-01-31
3085.553750567183,2013-02-01
3069.3127542100774,2013-02-02
3183.473644314598,2013-02-03
3232.7357786092816,2013-02-04
3101.8174070658856,2013-02-05
3020.7262912631145,2013-02-06
3031.8575,2013-02-07
3036.8989676686347,2013-02-08
3036.8989676686347,2013-02-09
3150.7437792725436,2013-02-10
3282.1974327079383,2013-02-11
3298.7287421843234,2013-02-12
3331.85718595726,2013-02-13
3331.85718595726,2013-02-14
3348.454217235639,2013-02-15
3348.454217235639,2013-02-16
3365.0730532774273,2013-02-17
3398.375936984094,2013-02-18
3415.059884066257,2013-02-19
3117.3875,2013-02-20
3265.688134037326,2013-02-21
3315.282010488849,2013-02-22
3232.7357786092803,2013-02-23
3053.0944743414525,2013-02-24
2860.2680157489453,2013-02-25
2812.585706705035,2013-02-26
2733.589436461474,2013-02-27
2670.8238491710895,2013-02-28
2686.479032654026,2013-03-01
2733.589436461474,2013-03-02
2860.2680157489453,2013-03-03
2924.172911295581,2013-03-04
3011.55,2013-03-05
2956.265042702809,2013-03-06
2908.16167616041,2013-03-07
2988.4496593834892,2013-03-08
3036.8989676686347,2013-03-09
3053.0944743414525,2013-03-10
3020.7262912631145,2013-03-11
3020.7262912631145,2013-03-12
2988.4496593834892,2013-03-13
2940.207386719578,2013-03-14
3036.8989676686347,2013-03-15
3118.1036677160687,2013-03-16
3150.7437792725436,2013-03-17
3249.2008984665626,2013-03-18
3315.282010488849,2013-03-19
3248.0575000000003,2013-03-20
3265.688134037326,2013-03-21
3265.688134037326,2013-03-22
3216.2928274018286,2013-03-23
3265.688134037326,2013-03-24
3331.85718595726,2013-03-25
3315.282010488849,2013-03-26
3265.688134037326,2013-03-27
3249.2008984665626,2013-03-28
3298.7287421843234,2013-03-29
3249.2008984665626,2013-03-30
3331.85718595726,2013-03-31
3249.2008984665626,2013-04-01
3053.0944743414525,2013-04-02
2860.2680157489453,2013-04-03
2624.0040846858037,2013-04-04
2702.158402383244,2013-04-05
2780.9157456903517,2013-04-06
2780.9157456903517,2013-04-07
2860.2680157489453,2013-04-08
2791.6525,2013-04-09
2765.1164277525377,2013-04-10
2812.585706705035,2013-04-11
2812.585706705035,2013-04-12
2780.9157456903517,2013-04-13
2702.158402383244,2013-04-14
2608.446317056281,2013-04-15
2561.9204352711267,2013-04-16
2484.872905055334,2013-04-17
2378.0622844626737,2013-04-18
2438.944900902042,2013-04-19
2515.6171505980265,2013-04-20
2561.9204352711267,2013-04-21
2577.4044230712425,2013-04-22
3205.7825000000003,2013-04-23
3183.473644314598,2013-04-24
3282.1974327079383,2013-04-25
3498.8026866325613,2013-04-26
3650.881361800184,2013-04-27
3684.9081039802463,2013-04-28
3667.88428810413,2013-04-29
3599.9983788708228,2013-04-30
3532.449659405153,2013-05-01
3465.2411489434858,2013-05-02
3465.241148943484,2013-05-03
3465.241148943484,2013-05-04
3667.88428810413,2013-05-05
3908.0983105432956,2013-05-06
4134.7155575544875,2013-05-07
4169.878124193724,2013-05-08
4269.625,2013-05-09
4258.128015802442,2013-05-10
4240.438938070009,2013-05-11
4258.128015802442,2013-05-12
4615.949481593795,2013-05-13
4926.006187956701,2013-05-14
4944.410025226201,2013-05-15
5036.700840234897,2013-05-16
