stage,datetime,discharge,log_stage,log_discharge
0.95,1962-04-03,3.0,-0.022276394711152253,0.47712125471966244
0.94,1962-04-04,3.0,-0.026872146400301365,0.47712125471966244
0.94,1962-04-06,3.0,-0.026872146400301365,0.47712125471966244
0.92,1962-04-07,2.0,-0.036212172654444715,0.3010299956639812
0.94,1962-04-08,3.0,-0.026872146400301365,0.47712125471966244
0.91,1962-04-09,2.0,-0.040958607678906384,0.3010299956639812
0.9,1962-04-10,2.0,-0.045757490560675115,0.3010299956639812
0.89,1962-04-11,2.0,-0.05060999335508721,0.3010299956639812
0.88,1962-04-12,2.0,-0.05551732784983137,0.3010299956639812
0.89,1962-04-13,2.0,-0.05060999335508721,0.3010299956639812
0.88,1962-04-14,2.0,-0.05551732784983137,0.3010299956639812
0.86,1962-04-15,1.0,-0.06550154875643228,0.0
0.98,1962-04-16,3.0,-0.00877392430750515,0.47712125471966244
1.1,1962-04-17,5.0,0.04139268515822508,0.6989700043360189
1.1,1962-04-18,5.0,0.04139268515822508,0.6989700043360189
1.2,1962-04-19,5.0,0.07918124604762482,0.6989700043360189
1.16,1962-04-20,5.0,0.06445798922691845,0.6989700043360189
1.14,1962-04-21,5.0,0.05690485133647256,0.6989700043360189
1.1,1962-04-22,5.0,0.04139268515822508,0.6989700043360189
1.1,1962-04-23,5.0,0.04139268515822508,0.6989700043360189
1.16,1962-04-24,5.0,0.06445798922691845,0.6989700043360189
1.12,1962-04-25,5.0,0.04921802267018165,0.6989700043360189
1.18,1962-04-26,5.0,0.07188200730612536,0.6989700043360189
1.21,1962-04-27,6.0,0.08278537031645007,0.7781512503836436
1.24,1962-04-28,6.0,0.09342168516223506,0.7781512503836436
1.3,1962-04-29,6.0,0.11394335230683679,0.7781512503836436
1.35,1962-04-30,7.0,0.13033376849500614,0.8450980400142568
1.4,1962-05-01,8.0,0.146128035678238,0.9030899869919435
1.34,1962-05-02,7.0,0.12710479836480765,0.8450980400142568
1.4,1962-05-03,8.0,0.146128035678238,0.9030899869919435
1.79,1962-05-04,13.0,0.2528530309798932,1.1139433523068367
2.5,1962-05-05,25.0,0.3979400086720376,1.3979400086720377
2.21,1962-05-06,20.0,0.3443922736851107,1.3010299956639813
1.81,1962-05-07,13.0,0.2576785748691845,1.1139433523068367
1.54,1962-05-08,9.0,0.18752072083646307,0.9542425094393249
