stage,datetime,discharge,log_stage,log_discharge
3.88,1960-01-01,711.0,0.5888317255942073,2.851869600729766
3.75,1960-01-02,699.0,0.5740312677277188,2.8444771757456815
3.65,1960-01-03,687.0,0.5622928644564748,2.8369567370595505
3.62,1960-01-04,668.0,0.5587085705331657,2.824776462475546
3.62,1960-01-05,644.0,0.5587085705331657,2.808885867359812
3.54,1960-01-06,609.0,0.5490032620257879,2.784617292632875
3.46,1960-01-07,578.0,0.5390760987927766,2.761927838420529
3.42,1960-01-08,549.0,0.534026106056135,2.739572344450092
3.32,1960-01-09,531.0,0.5211380837040362,2.725094521081469
3.25,1960-01-10,516.0,0.5118833609788743,2.7126497016272113
3.22,1960-01-11,480.0,0.5078558716958309,2.681241237375587
3.25,1960-01-12,495.0,0.5118833609788743,2.694605198933569
3.24,1960-01-13,520.0,0.5105450102066121,2.716003343634799
3.23,1960-01-14,531.0,0.5092025223311029,2.725094521081469
3.22,1960-01-15,520.0,0.5078558716958309,2.716003343634799
3.15,1960-01-16,505.0,0.4983105537896005,2.7032913781186614
3.06,1960-01-17,495.0,0.48572142648158,2.694605198933569
3.05,1960-01-18,473.0,0.48429983934678583,2.6748611407378116
3.05,1960-01-19,455.0,0.48429983934678583,2.6580113966571126
2.96,1960-01-20,459.0,0.4712917110589386,2.661812685537261
2.94,1960-01-21,417.0,0.46834733041215726,2.6201360549737576
2.93,1960-01-22,375.0,0.4668676203541095,2.574031267727719
2.84,1960-01-23,343.0,0.45331834004703764,2.5352941200427703
2.75,1960-01-24,320.0,0.43933269383026263,2.505149978319906
2.75,1960-01-25,306.0,0.43933269383026263,2.48572142648158
2.75,1960-01-26,289.0,0.43933269383026263,2.4608978427565478
2.75,1960-01-27,283.0,0.43933269383026263,2.45178643552429
2.74,1960-01-28,276.0,0.437750562820388,2.4409090820652177
2.73,1960-01-29,276.0,0.436162647040756,2.4409090820652177
2.73,1960-01-30,309.0,0.436162647040756,2.4899584794248346
2.65,1960-01-31,343.0,0.42324587393680785,2.5352941200427703
2.6,1960-02-01,336.0,0.414973347970818,2.526339277389844
2.6,1960-02-02,316.0,0.414973347970818,2.499687082618404
2.62,1960-02-03,289.0,0.41830129131974547,2.4608978427565478
2.59,1960-02-04,223.0,0.4132997640812518,2.3483048630481607
2.55,1960-02-05,197.0,0.4065401804339551,2.294466226161593
2.52,1960-02-06,162.0,0.4014005407815441,2.2095150145426308
2.48,1960-02-07,141.0,0.3944516808262163,2.1492191126553797
