stage,datetime,discharge,log_stage,log_discharge
1.34,1960-05-01,6.2,0.12710479836480765,0.7923916894982539
1.5,1960-05-13,22.2,0.17609125905568124,1.3463529744506386
1.54,1960-05-14,52.5,0.18752072083646307,1.7201593034059568
1.69,1960-05-15,66.5,0.22788670461367352,1.8228216453031045
1.72,1960-05-16,61.1,0.2355284469075489,1.7860412102425542
1.74,1960-05-17,55.4,0.24054924828259971,1.7435097647284297
1.73,1960-05-18,37.9,0.2380461031287954,1.5786392099680724
1.72,1960-05-19,31.6,0.2355284469075489,1.4996870826184039
1.66,1960-05-20,19.1,0.22010808804005508,1.2810333672477277
1.65,1960-05-21,12.7,0.21748394421390627,1.1038037209559568
1.64,1960-05-22,12.7,0.21484384804769785,1.1038037209559568
1.65,1960-05-23,19.1,0.21748394421390627,1.2810333672477277
1.53,1960-05-24,28.5,0.1846914308175988,1.4548448600085102
1.55,1960-05-25,40.0,0.1903316981702915,1.6020599913279623
1.73,1960-05-26,102.0,0.2380461031287954,2.0086001717619175
1.83,1960-05-27,156.0,0.26245108973042947,2.1931245983544616
1.87,1960-05-28,172.0,0.27184160653649897,2.2355284469075487
1.76,1960-05-29,162.0,0.24551266781414982,2.2095150145426308
1.79,1960-05-30,153.0,0.2528530309798932,2.184691430817599
1.76,1960-05-31,150.0,0.24551266781414982,2.1760912590556813
1.7,1960-06-01,135.0,0.2304489213782739,2.130333768495006
1.62,1960-06-02,110.0,0.20951501454263097,2.041392685158225
1.69,1960-06-03,89.0,0.22788670461367352,1.9493900066449128
1.55,1960-06-04,89.0,0.1903316981702915,1.9493900066449128
1.61,1960-06-05,91.0,0.20682587603184974,1.9590413923210936
1.87,1960-06-06,217.0,0.27184160653649897,2.3364597338485296
2.61,1960-06-07,159.0,0.41664050733828095,2.2013971243204513
2.68,1960-06-08,181.0,0.42813479402878885,2.2576785748691846
2.95,1960-06-09,270.0,0.46982201597816303,2.4313637641589874
3.27,1960-06-10,378.0,0.5145477526602861,2.5774917998372255
3.28,1960-06-11,382.0,0.5158738437116791,2.582063362911709
3.26,1960-06-12,375.0,0.5132176000679389,2.574031267727719
3.23,1960-06-13,364.0,0.5092025223311029,2.561101383649056
3.19,1960-06-14,350.0,0.5037906830571811,2.5440680443502757
2.82,1960-06-15,226.0,0.45024910831936105,2.3541084391474008
2.74,1960-06-16,201.0,0.437750562820388,2.303196057420489
2.67,1960-06-17,178.0,0.42651126136457523,2.250420002308894
2.62,1960-06-18,162.0,0.41830129131974547,2.2095150145426308
2.58,1960-06-19,150.0,0.41161970596323016,2.1760912590556813
2.56,1960-06-20,144.0,0.4082399653118496,2.1583624920952498
2.56,1960-06-21,144.0,0.4082399653118496,2.1583624920952498
2.58,1960-06-22,150.0,0.41161970596323016,2.1760912590556813
2.52,1960-06-23,132.0,0.4014005407815441,2.12057393120585
2.62,1960-06-24,162.0,0.41830129131974547,2.2095150145426308
2.89,1960-06-25,250.0,0.4608978427565479,2.3979400086720375
3.05,1960-06-26,302.0,0.48429983934678583,2.4800069429571505
3.09,1960-06-27,316.0,0.4899584794248346,2.499687082618404
3.04,1960-06-28,299.0,0.48287358360875376,2.4756711883244296
3.03,1960-06-29,295.0,0.48144262850230496,2.469822015978163
3.13,1960-06-30,329.0,0.49554433754644844,2.5171958979499744
3.44,1960-07-01,438.0,0.5365584425715301,2.6414741105040997
3.54,1960-07-02,473.0,0.5490032620257879,2.6748611407378116
3.58,1960-07-03,487.0,0.5538830266438743,2.6875289612146345
3.66,1960-07-04,516.0,0.5634810853944107,2.7126497016272113
3.95,1960-07-05,624.0,0.5965970956264602,2.795184589682424
3.97,1960-07-06,632.0,0.5987905067631151,2.800717078282385
4.05,1960-07-07,664.0,0.6074550232146685,2.8221680793680175
4.24,1960-07-08,740.0,0.6273658565927327,2.8692317197309762
4.26,1960-07-09,749.0,0.6294095991027189,2.8744818176994666
4.29,1960-07-10,762.0,0.6324572921847242,2.8819549713396007
4.32,1960-07-11,774.0,0.6354837468149122,2.8887409606828927
4.28,1960-07-12,757.0,0.631443769013172,2.8790958795000727
4.27,1960-07-13,753.0,0.6304278750250238,2.8767949762007006
4.32,1960-07-14,774.0,0.6354837468149122,2.8887409606828927
4.27,1960-07-15,753.0,0.6304278750250238,2.8767949762007006
4.27,1960-07-16,753.0,0.6304278750250238,2.8767949762007006
4.21,1960-07-17,728.0,0.6242820958356683,2.862131379313037
4.17,1960-07-18,711.0,0.6201360549737575,2.851869600729766
4.13,1960-07-19,695.0,0.615950051656401,2.8419848045901137
4.12,1960-07-20,691.0,0.6148972160331346,2.8394780473741985
4.26,1960-07-21,749.0,0.6294095991027189,2.8744818176994666
4.26,1960-07-22,749.0,0.6294095991027189,2.8744818176994666
4.28,1960-07-23,757.0,0.631443769013172,2.8790958795000727
4.27,1960-07-24,753.0,0.6304278750250238,2.8767949762007006
4.29,1960-07-25,762.0,0.6324572921847242,2.8819549713396007
4.29,1960-07-26,762.0,0.6324572921847242,2.8819549713396007
4.3,1960-07-27,766.0,0.6334684555795865,2.884228769632604
4.31,1960-07-28,770.0,0.6344772701607315,2.886490725172482
4.37,1960-07-29,796.0,0.6404814369704218,2.900913067737669
4.51,1960-07-30,855.0,0.6541765418779605,2.931966114728173
4.8,1960-07-31,979.0,0.6812412373755872,2.9907826918031377
5.22,1960-08-01,1175.0,0.7176705030022621,3.070037866607755
5.81,1960-08-02,1481.0,0.7641761323903307,3.1705550585212086
6.54,1960-08-03,1946.0,0.8155777483242672,3.289142835932333
6.98,1960-08-04,2304.0,0.8438554226231612,3.3624824747511743
7.01,1960-08-05,2328.0,0.8457180179666587,3.3669829759778507
6.93,1960-08-06,2263.0,0.8407332346118067,3.3546845539547285
6.92,1960-08-07,2255.0,0.8401060944567578,3.3531465462139796
7.0,1960-08-08,2320.0,0.8450980400142568,3.3654879848909
7.14,1960-08-09,2434.0,0.8536982117761743,3.386320573894046
7.33,1960-08-10,2588.0,0.865103974641128,3.4129642719966626
7.4,1960-08-11,2645.0,0.8692317197309762,3.4224256763712044
7.67,1960-08-12,2870.0,0.884795363948981,3.4578818967339924
7.74,1960-08-13,2939.0,0.8887409606828927,3.4681995860726125
7.73,1960-08-14,2929.0,0.888179493918325,3.4667193716815987
7.72,1960-08-15,2919.0,0.8876173003357362,3.4652340949880145
7.71,1960-08-16,2909.0,0.887054378050957,3.463743721247059
7.74,1960-08-17,2939.0,0.8887409606828927,3.4681995860726125
7.84,1960-08-18,3043.0,0.8943160626844384,3.483301952358167
8.03,1960-08-19,3254.0,0.9047155452786809,3.51241754860084
8.22,1960-08-20,3477.0,0.9148718175400504,3.5412046906832586
8.41,1960-08-21,3702.0,0.9247959957979122,3.5684364144168854
8.56,1960-08-22,3889.0,0.9324737646771533,3.58983794314746
8.69,1960-08-23,4053.0,0.9390197764486664,3.607776603741693
8.78,1960-08-24,4167.0,0.9434945159061026,3.619823500457278
8.87,1960-08-25,4280.0,0.9479236198317263,3.6314437690131722
8.89,1960-08-26,4305.0,0.9489017609702137,3.6339731557896737
9.11,1960-08-27,4560.0,0.9595183769729982,3.658964842664435
9.21,1960-08-28,4672.0,0.964259630196849,3.669502834104343
9.27,1960-08-29,4739.0,0.9670797341444971,3.675686708699401
9.3,1960-08-30,4772.0,0.9684829485539351,3.678700434998304
9.3,1960-08-31,4772.0,0.9684829485539351,3.678700434998304
9.3,1960-09-01,4772.0,0.9684829485539351,3.678700434998304
9.27,1960-09-02,4739.0,0.9670797341444971,3.675686708699401
9.22,1960-09-03,4683.0,0.9647309210536293,3.6705241577820797
9.19,1960-09-04,4650.0,0.9633155113861113,3.667452952889954
9.18,1960-09-05,4638.0,0.9628426812012424,3.6663307443019684
9.18,1960-09-06,4638.0,0.9628426812012424,3.6663307443019684
9.17,1960-09-07,4627.0,0.9623693356700211,3.665299499499897
9.17,1960-09-08,4627.0,0.9623693356700211,3.665299499499897
9.17,1960-09-09,4627.0,0.9623693356700211,3.665299499499897
9.18,1960-09-10,4638.0,0.9628426812012424,3.6663307443019684
9.19,1960-09-11,4650.0,0.9633155113861113,3.667452952889954
9.19,1960-09-12,4650.0,0.9633155113861113,3.667452952889954
9.2,1960-09-13,4661.0,0.9637878273455552,3.6684791029325856
9.22,1960-09-14,4683.0,0.9647309210536293,3.6705241577820797
9.24,1960-09-15,4705.0,0.9656719712201067,3.6725596277632757
9.25,1960-09-16,4717.0,0.9661417327390326,3.673665876245702
9.26,1960-09-17,4728.0,0.9666109866819343,3.674677467873199
9.25,1960-09-18,4717.0,0.9661417327390326,3.673665876245702
9.23,1960-09-19,4694.0,0.9652017010259121,3.6715430852625737
9.18,1960-09-20,4638.0,0.9628426812012424,3.6663307443019684
9.12,1960-09-21,4571.0,0.9599948383284161,3.6600112212893308
9.07,1960-09-22,4516.0,0.9576072870600952,3.6547539332529304
9.0,1960-09-23,4437.0,0.9542425094393249,3.647089428716555
9.02,1960-09-24,4460.0,0.9552065375419417,3.649334858712142
9.07,1960-09-25,4516.0,0.9576072870600952,3.6547539332529304
9.1,1960-09-26,4549.0,0.9590413923210935,3.657915936829955
9.12,1960-09-27,4571.0,0.9599948383284161,3.6600112212893308
9.15,1960-09-28,4605.0,0.9614210940664483,3.663229634532868
9.19,1960-09-29,4650.0,0.9633155113861113,3.667452952889954
9.26,1960-09-30,4728.0,0.9666109866819343,3.674677467873199
9.33,1960-10-01,4806.0,0.9698816437465,3.6817837664678814
9.36,1960-10-02,4839.0,0.9712758487381052,3.684755622108624
9.34,1960-10-03,4817.0,0.9703468762300933,3.682776646314434
9.3,1960-10-04,4772.0,0.9684829485539351,3.678700434998304
9.33,1960-10-05,4806.0,0.9698816437465,3.6817837664678814
9.46,1960-10-06,4951.0,0.9758911364017928,3.6946929263314843
9.57,1960-10-07,5074.0,0.9809119377768436,3.705350462885712
9.67,1960-10-08,5180.0,0.9854264740830017,3.714329759745233
9.78,1960-10-09,5292.0,0.9903388547876014,3.7236198355154633
9.86,1960-10-10,5364.0,0.9938769149412112,3.7294887691795613
9.89,1960-10-11,5393.0,0.9951962915971795,3.7318304202881625
9.93,1960-10-12,5433.0,0.9969492484953811,3.7350397050337207
9.95,1960-10-13,5452.0,0.9978230807457255,3.736555847162636
9.93,1960-10-14,5433.0,0.9969492484953811,3.7350397050337207
9.9,1960-10-15,5403.0,0.9956351945975499,3.732634967539196
9.86,1960-10-16,5364.0,0.9938769149412112,3.7294887691795613
9.81,1960-10-17,5318.0,0.9916690073799486,3.7257483329955483
9.76,1960-10-18,5274.0,0.9894498176666918,3.7221401254574156
9.73,1960-10-19,5244.0,0.9881128402683519,3.7196626830180466
9.67,1960-10-20,5180.0,0.9854264740830017,3.714329759745233
9.62,1960-10-21,5128.0,0.983175072037813,3.709948016510761
9.56,1960-10-22,5063.0,0.9804578922761001,3.704407927386841
9.52,1960-10-23,5018.0,0.9786369483844743,3.7005306569785916
