stage,datetime,discharge,log_stage,log_discharge
1.28,1962-04-01,3.3,0.10720996964786837,0.5185139398778874
1.27,1962-04-02,3.1,0.10380372095595687,0.4913616938342727
1.27,1962-04-03,3.1,0.10380372095595687,0.4913616938342727
1.26,1962-04-04,3.1,0.10037054511756291,0.4913616938342727
1.26,1962-04-05,3.1,0.10037054511756291,0.4913616938342727
1.25,1962-04-06,3.0,0.09691001300805642,0.47712125471966244
1.25,1962-04-07,3.0,0.09691001300805642,0.47712125471966244
1.24,1962-04-08,2.9,0.09342168516223506,0.4623979978989561
1.24,1962-04-09,2.9,0.09342168516223506,0.4623979978989561
1.24,1962-04-10,2.9,0.09342168516223506,0.4623979978989561
1.23,1962-04-11,2.9,0.08990511143939793,0.4623979978989561
1.23,1962-04-12,2.9,0.08990511143939793,0.4623979978989561
1.23,1962-04-13,2.9,0.08990511143939793,0.4623979978989561
1.22,1962-04-14,2.8,0.08635983067474821,0.4471580313422192
1.21,1962-04-15,2.8,0.08278537031645007,0.4471580313422192
1.2,1962-04-16,2.7,0.07918124604762482,0.43136376415898736
1.2,1962-04-17,2.7,0.07918124604762482,0.43136376415898736
1.2,1962-04-18,2.7,0.07918124604762482,0.43136376415898736
1.18,1962-04-19,2.6,0.07188200730612536,0.414973347970818
1.34,1962-04-20,3.5,0.12710479836480765,0.5440680443502757
1.37,1962-04-21,3.7,0.1367205671564068,0.568201724066995
1.38,1962-04-22,3.8,0.13987908640123647,0.5797835966168101
1.72,1962-04-23,9.2,0.2355284469075489,0.9637878273455552
1.68,1962-04-24,8.2,0.22530928172586284,0.9138138523837167
1.63,1962-04-25,7.1,0.21218760440395779,0.8512583487190752
1.66,1962-04-26,7.8,0.22010808804005508,0.8920946026904804
1.64,1962-04-27,7.3,0.21484384804769785,0.8633228601204559
1.6,1962-04-28,6.4,0.2041199826559248,0.8061799739838872
1.58,1962-04-29,6.1,0.19865708695442263,0.785329835010767
1.54,1962-04-30,5.4,0.18752072083646307,0.7323937598229685
1.43,1962-05-01,4.2,0.1553360374650618,0.6232492903979004
1.42,1962-05-02,4.1,0.15228834438305647,0.6127838567197355
1.41,1962-05-03,4.0,0.14921911265537988,0.6020599913279624
1.37,1962-05-04,3.7,0.1367205671564068,0.568201724066995
1.38,1962-05-05,3.8,0.13987908640123647,0.5797835966168101
1.38,1962-05-06,3.8,0.13987908640123647,0.5797835966168101
1.33,1962-05-07,3.5,0.12385164096708581,0.5440680443502757
1.28,1962-05-08,3.2,0.10720996964786837,0.505149978319906
1.27,1962-05-09,3.1,0.10380372095595687,0.4913616938342727
1.24,1962-05-10,2.9,0.09342168516223506,0.4623979978989561
1.23,1962-05-11,2.9,0.08990511143939793,0.4623979978989561
1.24,1962-05-12,2.9,0.09342168516223506,0.4623979978989561
1.28,1962-05-13,3.2,0.10720996964786837,0.505149978319906
1.31,1962-05-14,3.4,0.11727129565576427,0.5314789170422551
1.43,1962-05-15,4.2,0.1553360374650618,0.6232492903979004
1.56,1962-05-16,5.8,0.1931245983544616,0.7634279935629372
1.54,1962-05-17,5.4,0.18752072083646307,0.7323937598229685
1.43,1962-05-18,4.2,0.1553360374650618,0.6232492903979004
1.46,1962-05-19,4.4,0.1643528557844371,0.6434526764861874
1.72,1962-05-20,9.2,0.2355284469075489,0.9637878273455552
1.66,1962-05-21,7.8,0.22010808804005508,0.8920946026904804
1.76,1962-05-22,10.1,0.24551266781414982,1.0043213737826426
1.83,1962-05-23,11.8,0.26245108973042947,1.0718820073061255
1.88,1962-05-24,13.0,0.2741578492636798,1.1139433523068367
2.24,1962-05-25,22.0,0.35024801833416286,1.3424226808222062
2.18,1962-05-26,19.7,0.33845649360460484,1.294466226161593
2.17,1962-05-27,19.2,0.3364597338485295,1.2833012287035497
2.37,1962-05-28,25.5,0.37474834601010387,1.4065401804339552
2.27,1962-05-29,22.8,0.35602585719312274,1.3579348470004537
2.3,1962-05-30,23.6,0.36172783601759284,1.3729120029701065
2.47,1962-05-31,28.2,0.39269695325966575,1.4502491083193612
2.42,1962-06-01,26.8,0.38381536598043126,1.4281347940287887
2.22,1962-06-02,21.5,0.3463529744506387,1.3324384599156054
2.14,1962-06-03,19.4,0.33041377334919086,1.287801729930226
2.27,1962-06-04,22.8,0.35602585719312274,1.3579348470004537
2.56,1962-06-05,30.6,0.4082399653118496,1.4857214264815801
