datetime,stage
1962-04-01 00:00:00,1.28
1962-04-02 00:00:00,1.27
1962-04-03 00:00:00,1.27
1962-04-04 00:00:00,1.26
1962-04-05 00:00:00,1.26
1962-04-06 00:00:00,1.25
1962-04-07 00:00:00,1.25
1962-04-08 00:00:00,1.24
1962-04-09 00:00:00,1.24
1962-04-10 00:00:00,1.24
1962-04-11 00:00:00,1.23
1962-04-12 00:00:00,1.23
1962-04-13 00:00:00,1.23
1962-04-14 00:00:00,1.22
1962-04-15 00:00:00,1.21
1962-04-16 00:00:00,1.2
1962-04-17 00:00:00,1.2
1962-04-18 00:00:00,1.2
1962-04-19 00:00:00,1.18
1962-04-20 00:00:00,1.34
1962-04-21 00:00:00,1.37
1962-04-22 00:00:00,1.38
1962-04-23 00:00:00,1.72
1962-04-24 00:00:00,1.68
1962-04-25 00:00:00,1.63
1962-04-26 00:00:00,1.66
1962-04-27 00:00:00,1.64
1962-04-28 00:00:00,1.6
1962-04-29 00:00:00,1.58
1962-04-30 00:00:00,1.54
1962-05-01 00:00:00,1.43
1962-05-02 00:00:00,1.42
1962-05-03 00:00:00,1.41
1962-05-04 00:00:00,1.37
1962-05-05 00:00:00,1.38
1962-05-06 00:00:00,1.38
1962-05-07 00:00:00,1.33
1962-05-08 00:00:00,1.28
1962-05-09 00:00:00,1.27
1962-05-10 00:00:00,1.24
1962-05-11 00:00:00,1.23
1962-05-12 00:00:00,1.24
1962-05-13 00:00:00,1.28
1962-05-14 00:00:00,1.31
1962-05-15 00:00:00,1.43
1962-05-16 00:00:00,1.56
1962-05-17 00:00:00,1.54
1962-05-18 00:00:00,1.43
1962-05-19 00:00:00,1.46
1962-05-20 00:00:00,1.72
1962-05-21 00:00:00,1.66
1962-05-22 00:00:00,1.76
1962-05-23 00:00:00,1.83
1962-05-24 00:00:00,1.88
1962-05-25 00:00:00,2.24
1962-05-26 00:00:00,2.18
1962-05-27 00:00:00,2.17
1962-05-28 00:00:00,2.37
1962-05-29 00:00:00,2.27
1962-05-30 00:00:00,2.3
1962-05-31 00:00:00,2.47
1962-06-01 00:00:00,2.42
1962-06-02 00:00:00,2.22
1962-06-03 00:00:00,2.14
1962-06-04 00:00:00,2.27
1962-06-05 00:00:00,2.56
1962-06-06 00:00:00,2.66
1962-06-07 00:00:00,2.6
1962-06-08 00:00:00,2.5
1962-06-09 00:00:00,2.5
1962-06-10 00:00:00,2.32
1962-06-11 00:00:00,2.14
1962-06-12 00:00:00,1.96
1962-06-13 00:00:00,1.93
1962-06-14 00:00:00,2.0
1962-06-15 00:00:00,2.16
1962-06-16 00:00:00,2.42
1962-06-17 00:00:00,2.54
1962-06-18 00:00:00,2.58
1962-06-19 00:00:00,2.7
1962-06-20 00:00:00,2.9
1962-06-21 00:00:00,2.86
1962-06-22 00:00:00,2.78
1962-06-23 00:00:00,2.8
1962-06-24 00:00:00,2.87
1962-06-25 00:00:00,2.82
1962-06-26 00:00:00,2.86
1962-06-27 00:00:00,2.82
1962-06-28 00:00:00,2.8
1962-06-29 00:00:00,2.8
1962-06-30 00:00:00,2.74
1962-07-01 00:00:00,2.6
1962-07-02 00:00:00,2.32
1962-07-03 00:00:00,2.04
1962-07-04 00:00:00,2.06
1962-07-05 00:00:00,2.22
1962-07-06 00:00:00,2.77
1962-07-07 00:00:00,3.13
1962-07-08 00:00:00,3.27
1962-07-09 00:00:00,3.46
1962-07-10 00:00:00,3.6
1962-07-11 00:00:00,4.04
1962-07-12 00:00:00,4.72
1962-07-13 00:00:00,5.32
1962-07-14 00:00:00,5.47
1962-07-15 00:00:00,5.56
1962-07-16 00:00:00,5.64
1962-07-17 00:00:00,5.8
1962-07-18 00:00:00,6.1
1962-07-19 00:00:00,6.16
1962-07-20 00:00:00,6.17
1962-07-21 00:00:00,6.13
1962-07-22 00:00:00,6.12
1962-07-23 00:00:00,6.1
1962-07-24 00:00:00,6.1
1962-07-25 00:00:00,6.1
1962-07-26 00:00:00,6.08
1962-07-27 00:00:00,6.04
1962-07-28 00:00:00,5.94
1962-07-29 00:00:00,5.78
1962-07-30 00:00:00,5.54
1962-07-31 00:00:00,5.28
1962-08-01 00:00:00,4.99
1962-08-02 00:00:00,4.74
1962-08-03 00:00:00,4.86
1962-08-04 00:00:00,4.9
1962-08-05 00:00:00,5.07
1962-08-06 00:00:00,5.16
1962-08-07 00:00:00,5.2
1962-08-08 00:00:00,5.26
1962-08-09 00:00:00,5.36
1962-08-10 00:00:00,5.42
1962-08-11 00:00:00,5.74
1962-08-12 00:00:00,5.74
1962-08-13 00:00:00,5.77
1962-08-14 00:00:00,5.81
1962-08-15 00:00:00,5.81
1962-08-16 00:00:00,5.81
1962-08-17 00:00:00,5.8
1962-08-18 00:00:00,5.79
1962-08-19 00:00:00,5.74
1962-08-20 00:00:00,5.64
1962-08-21 00:00:00,5.54
1962-08-22 00:00:00,5.43
1962-08-23 00:00:00,5.32
1962-08-24 00:00:00,5.24
1962-08-25 00:00:00,5.16
1962-08-26 00:00:00,5.1
1962-08-27 00:00:00,5.06
1962-08-28 00:00:00,5.07
1962-08-29 00:00:00,5.16
1962-08-30 00:00:00,5.23
1962-08-31 00:00:00,5.15
1962-09-01 00:00:00,5.18
1962-09-02 00:00:00,5.1
1962-09-03 00:00:00,5.06
1962-09-04 00:00:00,4.86
1962-09-05 00:00:00,4.66
1962-09-06 00:00:00,4.58
1962-09-07 00:00:00,4.52
1962-09-08 00:00:00,4.6
1962-09-09 00:00:00,4.66
1962-09-10 00:00:00,5.02
1962-09-11 00:00:00,5.42
1962-09-12 00:00:00,5.62
1962-09-13 00:00:00,5.79
1962-09-14 00:00:00,5.94
1962-09-15 00:00:00,6.09
1962-09-16 00:00:00,6.24
1962-09-17 00:00:00,6.32
1962-09-18 00:00:00,6.39
1962-09-19 00:00:00,6.42
1962-09-20 00:00:00,6.44
1962-09-21 00:00:00,6.51
1962-09-22 00:00:00,6.53
1962-09-23 00:00:00,6.62
1962-09-24 00:00:00,6.75
1962-09-25 00:00:00,6.79
1962-09-26 00:00:00,6.84
1962-09-27 00:00:00,6.99
1962-09-28 00:00:00,7.1
1962-09-29 00:00:00,7.18
1962-09-30 00:00:00,7.16
1962-10-01 00:00:00,7.17
1962-10-02 00:00:00,7.17
1962-10-03 00:00:00,7.14
1962-10-04 00:00:00,7.09
1962-10-05 00:00:00,7.08
1962-10-06 00:00:00,6.99
1962-10-07 00:00:00,6.88
1962-10-08 00:00:00,6.98
1962-10-09 00:00:00,7.0
1962-10-10 00:00:00,6.94
1962-10-11 00:00:00,6.9
1962-10-12 00:00:00,6.82
1962-10-13 00:00:00,6.78
1962-10-14 00:00:00,6.76
1962-10-15 00:00:00,6.68
1962-10-16 00:00:00,6.62
1962-10-17 00:00:00,6.56
1962-10-18 00:00:00,6.48
1962-10-19 00:00:00,6.42
1962-10-20 00:00:00,6.34
1962-10-21 00:00:00,6.21
1962-10-22 00:00:00,6.21
1962-10-23 00:00:00,6.13
1962-10-24 00:00:00,5.94
1962-10-25 00:00:00,5.92
1962-10-26 00:00:00,5.77
1962-10-27 00:00:00,5.6
1962-10-28 00:00:00,5.4
1962-10-29 00:00:00,5.2
1962-10-30 00:00:00,4.98
1962-10-31 00:00:00,4.78
1962-11-01 00:00:00,4.62
1962-11-02 00:00:00,4.46
1962-11-03 00:00:00,4.34
1962-11-04 00:00:00,4.28
1962-11-05 00:00:00,4.2
1962-11-06 00:00:00,4.14
1962-11-07 00:00:00,4.1
1962-11-08 00:00:00,4.1
1962-11-09 00:00:00,4.08
1962-11-10 00:00:00,4.02
1962-11-11 00:00:00,4.0
1962-11-12 00:00:00,3.98
1962-11-13 00:00:00,3.82
1962-11-14 00:00:00,3.78
1962-11-15 00:00:00,3.7
1962-11-16 00:00:00,3.67
1962-11-17 00:00:00,3.61
1962-11-18 00:00:00,3.59
1962-11-19 00:00:00,3.49
1962-11-20 00:00:00,3.43
1962-11-21 00:00:00,3.4
1962-11-22 00:00:00,3.33
1962-11-23 00:00:00,3.3
1962-11-24 00:00:00,3.27
1962-11-25 00:00:00,3.22
1962-11-26 00:00:00,3.19
1962-11-27 00:00:00,3.17
1962-11-28 00:00:00,3.13
1962-11-29 00:00:00,3.1
1962-11-30 00:00:00,3.07
1962-12-01 00:00:00,3.04
1962-12-02 00:00:00,3.01
1962-12-03 00:00:00,2.99
1962-12-04 00:00:00,2.96
1962-12-05 00:00:00,2.92
1962-12-06 00:00:00,2.86
1962-12-07 00:00:00,2.87
1962-12-08 00:00:00,2.83
1962-12-09 00:00:00,2.81
1962-12-10 00:00:00,2.79
1962-12-11 00:00:00,2.75
1962-12-12 00:00:00,2.74
1962-12-13 00:00:00,2.75
1962-12-14 00:00:00,2.7
1962-12-15 00:00:00,2.68
1962-12-16 00:00:00,2.66
1962-12-17 00:00:00,2.64
1962-12-18 00:00:00,2.62
1962-12-19 00:00:00,2.6
1962-12-20 00:00:00,2.58
1962-12-21 00:00:00,2.55
1962-12-22 00:00:00,2.52
1962-12-23 00:00:00,2.5
1962-12-24 00:00:00,2.48
1962-12-25 00:00:00,2.46
1962-12-26 00:00:00,2.45
1962-12-27 00:00:00,2.43
1962-12-28 00:00:00,2.42
1962-12-29 00:00:00,2.4
1962-12-30 00:00:00,2.4
1962-12-31 00:00:00,2.4
1963-01-01 00:00:00,2.4
1963-01-02 00:00:00,2.39
1963-01-03 00:00:00,2.38
1963-01-04 00:00:00,2.36
1963-01-05 00:00:00,2.34
1963-01-06 00:00:00,2.32
1963-01-07 00:00:00,2.29
1963-01-08 00:00:00,2.27
1963-01-09 00:00:00,2.26
1963-01-10 00:00:00,2.24
1963-01-11 00:00:00,2.22
1963-01-12 00:00:00,2.21
1963-01-13 00:00:00,2.2
1963-01-14 00:00:00,2.2
1963-01-15 00:00:00,2.18
1963-01-16 00:00:00,2.18
1963-01-17 00:00:00,2.17
1963-01-18 00:00:00,2.16
1963-01-19 00:00:00,2.15
1963-01-20 00:00:00,2.14
1963-01-21 00:00:00,2.17
1963-01-22 00:00:00,2.12
1963-01-23 00:00:00,2.12
1963-01-24 00:00:00,2.11
1963-01-25 00:00:00,2.1
1963-01-26 00:00:00,2.08
1963-01-27 00:00:00,2.06
1963-01-28 00:00:00,2.04
1963-01-29 00:00:00,2.03
1963-01-30 00:00:00,2.03
1963-01-31 00:00:00,2.02
1963-02-01 00:00:00,2.01
1963-02-02 00:00:00,2.0
1963-02-03 00:00:00,2.0
1963-02-04 00:00:00,1.98
1963-02-05 00:00:00,1.96
1963-02-06 00:00:00,1.96
1963-02-07 00:00:00,1.96
1963-02-08 00:00:00,1.95
1963-02-09 00:00:00,1.94
1963-02-10 00:00:00,1.93
1963-02-11 00:00:00,1.92
1963-02-12 00:00:00,1.9
1963-02-13 00:00:00,1.9
1963-02-14 00:00:00,1.89
1963-02-15 00:00:00,1.88
1963-02-16 00:00:00,1.86
1963-02-17 00:00:00,1.86
1963-02-18 00:00:00,1.83
1963-02-19 00:00:00,1.83
1963-02-20 00:00:00,1.82
1963-02-21 00:00:00,1.81
1963-02-22 00:00:00,1.8
1963-02-23 00:00:00,1.78
1963-02-24 00:00:00,1.77
1963-02-25 00:00:00,1.76
1963-02-26 00:00:00,1.74
1963-02-27 00:00:00,1.73
1963-02-28 00:00:00,1.72
1963-03-01 00:00:00,1.75
1963-03-02 00:00:00,1.71
1963-03-03 00:00:00,1.71
1963-03-04 00:00:00,1.71
1963-03-05 00:00:00,1.7
1963-03-06 00:00:00,1.69
1963-03-07 00:00:00,1.69
1963-03-08 00:00:00,1.66
1963-03-09 00:00:00,1.67
1963-03-10 00:00:00,1.66
1963-03-11 00:00:00,1.65
1963-03-12 00:00:00,1.64
1963-03-13 00:00:00,1.64
1963-03-14 00:00:00,1.63
1963-03-15 00:00:00,1.62
1963-03-16 00:00:00,1.61
1963-03-17 00:00:00,1.6
1963-03-18 00:00:00,1.59
1963-03-19 00:00:00,1.58
1963-03-20 00:00:00,1.57
1963-03-21 00:00:00,1.54
1963-03-22 00:00:00,1.56
1963-03-23 00:00:00,1.56
1963-03-24 00:00:00,1.57
1963-03-25 00:00:00,1.56
1963-03-26 00:00:00,1.56
1963-03-27 00:00:00,1.56
1963-03-28 00:00:00,1.56
1963-03-29 00:00:00,1.56
1963-03-30 00:00:00,1.55
1963-03-31 00:00:00,1.54
1997-04-05 00:00:00,1.14
1997-04-06 00:00:00,1.16
1997-04-07 00:00:00,1.14
1997-04-08 00:00:00,1.14
1997-04-09 00:00:00,1.19
1997-04-10 00:00:00,1.21
1997-04-11 00:00:00,1.41
1997-04-12 00:00:00,1.88
1997-04-13 00:00:00,2.06
1997-04-14 00:00:00,1.75
1997-04-15 00:00:00,1.63
1997-04-16 00:00:00,1.64
1997-04-17 00:00:00,1.56
1997-04-18 00:00:00,1.48
1997-04-19 00:00:00,1.38
1997-04-20 00:00:00,1.31
1997-04-21 00:00:00,1.28
1997-04-22 00:00:00,1.23
1997-04-23 00:00:00,1.24
1997-04-24 00:00:00,1.24
1997-04-25 00:00:00,1.28
1997-04-26 00:00:00,1.34
1997-04-27 00:00:00,1.42
1997-04-28 00:00:00,1.58
1997-04-29 00:00:00,1.76
1997-04-30 00:00:00,1.69
1997-05-01 00:00:00,1.57
1997-05-02 00:00:00,1.44
1997-05-03 00:00:00,1.28
1997-05-04 00:00:00,1.33
1997-05-05 00:00:00,1.26
1997-05-06 00:00:00,1.25
1997-05-07 00:00:00,1.24
1997-05-08 00:00:00,1.25
1997-05-09 00:00:00,1.29
1997-05-10 00:00:00,1.21
1997-05-11 00:00:00,1.16
1997-05-12 00:00:00,1.14
1997-05-13 00:00:00,1.15
1997-05-14 00:00:00,1.2
1997-05-15 00:00:00,1.16
1997-05-16 00:00:00,1.14
1997-05-17 00:00:00,1.12
1997-05-18 00:00:00,1.12
1997-05-19 00:00:00,1.14
1997-05-20 00:00:00,1.17
1997-05-21 00:00:00,1.32
1997-05-22 00:00:00,1.4
1997-05-23 00:00:00,1.41
1997-05-24 00:00:00,1.41
1997-05-25 00:00:00,1.48
1997-05-26 00:00:00,1.61
