datetime,discharge
1991-01-01 00:00:00,993.03
1991-01-02 00:00:00,975.97
1991-01-03 00:00:00,959.08
1991-01-04 00:00:00,942.38
1991-01-05 00:00:00,920.37
1991-01-06 00:00:00,877.29
1991-01-07 00:00:00,856.21
1991-01-08 00:00:00,814.97
1991-01-09 00:00:00,794.81
1991-01-10 00:00:00,765.13
1991-01-11 00:00:00,731.36
1991-01-12 00:00:00,707.79
1991-01-13 00:00:00,684.68
1991-01-14 00:00:00,671.04
1991-01-15 00:00:00,662.03
1991-01-16 00:00:00,648.66
1991-01-17 00:00:00,631.08
1991-01-18 00:00:00,626.74
1991-01-19 00:00:00,618.09
1991-01-20 00:00:00,601.02
1991-01-21 00:00:00,592.59
1991-01-22 00:00:00,575.95
1991-01-23 00:00:00,551.51
1991-01-24 00:00:00,527.71
1991-01-25 00:00:00,508.35
1991-01-26 00:00:00,489.43
1991-01-27 00:00:00,481.98
1991-01-28 00:00:00,467.28
1991-01-29 00:00:00,449.29
1991-01-30 00:00:00,424.81
1991-01-31 00:00:00,397.84
1991-02-01 00:00:00,407.83
1991-02-02 00:00:00,404.49
1991-02-03 00:00:00,391.26
1991-02-04 00:00:00,384.75
1991-02-05 00:00:00,365.6
1991-02-06 00:00:00,340.98
1991-02-07 00:00:00,317.37
1991-02-08 00:00:00,300.33
1991-02-09 00:00:00,283.85
1991-02-10 00:00:00,278.48
1991-02-11 00:00:00,267.92
1991-02-12 00:00:00,262.74
1991-02-13 00:00:00,257.61
1991-02-14 00:00:00,257.61
1991-02-15 00:00:00,257.61
1991-02-16 00:00:00,250.03
1991-02-17 00:00:00,257.61
1991-02-18 00:00:00,257.61
1991-02-19 00:00:00,242.59
1991-02-20 00:00:00,250.03
1991-02-21 00:00:00,247.54
1991-02-22 00:00:00,237.7
1991-02-23 00:00:00,218.75
1991-02-24 00:00:00,230.49
1991-02-25 00:00:00,228.11
1991-02-26 00:00:00,214.16
1991-02-27 00:00:00,216.45
1991-02-28 00:00:00,211.88
1991-03-01 00:00:00,205.15
1991-03-02 00:00:00,202.93
1991-03-03 00:00:00,198.54
1991-03-04 00:00:00,196.37
1991-03-05 00:00:00,183.63
1991-03-06 00:00:00,171.4
1991-03-07 00:00:00,159.67
1991-03-08 00:00:00,148.44
1991-03-09 00:00:00,134.21
1991-03-10 00:00:00,130.79
1991-03-11 00:00:00,120.84
1991-03-12 00:00:00,112.9
1991-03-13 00:00:00,117.63
1991-03-14 00:00:00,127.42
1991-03-15 00:00:00,132.49
1991-03-16 00:00:00,141.22
1991-03-17 00:00:00,143.0
1991-03-18 00:00:00,155.87
1991-03-19 00:00:00,169.41
1991-03-20 00:00:00,167.44
1991-03-21 00:00:00,159.67
1991-03-22 00:00:00,143.0
1991-03-23 00:00:00,137.69
