stage,datetime,discharge,log_stage,log_discharge
4.47,1960-01-01,4671.0,0.6503075231319364,3.669409867287783
4.44,1960-01-02,4637.0,0.6473829701146199,3.6662370958958044
4.41,1960-01-03,4602.0,0.6444385894678385,3.6629466143326246
4.35,1960-01-04,4525.0,0.6384892569546373,3.655618583541222
4.29,1960-01-05,4456.0,0.6324572921847242,3.6489451821656727
4.2,1960-01-06,4352.0,0.6232492903979004,3.6386888866901237
4.12,1960-01-07,4261.0,0.6148972160331346,3.629511534200453
4.03,1960-01-08,4150.0,0.6053050461411095,3.6180480967120925
3.98,1960-01-09,4092.0,0.5998830720736879,3.6119356250401227
3.94,1960-01-10,4046.0,0.5954962218255742,3.607025878434786
3.84,1960-01-11,3932.0,0.5843312243675308,3.594613509160098
3.88,1960-01-12,3977.0,0.5888317255942073,3.59955559098598
3.95,1960-01-13,4058.0,0.5965970956264602,3.608312042697327
3.98,1960-01-14,4092.0,0.5998830720736879,3.6119356250401227
3.95,1960-01-15,4058.0,0.5965970956264602,3.608312042697327
3.91,1960-01-16,4012.0,0.5921767573958668,3.6033609243483804
3.88,1960-01-17,3977.0,0.5888317255942073,3.59955559098598
3.82,1960-01-18,3909.0,0.5820633629117087,3.5920656704322473
3.77,1960-01-19,3851.0,0.5763413502057929,3.585573518622731
3.78,1960-01-20,3863.0,0.5774917998372253,3.5869247081448203
3.66,1960-01-21,3725.0,0.5634810853944107,3.5711262770843115
3.54,1960-01-22,3588.0,0.5490032620257879,3.5548524343720547
3.45,1960-01-23,3496.0,0.5378190950732742,3.5435714239623652
3.38,1960-01-24,3425.0,0.5289167002776547,3.534660575828444
3.34,1960-01-25,3385.0,0.5237464668115644,3.529558673021163
3.29,1960-01-26,3337.0,0.5171958979499743,3.5233562066547925
3.27,1960-01-27,3317.0,0.5145477526602861,3.5207454715194824
3.25,1960-01-28,3297.0,0.5118833609788743,3.518118947143153
3.25,1960-01-29,3297.0,0.5118833609788743,3.518118947143153
