stage,datetime,discharge,log_stage,log_discharge
0.99,1962-04-24,3.06,-0.004364805402450088,0.48572142648158
0.88,1962-04-25,2.09,-0.05551732784983137,0.32014628611105395
0.8,1962-04-26,1.45,-0.09691001300805639,0.16136800223497488
0.74,1962-04-27,1.04,-0.13076828026902382,0.01703333929878037
0.78,1962-04-30,2.01,-0.10790539730951958,0.30319605742048883
0.78,1962-05-01,1.17,-0.10790539730951958,0.06818586174616162
1.08,1962-05-02,3.93,0.03342375548694973,0.5943925503754267
0.96,1962-05-03,2.79,-0.017728766960431602,0.44560420327359757
0.88,1962-05-04,2.09,-0.05551732784983137,0.32014628611105395
0.8,1962-05-05,1.45,-0.09691001300805639,0.16136800223497488
0.76,1962-05-06,1.17,-0.11918640771920865,0.06818586174616162
0.74,1962-05-07,1.04,-0.13076828026902382,0.01703333929878037
0.75,1962-05-17,1.1,-0.12493873660829995,0.04139268515822508
0.79,1962-05-18,1.38,-0.10237290870955855,0.13987908640123647
0.84,1962-05-21,1.77,-0.07572071393811836,0.24797326636180664
1.42,1962-05-23,8.08,0.15228834438305647,0.9074113607745862
1.6,1962-05-24,10.8,0.2041199826559248,1.0334237554869496
1.44,1962-05-25,8.36,0.15836249209524964,0.9222062774390164
1.9,1962-05-26,15.8,0.2787536009528289,1.1986570869544226
2.0,1962-05-27,17.6,0.3010299956639812,1.24551266781415
1.74,1962-05-28,13.0,0.24054924828259971,1.1139433523068367
1.44,1962-05-29,8.36,0.15836249209524964,0.9222062774390164
1.22,1962-05-30,5.49,0.08635983067474821,0.7395723444500919
1.08,1962-05-31,3.93,0.03342375548694973,0.5943925503754267
1.04,1962-06-01,3.51,0.01703333929878037,0.5453071164658241
1.9,1962-06-02,15.8,0.2787536009528289,1.1986570869544226
3.28,1962-06-03,49.3,0.5158738437116791,1.69284691927723
3.54,1962-06-04,57.4,0.5490032620257879,1.7589118923979734
2.6,1962-06-05,30.8,0.414973347970818,1.4885507165004443
1.84,1962-06-06,14.7,0.2648178230095365,1.167317334748176
1.69,1962-06-07,12.2,0.22788670461367352,1.0863598306747482
1.64,1962-06-08,11.4,0.21484384804769785,1.0569048513364727
1.46,1962-06-09,8.64,0.1643528557844371,0.9365137424788933
1.38,1962-06-10,7.54,0.13987908640123647,0.877371345869774
1.26,1962-06-11,5.98,0.10037054511756291,0.7767011839884109
1.1,1962-06-12,4.15,0.04139268515822508,0.6180480967120927
1.0,1962-06-13,3.15,0.0,0.4983105537896005
1.04,1962-06-14,3.51,0.01703333929878037,0.5453071164658241
1.98,1962-06-15,17.2,0.2966651902615311,1.235528446907549
1.16,1962-06-16,4.81,0.06445798922691845,0.6821450763738317
1.32,1962-06-17,6.76,0.12057393120584989,0.829946695941636
1.4,1962-06-18,7.8,0.146128035678238,0.8920946026904804
1.64,1962-06-19,11.4,0.21484384804769785,1.0569048513364727
2.4,1962-06-20,26.1,0.38021124171160603,1.416640507338281
3.28,1962-06-21,49.3,0.5158738437116791,1.69284691927723
3.02,1962-06-22,41.7,0.48000694295715063,1.6201360549737576
2.06,1962-06-23,18.8,0.31386722036915343,1.2741578492636798
1.74,1962-06-24,13.0,0.24054924828259971,1.1139433523068367
1.64,1962-06-25,11.4,0.21484384804769785,1.0569048513364727
1.5,1962-06-26,9.2,0.17609125905568124,0.9637878273455552
1.7,1962-06-27,12.4,0.2304489213782739,1.0934216851622351
1.56,1962-06-28,10.2,0.1931245983544616,1.0086001717619175
1.52,1962-06-29,9.52,0.18184358794477254,0.9786369483844743
1.3,1962-06-30,6.5,0.11394335230683679,0.8129133566428556
1.22,1962-07-01,5.5,0.08635983067474821,0.7403626894942439
1.02,1962-07-02,3.3,0.00860017176191757,0.5185139398778874
0.94,1962-07-03,2.6,-0.026872146400301365,0.414973347970818
0.92,1962-07-04,2.4,-0.036212172654444715,0.38021124171160603
0.8,1962-07-05,1.7,-0.09691001300805639,0.2304489213782739
1.88,1962-07-06,15.4,0.2741578492636798,1.187520720836463
1.78,1962-07-07,13.7,0.250420002308894,1.1367205671564067
2.0,1962-07-08,17.6,0.3010299956639812,1.24551266781415
2.2,1962-07-09,21.7,0.3424226808222063,1.3364597338485296
4.0,1962-07-10,73.8,0.6020599913279624,1.8680563618230415
4.42,1962-07-11,91.4,0.6454222693490919,1.9609461957338314
4.88,1962-07-12,113.0,0.6884198220027106,2.0530784434834195
5.14,1962-07-13,127.0,0.7109631189952758,2.103803720955957
5.26,1962-07-14,133.0,0.7209857441537391,2.123851640967086
5.28,1962-07-15,134.0,0.7226339225338123,2.1271047983648077
5.3,1962-07-16,136.0,0.724275869600789,2.1335389083702174
5.34,1962-07-17,138.0,0.7275412570285564,2.1398790864012365
5.36,1962-07-18,139.0,0.7291647896927701,2.143014800254095
5.36,1962-07-19,139.0,0.7291647896927701,2.143014800254095
5.36,1962-07-20,139.0,0.7291647896927701,2.143014800254095
5.37,1962-07-21,139.0,0.7299742856995556,2.143014800254095
5.37,1962-07-22,139.0,0.7299742856995556,2.143014800254095
5.36,1962-07-23,139.0,0.7291647896927701,2.143014800254095
5.34,1962-07-24,138.0,0.7275412570285564,2.1398790864012365
5.3,1962-07-25,135.0,0.724275869600789,2.130333768495006
5.12,1962-07-26,126.0,0.7092699609758307,2.100370545117563
4.6,1962-07-27,99.7,0.6627578316815741,1.9986951583116557
4.22,1962-07-28,82.6,0.6253124509616739,1.9169800473203822
3.7,1962-07-29,62.6,0.568201724066995,1.7965743332104296
3.02,1962-07-30,41.7,0.48000694295715063,1.6201360549737576
2.5,1962-07-31,28.4,0.3979400086720376,1.4533183400470377
2.3,1962-08-01,23.9,0.36172783601759284,1.3783979009481377
2.12,1962-08-02,20.0,0.32633586092875144,1.3010299956639813
1.98,1962-08-03,17.2,0.2966651902615311,1.235528446907549
2.18,1962-08-04,21.3,0.33845649360460484,1.3283796034387378
2.14,1962-08-05,20.4,0.33041377334919086,1.3096301674258988
2.27,1962-08-06,23.2,0.35602585719312274,1.3654879848908996
3.26,1962-08-07,48.7,0.5132176000679389,1.6875289612146342
2.64,1962-08-08,31.8,0.42160392686983106,1.5024271199844328
2.12,1962-08-09,20.0,0.32633586092875144,1.3010299956639813
2.4,1962-08-10,26.7,0.38021124171160603,1.4265112613645752
3.38,1962-08-11,52.4,0.5289167002776547,1.7193312869837267
4.38,1962-08-12,90.0,0.6414741105040995,1.954242509439325
4.9,1962-08-13,114.0,0.6901960800285137,2.0569048513364727
5.32,1962-08-14,137.0,0.7259116322950482,2.1367205671564067
5.38,1962-08-15,140.0,0.7307822756663892,2.146128035678238
5.32,1962-08-16,137.0,0.7259116322950482,2.1367205671564067
5.24,1962-08-17,132.0,0.7193312869837266,2.12057393120585
4.82,1962-08-18,110.0,0.6830470382388496,2.041392685158225
3.62,1962-08-19,58.3,0.5587085705331657,1.765668554759014
2.7,1962-08-20,31.0,0.43136376415898736,1.4913616938342726
2.66,1962-08-21,29.5,0.424881636631067,1.469822015978163
2.42,1962-08-22,22.5,0.38381536598043126,1.3521825181113625
2.3,1962-08-23,18.2,0.36172783601759284,1.2600713879850747
2.48,1962-08-24,22.5,0.3944516808262163,1.3521825181113625
3.06,1962-08-25,39.0,0.48572142648158,1.591064607026499
4.14,1962-08-26,76.0,0.617000341120899,1.8808135922807914
4.12,1962-08-27,75.0,0.6148972160331346,1.8750612633917
4.48,1962-08-28,91.0,0.651278013998144,1.9590413923210936
2.94,1962-08-29,34.5,0.46834733041215726,1.5378190950732742
2.64,1962-08-30,25.0,0.42160392686983106,1.3979400086720377
2.62,1962-08-31,24.0,0.41830129131974547,1.380211241711606
2.72,1962-09-01,26.0,0.43456890403419873,1.414973347970818
2.46,1962-09-02,18.0,0.39093510710337914,1.255272505103306
2.23,1962-09-03,10.0,0.34830486304816066,1.0
2.26,1962-09-04,11.0,0.35410843914740087,1.0413926851582251
2.2,1962-09-05,8.0,0.3424226808222063,0.9030899869919435
2.16,1962-09-06,7.0,0.3344537511509309,0.8450980400142568
2.2,1962-09-07,8.0,0.3424226808222063,0.9030899869919435
3.04,1962-09-08,36.0,0.48287358360875376,1.5563025007672873
4.24,1962-09-09,78.0,0.6273658565927327,1.8920946026904804
4.9,1962-09-10,109.0,0.6901960800285137,2.037426497940624
5.38,1962-09-11,133.0,0.7307822756663892,2.123851640967086
5.38,1962-09-12,133.0,0.7307822756663892,2.123851640967086
5.37,1962-09-13,132.0,0.7299742856995556,2.12057393120585
5.38,1962-09-14,132.0,0.7307822756663892,2.12057393120585
5.36,1962-09-15,131.0,0.7291647896927701,2.1172712956557644
5.28,1962-09-16,127.0,0.7226339225338123,2.103803720955957
5.26,1962-09-17,126.0,0.7209857441537391,2.100370545117563
5.22,1962-09-18,123.0,0.7176705030022621,2.089905111439398
5.24,1962-09-19,124.0,0.7193312869837266,2.093421685162235
5.2,1962-09-20,122.0,0.7160033436347992,2.0863598306747484
5.18,1962-09-21,120.0,0.714329759745233,2.0791812460476247
5.14,1962-09-22,118.0,0.7109631189952758,2.0718820073061255
5.1,1962-09-23,116.0,0.7075701760979364,2.0644579892269186
5.16,1962-09-24,119.0,0.7126497016272114,2.0755469613925306
5.16,1962-09-25,118.0,0.7126497016272114,2.0718820073061255
5.14,1962-09-26,117.0,0.7109631189952758,2.0681858617461617
5.2,1962-09-27,120.0,0.7160033436347992,2.0791812460476247
5.28,1962-09-28,124.0,0.7226339225338123,2.093421685162235
5.3,1962-09-29,125.0,0.724275869600789,2.0969100130080562
5.34,1962-09-30,127.0,0.7275412570285564,2.103803720955957
5.34,1962-10-01,126.0,0.7275412570285564,2.100370545117563
5.34,1962-10-02,126.0,0.7275412570285564,2.100370545117563
5.32,1962-10-03,125.0,0.7259116322950482,2.0969100130080562
5.26,1962-10-04,122.0,0.7209857441537391,2.0863598306747484
5.16,1962-10-05,116.0,0.7126497016272114,2.0644579892269186
5.1,1962-10-06,113.0,0.7075701760979364,2.0530784434834195
5.0,1962-10-07,108.0,0.6989700043360189,2.03342375548695
4.88,1962-10-08,102.0,0.6884198220027106,2.0086001717619175
