datetime,discharge
1962-05-21 00:00:00,1.36
1962-05-22 00:00:00,2.28
1962-05-23 00:00:00,7.54
1962-05-24 00:00:00,3.74
1962-05-28 00:00:00,1.58
1962-06-02 00:00:00,7.27
1962-06-03 00:00:00,20.3
1962-06-04 00:00:00,8.46
1962-06-05 00:00:00,5.83
1962-06-06 00:00:00,5.23
1962-06-07 00:00:00,4.16
1962-06-08 00:00:00,1.69
1962-06-09 00:00:00,2.1
1962-06-10 00:00:00,20.3
1962-06-11 00:00:00,20.0
1962-06-12 00:00:00,7.27
1962-06-13 00:00:00,6.43
1962-06-14 00:00:00,5.75
1962-06-15 00:00:00,4.44
1962-06-16 00:00:00,4.09
1962-06-17 00:00:00,4.58
1962-06-18 00:00:00,1.2
1962-06-19 00:00:00,7.54
1962-06-20 00:00:00,12.36
1962-06-21 00:00:00,12.36
1962-06-22 00:00:00,7.83
1962-06-23 00:00:00,9.3
1962-06-24 00:00:00,16.4
1962-06-25 00:00:00,18.3
1962-06-26 00:00:00,18.5
1962-06-27 00:00:00,24.2
1962-06-28 00:00:00,11.54
1962-06-29 00:00:00,6.35
1962-06-30 00:00:00,6.13
1962-07-01 00:00:00,6.1
1962-07-02 00:00:00,6.1
1962-07-03 00:00:00,5.9
1962-07-04 00:00:00,6.1
1962-07-05 00:00:00,6.1
1962-07-06 00:00:00,6.2
1962-07-07 00:00:00,8.2
1962-07-08 00:00:00,8.0
1962-07-09 00:00:00,19.1
1962-07-10 00:00:00,27.2
1962-07-11 00:00:00,43.8
1962-07-12 00:00:00,45.5
1962-07-13 00:00:00,49.4
1962-07-14 00:00:00,37.2
1962-07-15 00:00:00,77.6
1962-07-16 00:00:00,97.5
1962-07-17 00:00:00,102.0
1962-07-18 00:00:00,113.0
1962-07-19 00:00:00,184.0
1962-07-20 00:00:00,184.0
1962-07-21 00:00:00,184.0
1962-07-22 00:00:00,184.0
1962-07-23 00:00:00,184.0
1962-07-24 00:00:00,184.0
1962-07-25 00:00:00,184.0
1962-07-26 00:00:00,179.0
1962-07-27 00:00:00,83.5
1962-07-28 00:00:00,53.8
1962-07-29 00:00:00,26.0
1962-07-30 00:00:00,7.5
1962-07-31 00:00:00,6.3
1962-08-01 00:00:00,6.13
1962-08-02 00:00:00,6.13
1962-08-03 00:00:00,6.93
1962-08-04 00:00:00,14.46
1962-08-05 00:00:00,35.0
1962-08-06 00:00:00,41.2
1962-08-07 00:00:00,34.5
1962-08-08 00:00:00,8.78
1962-08-09 00:00:00,8.99
1962-08-10 00:00:00,70.0
1962-08-11 00:00:00,175.0
1962-08-12 00:00:00,183.0
