stage,datetime,discharge,log_stage,log_discharge
1.42,1962-05-21,1.36,0.15228834438305647,0.13353890837021754
1.58,1962-05-22,2.28,0.19865708695442263,0.35793484700045375
1.82,1962-05-24,3.74,0.2600713879850748,0.5728716022004802
1.46,1962-05-28,1.58,0.1643528557844371,0.19865708695442263
2.29,1962-06-02,7.27,0.359835482339888,0.8615344108590378
3.28,1962-06-03,20.3,0.5158738437116791,1.307496037913213
1.88,1962-06-07,4.16,0.2741578492636798,0.6190933306267428
3.28,1962-06-10,20.3,0.5158738437116791,1.307496037913213
3.25,1962-06-11,20.0,0.5118833609788743,1.3010299956639813
2.19,1962-06-13,6.43,0.34044411484011833,0.8082109729242221
2.1,1962-06-14,5.75,0.3222192947339193,0.7596678446896304
1.92,1962-06-15,4.44,0.28330122870354957,0.6473829701146199
1.87,1962-06-16,4.09,0.27184160653649897,0.6117233080073418
1.94,1962-06-17,4.58,0.287801729930226,0.6608654780038692
1.39,1962-06-18,1.2,0.14301480025409505,0.07918124604762482
2.32,1962-06-19,7.54,0.3654879848908996,0.877371345869774
2.74,1962-06-20,12.36,0.437750562820388,1.0920184707527971
2.74,1962-06-21,12.36,0.437750562820388,1.0920184707527971
2.35,1962-06-22,7.83,0.37106786227173627,0.8937617620579434
2.5,1962-06-23,9.3,0.3979400086720376,0.9684829485539351
3.02,1962-06-24,16.4,0.48000694295715063,1.2148438480476977
3.15,1962-06-25,18.3,0.4983105537896005,1.2624510897304295
3.22,1962-06-26,18.5,0.5078558716958309,1.2671717284030137
3.54,1962-06-27,24.2,0.5490032620257879,1.3838153659804313
2.14,1962-07-01,6.1,0.33041377334919086,0.785329835010767
2.14,1962-07-02,6.1,0.33041377334919086,0.785329835010767
2.13,1962-07-03,5.9,0.3283796034387377,0.7708520116421442
2.14,1962-07-04,6.1,0.33041377334919086,0.785329835010767
2.14,1962-07-05,6.1,0.33041377334919086,0.785329835010767
2.17,1962-07-06,6.2,0.3364597338485295,0.7923916894982539
2.39,1962-07-07,8.2,0.3783979009481377,0.9138138523837167
2.37,1962-07-08,8.0,0.37474834601010387,0.9030899869919435
3.2,1962-07-09,19.1,0.505149978319906,1.2810333672477277
3.72,1962-07-10,27.2,0.5705429398818975,1.4345689040341987
4.59,1962-07-11,43.8,0.6618126855372612,1.6414741105040995
4.65,1962-07-12,45.5,0.667452952889954,1.6580113966571124
4.84,1962-07-13,49.4,0.6848453616444125,1.6937269489236468
4.27,1962-07-14,37.2,0.6304278750250238,1.5705429398818975
5.85,1962-07-15,77.6,0.7671558660821804,1.8898617212581883
6.52,1962-07-16,97.5,0.8142475957319202,1.9890046156985368
6.65,1962-07-17,102.0,0.8228216453031046,2.0086001717619175
7.02,1962-07-18,113.0,0.8463371121298052,2.0530784434834195
8.98,1962-07-19,184.0,0.9532763366673044,2.2648178230095364
8.98,1962-07-20,184.0,0.9532763366673044,2.2648178230095364
8.98,1962-07-21,184.0,0.9532763366673044,2.2648178230095364
8.98,1962-07-22,184.0,0.9532763366673044,2.2648178230095364
8.98,1962-07-23,184.0,0.9532763366673044,2.2648178230095364
8.98,1962-07-24,184.0,0.9532763366673044,2.2648178230095364
8.98,1962-07-25,184.0,0.9532763366673044,2.2648178230095364
8.85,1962-07-26,179.0,0.9469432706978255,2.2528530309798933
2.15,1962-07-31,6.3,0.33243845991560533,0.7993405494535817
2.15,1962-08-01,6.13,0.33243845991560533,0.787460474518415
2.15,1962-08-02,6.13,0.33243845991560533,0.787460474518415
2.25,1962-08-03,6.93,0.3521825181113625,0.8407332346118067
2.89,1962-08-04,14.46,0.4608978427565479,1.160168292958512
4.15,1962-08-05,35.0,0.6180480967120927,1.5440680443502757
4.56,1962-08-06,41.2,0.658964842664435,1.6148972160331345
4.12,1962-08-07,34.5,0.6148972160331346,1.5378190950732742
2.45,1962-08-08,8.78,0.3891660843645325,0.9434945159061026
2.47,1962-08-09,8.99,0.39269695325966575,0.9537596917332288
5.62,1962-08-10,70.0,0.7497363155690611,1.845098040014257
8.75,1962-08-11,175.0,0.9420080530223133,2.2430380486862944
8.95,1962-08-12,183.0,0.951823035315912,2.2624510897304293
8.98,1962-08-13,184.0,0.9532763366673044,2.2648178230095364
8.85,1962-08-14,179.0,0.9469432706978255,2.2528530309798933
8.72,1962-08-15,174.0,0.9405164849325672,2.2405492482826
6.42,1962-08-16,94.5,0.8075350280688532,1.975431808509263
5.58,1962-08-17,59.0,0.7466341989375788,1.7708520116421442
4.5,1962-08-18,42.0,0.6532125137753437,1.6232492903979006
3.55,1962-08-19,24.0,0.5502283530550941,1.380211241711606
3.0,1962-08-20,11.0,0.47712125471966244,1.0413926851582251
2.85,1962-08-21,8.5,0.4548448600085102,0.9294189257142927
2.8,1962-08-22,6.0,0.4471580313422192,0.7781512503836436
2.64,1962-08-23,2.6,0.42160392686983106,0.414973347970818
3.75,1962-08-24,23.6,0.5740312677277188,1.3729120029701065
3.87,1962-08-25,25.5,0.5877109650189114,1.4065401804339552
3.85,1962-08-26,24.7,0.5854607295085007,1.3926969532596658
3.15,1962-08-27,8.0,0.4983105537896005,0.9030899869919435
2.86,1962-08-28,3.0,0.456366033129043,0.47712125471966244
2.8,1962-08-29,1.0,0.4471580313422192,0.0
3.85,1962-08-30,22.5,0.5854607295085007,1.3521825181113625
3.54,1962-08-31,13.0,0.5490032620257879,1.1139433523068367
3.4,1962-09-01,13.0,0.5314789170422551,1.1139433523068367
3.41,1962-09-02,13.0,0.5327543789924978,1.1139433523068367
3.4,1962-09-03,13.0,0.5314789170422551,1.1139433523068367
4.85,1962-09-04,46.0,0.6857417386022636,1.662757831681574
6.95,1962-09-05,109.0,0.8419848045901139,2.037426497940624
7.95,1962-09-06,146.0,0.9003671286564703,2.164352855784437
8.25,1962-09-07,153.0,0.9164539485499251,2.184691430817599
8.29,1962-09-08,154.0,0.9185545305502735,2.187520720836463
8.49,1962-09-09,161.0,0.9289076902439527,2.2068258760318495
8.75,1962-09-10,170.0,0.9420080530223133,2.230448921378274
8.75,1962-09-11,170.0,0.9420080530223133,2.230448921378274
8.86,1962-09-12,175.0,0.9474337218870508,2.2430380486862944
8.95,1962-09-13,175.0,0.951823035315912,2.2430380486862944
9.0,1962-09-14,175.0,0.9542425094393249,2.2430380486862944
9.0,1962-09-15,175.0,0.9542425094393249,2.2430380486862944
9.08,1962-09-16,176.0,0.9580858485210851,2.24551266781415
9.03,1962-09-17,173.0,0.9556877503135057,2.2380461031287955
8.95,1962-09-18,168.0,0.951823035315912,2.225309281725863
8.56,1962-09-19,152.0,0.9324737646771533,2.1818435879447726
8.8,1962-09-20,158.0,0.9444826721501687,2.1986570869544226
8.87,1962-09-21,161.0,0.9479236198317263,2.2068258760318495
8.87,1962-09-22,161.0,0.9479236198317263,2.2068258760318495
8.59,1962-09-23,148.0,0.9339931638312423,2.1702617153949575
7.8,1962-09-24,119.0,0.8920946026904804,2.0755469613925306
7.5,1962-09-25,106.0,0.8750612633917001,2.0253058652647704
7.1,1962-09-26,92.0,0.8512583487190752,1.9637878273455553
6.8,1962-09-27,80.0,0.8325089127062363,1.9030899869919435
6.48,1962-09-28,69.0,0.8115750058705934,1.8388490907372552
6.44,1962-09-29,66.0,0.8088858673598122,1.8195439355418688
5.85,1962-09-30,48.0,0.7671558660821804,1.6812412373755872
6.58,1962-10-01,66.0,0.8182258936139555,1.8195439355418688
6.78,1962-10-02,72.0,0.8312296938670634,1.8573324964312685
6.98,1962-10-03,81.0,0.8438554226231612,1.9084850188786497
7.9,1962-10-04,112.0,0.8976270912904415,2.0492180226701815
8.9,1962-10-05,148.0,0.9493900066449128,2.1702617153949575
8.92,1962-10-06,148.0,0.9503648543761231,2.1702617153949575
8.92,1962-10-07,147.0,0.9503648543761231,2.167317334748176
8.97,1962-10-08,149.0,0.9527924430440922,2.173186268412274
8.8,1962-10-09,142.0,0.9444826721501687,2.1522883443830563
7.84,1962-10-10,106.0,0.8943160626844384,2.0253058652647704
7.25,1962-10-11,86.0,0.8603380065709937,1.9344984512435677
6.46,1962-10-12,58.0,0.8102325179950841,1.7634279935629373
6.3,1962-10-13,54.0,0.7993405494535817,1.7323937598229686
6.25,1962-10-14,52.0,0.7958800173440752,1.7160033436347992
6.18,1962-10-15,50.0,0.7909884750888159,1.6989700043360187
6.32,1962-10-16,56.0,0.800717078282385,1.7481880270062005
6.48,1962-10-17,61.0,0.8115750058705934,1.7853298350107671
6.48,1962-10-18,62.0,0.8115750058705934,1.792391689498254
6.45,1962-10-19,61.0,0.8095597146352678,1.7853298350107671
6.35,1962-10-20,59.0,0.8027737252919757,1.7708520116421442
6.4,1962-10-21,61.0,0.8061799739838872,1.7853298350107671
6.38,1962-10-22,61.0,0.8048206787211624,1.7853298350107671
6.18,1962-10-23,56.5,0.7909884750888159,1.7520484478194385
6.1,1962-10-24,54.5,0.785329835010767,1.7363965022766426
5.87,1962-10-25,48.0,0.7686381012476144,1.6812412373755872
5.75,1962-10-26,45.5,0.7596678446896304,1.6580113966571124
5.46,1962-10-27,37.5,0.7371926427047373,1.5740312677277188
5.35,1962-10-28,35.5,0.7283537820212285,1.550228353055094
5.3,1962-10-29,35.0,0.724275869600789,1.5440680443502757
5.25,1962-10-30,34.0,0.7201593034059569,1.5314789170422551
5.2,1962-10-31,33.5,0.7160033436347992,1.5250448070368452
4.95,1962-11-01,29.5,0.6946051989335688,1.469822015978163
4.85,1962-11-02,27.0,0.6857417386022636,1.4313637641589874
4.83,1962-11-03,26.5,0.6839471307515121,1.423245873936808
4.8,1962-11-04,26.0,0.6812412373755872,1.414973347970818
4.72,1962-11-05,25.5,0.6739419986340878,1.4065401804339552
4.65,1962-11-06,25.0,0.667452952889954,1.3979400086720377
4.58,1962-11-07,24.5,0.6608654780038692,1.3891660843645324
4.56,1962-11-08,24.3,0.658964842664435,1.3856062735983121
4.4,1962-11-09,23.2,0.6434526764861874,1.3654879848908996
4.21,1962-11-10,22.6,0.6242820958356683,1.354108439147401
4.19,1962-11-11,21.8,0.6222140229662954,1.3384564936046048
4.17,1962-11-12,21.2,0.6201360549737575,1.3263358609287514
4.16,1962-11-13,20.6,0.6190933306267428,1.3138672203691535
4.06,1962-11-14,20.1,0.608526033577194,1.3031960574204888
3.9,1962-11-15,19.5,0.5910646070264992,1.290034611362518
3.87,1962-11-16,19.0,0.5877109650189114,1.2787536009528289
3.83,1962-11-17,18.5,0.5831987739686227,1.2671717284030137
3.81,1962-11-18,18.1,0.5809249756756193,1.2576785748691846
3.8,1962-11-19,17.6,0.5797835966168101,1.24551266781415
3.78,1962-11-20,17.2,0.5774917998372253,1.235528446907549
3.68,1962-11-21,16.7,0.5658478186735176,1.2227164711475833
3.58,1962-11-22,16.3,0.5538830266438743,1.212187604403958
3.51,1962-11-23,15.9,0.5453071164658241,1.2013971243204515
3.28,1962-11-24,15.5,0.5158738437116791,1.1903316981702914
3.28,1962-11-25,14.0,0.5158738437116791,1.146128035678238
3.07,1962-11-26,12.8,0.48713837547718647,1.1072099696478683
2.98,1962-11-27,11.4,0.4742162640762552,1.0569048513364727
