discharge,datetime
31.0,1961-01-01
22.0,1961-01-02
22.0,1961-01-03
21.0,1961-01-04
21.0,1961-01-05
20.0,1961-01-06
20.0,1961-01-07
19.0,1961-01-08
19.0,1961-01-09
16.0,1961-01-10
15.0,1961-01-11
13.0,1961-01-12
12.0,1961-01-13
10.0,1961-01-14
8.0,1961-01-15
7.0,1961-01-16
8.0,1961-01-17
8.0,1961-01-18
7.0,1961-01-19
7.0,1961-01-20
7.0,1961-01-21
8.0,1961-01-22
13.0,1961-01-23
13.0,1961-01-24
9.0,1961-01-25
12.0,1961-01-26
11.0,1961-01-27
9.0,1961-01-28
8.0,1961-01-29
7.0,1961-01-30
7.0,1961-01-31
7.0,1961-02-01
7.0,1961-02-02
6.0,1961-02-03
6.0,1961-02-04
6.0,1961-02-05
6.0,1961-02-06
6.0,1961-02-07
6.0,1961-02-08
6.0,1961-02-09
6.0,1961-02-10
5.0,1961-02-11
5.0,1961-02-12
6.0,1961-02-13
5.0,1961-02-14
5.0,1961-02-15
5.0,1961-02-16
5.0,1961-02-17
5.0,1961-02-18
5.0,1961-02-19
5.0,1961-02-20
5.0,1961-02-21
5.0,1961-02-22
5.0,1961-02-23
5.0,1961-02-24
5.0,1961-02-25
5.0,1961-02-26
5.0,1961-02-27
5.0,1961-02-28
5.0,1961-03-01
5.0,1961-03-02
5.0,1961-03-03
4.0,1961-03-04
5.0,1961-03-05
4.0,1961-03-06
4.0,1961-03-07
4.0,1961-03-08
4.0,1961-03-09
4.0,1961-03-10
4.0,1961-03-11
4.0,1961-03-12
4.0,1961-03-13
4.0,1961-03-14
3.0,1961-03-15
3.0,1961-03-16
3.0,1961-03-17
4.0,1961-03-18
4.0,1961-03-19
4.0,1961-03-20
3.0,1961-03-21
4.0,1961-03-22
3.0,1961-03-23
3.0,1961-03-24
3.0,1961-03-25
3.0,1961-03-26
3.0,1961-03-27
3.0,1961-03-28
3.0,1961-03-29
3.0,1961-03-30
2.0,1961-03-31
2.0,1961-04-01
2.0,1961-04-02
2.0,1961-04-03
1.0,1961-04-04
1.0,1961-04-05
1.0,1961-04-06
2.0,1961-04-07
1.0,1961-04-08
1.0,1961-04-09
1.0,1961-04-10
1.0,1961-04-11
1.0,1961-04-12
1.0,1961-04-13
2.0,1961-04-14
1.0,1961-04-15
1.0,1961-04-17
2.0,1961-04-18
1.0,1961-04-19
2.0,1961-04-20
2.0,1961-04-21
2.0,1961-04-23
1.0,1961-04-24
5.0,1961-04-25
6.0,1961-04-26
5.0,1961-04-27
5.0,1961-04-28
6.0,1961-04-29
6.0,1961-04-30
5.0,1961-05-01
4.0,1961-05-02
3.0,1961-05-03
3.0,1961-05-04
18.4,1961-05-05
19.2,1961-05-06
19.2,1961-05-07
23.0,1961-05-08
46.0,1961-05-09
53.0,1961-05-10
47.0,1961-05-11
37.0,1961-05-12
30.0,1961-05-13
26.0,1961-05-14
25.0,1961-05-15
27.0,1961-05-16
27.0,1961-05-17
25.0,1961-05-18
24.0,1961-05-19
22.0,1961-05-20
21.0,1961-05-21
24.0,1961-05-22
27.0,1961-05-23
54.0,1961-05-24
94.0,1961-05-25
131.0,1961-05-26
183.0,1961-05-27
212.0,1961-05-28
256.0,1961-05-29
306.0,1961-05-30
344.0,1961-05-31
332.0,1961-06-01
301.0,1961-06-02
277.0,1961-06-03
228.0,1961-06-04
134.0,1961-06-05
156.0,1961-06-06
125.0,1961-06-07
111.0,1961-06-08
124.0,1961-06-09
214.0,1961-06-10
262.0,1961-06-11
277.0,1961-06-12
279.0,1961-06-13
249.0,1961-06-14
206.0,1961-06-15
163.0,1961-06-16
128.0,1961-06-17
103.0,1961-06-18
85.0,1961-06-19
76.0,1961-06-20
68.0,1961-06-21
63.0,1961-06-22
173.0,1961-06-23
356.0,1961-06-24
443.0,1961-06-25
410.0,1961-06-26
