datetime,discharge
1965-01-01 00:00:00,759.0
1965-01-02 00:00:00,735.0
1965-01-03 00:00:00,699.0
1965-01-04 00:00:00,684.0
1965-01-05 00:00:00,666.0
1965-01-06 00:00:00,633.0
1965-01-07 00:00:00,618.0
1965-01-08 00:00:00,603.0
1965-01-09 00:00:00,585.0
1965-01-10 00:00:00,570.0
1965-01-11 00:00:00,549.0
1965-01-12 00:00:00,531.0
1965-01-13 00:00:00,516.0
1965-01-14 00:00:00,498.0
1965-01-15 00:00:00,480.0
1965-01-16 00:00:00,463.0
1965-01-17 00:00:00,448.0
1965-01-18 00:00:00,435.0
1965-01-19 00:00:00,420.0
1965-01-20 00:00:00,405.0
1965-01-21 00:00:00,390.0
1965-01-22 00:00:00,375.0
1965-01-23 00:00:00,362.0
1965-01-24 00:00:00,348.0
1965-01-25 00:00:00,335.0
1965-01-26 00:00:00,323.0
1965-01-27 00:00:00,310.0
1965-01-28 00:00:00,295.0
1965-01-29 00:00:00,280.0
1965-01-30 00:00:00,265.0
1965-01-31 00:00:00,253.0
1965-02-01 00:00:00,218.0
1965-02-02 00:00:00,188.0
1965-02-03 00:00:00,177.0
1965-02-04 00:00:00,156.0
1965-02-05 00:00:00,149.0
1965-02-06 00:00:00,139.0
1965-02-07 00:00:00,133.0
1965-02-08 00:00:00,129.0
1965-02-09 00:00:00,114.0
1965-02-10 00:00:00,102.0
1965-02-11 00:00:00,104.0
1965-02-12 00:00:00,99.0
1965-02-13 00:00:00,96.0
1965-02-14 00:00:00,90.0
1965-02-15 00:00:00,90.0
1965-02-16 00:00:00,87.0
1965-02-17 00:00:00,85.0
1965-02-18 00:00:00,88.0
1965-02-19 00:00:00,87.0
1965-02-20 00:00:00,87.0
1965-02-21 00:00:00,85.0
1965-02-22 00:00:00,85.0
1965-02-23 00:00:00,85.0
1965-02-24 00:00:00,85.0
1965-02-25 00:00:00,85.0
1965-02-26 00:00:00,85.0
1965-02-27 00:00:00,85.0
1965-02-28 00:00:00,85.0
1965-03-01 00:00:00,85.0
1965-03-02 00:00:00,88.0
1965-03-03 00:00:00,88.0
1965-03-04 00:00:00,88.0
1965-03-05 00:00:00,82.0
1965-03-06 00:00:00,82.0
1965-03-07 00:00:00,82.0
1965-03-08 00:00:00,86.0
1965-03-09 00:00:00,88.0
1965-03-10 00:00:00,86.0
1965-03-11 00:00:00,86.0
1965-03-12 00:00:00,86.0
1965-03-13 00:00:00,81.0
1965-03-14 00:00:00,81.0
1965-03-15 00:00:00,81.0
1965-03-16 00:00:00,81.0
1965-03-17 00:00:00,80.0
1965-03-18 00:00:00,80.0
1965-03-19 00:00:00,79.0
1965-03-20 00:00:00,89.0
1965-03-21 00:00:00,89.0
1965-03-22 00:00:00,89.0
1965-03-23 00:00:00,87.0
1965-03-24 00:00:00,87.0
1965-03-25 00:00:00,88.0
1965-03-26 00:00:00,87.0
1965-03-27 00:00:00,88.0
1965-03-28 00:00:00,87.0
1965-03-29 00:00:00,88.0
1965-03-30 00:00:00,88.0
1965-03-31 00:00:00,81.0
1965-04-01 00:00:00,88.0
1965-04-02 00:00:00,88.0
1965-04-03 00:00:00,88.0
1965-04-04 00:00:00,87.0
1965-04-05 00:00:00,86.0
1965-04-06 00:00:00,88.0
1965-04-07 00:00:00,87.0
1965-04-08 00:00:00,88.0
1965-04-09 00:00:00,86.0
