stage,datetime,discharge,log_stage,log_discharge
5.78,1965-01-01,759.0,0.761927838420529,2.88024177589548
5.7,1965-01-02,735.0,0.7558748556724915,2.8662873390841948
5.58,1965-01-03,699.0,0.7466341989375788,2.8444771757456815
5.53,1965-01-04,684.0,0.7427251313046983,2.835056101720116
5.47,1965-01-05,666.0,0.7379873263334308,2.823474229170301
5.36,1965-01-06,633.0,0.7291647896927701,2.801403710017355
5.31,1965-01-07,618.0,0.725094521081469,2.790988475088816
5.26,1965-01-08,603.0,0.7209857441537391,2.780317312140151
5.2,1965-01-09,585.0,0.7160033436347992,2.7671558660821804
5.15,1965-01-10,570.0,0.7118072290411911,2.7558748556724915
5.08,1965-01-11,549.0,0.7058637122839193,2.739572344450092
5.02,1965-01-12,531.0,0.7007037171450193,2.725094521081469
4.97,1965-01-13,516.0,0.696356388733332,2.7126497016272113
4.91,1965-01-14,498.0,0.6910814921229684,2.6972293427597176
4.85,1965-01-15,480.0,0.6857417386022636,2.681241237375587
4.79,1965-01-16,463.0,0.6803355134145632,2.6655809910179533
4.73,1965-01-17,448.0,0.6748611407378116,2.651278013998144
4.68,1965-01-18,435.0,0.670245853074124,2.6384892569546374
4.62,1965-01-19,420.0,0.6646419755561255,2.6232492903979003
4.56,1965-01-20,405.0,0.658964842664435,2.6074550232146687
4.5,1965-01-21,390.0,0.6532125137753437,2.591064607026499
4.44,1965-01-22,375.0,0.6473829701146199,2.574031267727719
4.39,1965-01-23,362.0,0.6424645202421213,2.558708570533166
4.33,1965-01-24,348.0,0.6364878963533654,2.5415792439465807
4.28,1965-01-25,335.0,0.631443769013172,2.525044807036845
4.28,1965-01-26,323.0,0.631443769013172,2.509202522331103
4.18,1965-01-27,310.0,0.6211762817750351,2.4913616938342726
4.12,1965-01-28,295.0,0.6148972160331346,2.469822015978163
4.06,1965-01-29,280.0,0.608526033577194,2.4471580313422194
4.0,1965-01-30,265.0,0.6020599913279624,2.423245873936808
3.94,1965-01-31,253.0,0.5954962218255742,2.403120521175818
2.87,1965-04-25,88.0,0.4578818967339923,1.9444826721501687
2.9,1965-04-26,82.0,0.4623979978989561,1.9138138523837167
3.12,1965-04-27,103.0,0.4941545940184428,2.012837224705172
3.42,1965-04-28,149.0,0.534026106056135,2.173186268412274
3.11,1965-04-29,140.0,0.4927603890268375,2.146128035678238
3.08,1965-04-30,131.0,0.4885507165004443,2.1172712956557644
3.4,1965-05-01,145.0,0.5314789170422551,2.161368002234975
3.6,1965-05-02,185.0,0.5563025007672873,2.2671717284030137
3.49,1965-05-03,163.0,0.5428254269591799,2.2121876044039577
4.1,1965-05-04,290.0,0.6127838567197355,2.462397997898956
3.8,1965-05-05,225.0,0.5797835966168101,2.3521825181113627
4.3,1965-05-06,340.0,0.6334684555795865,2.531478917042255
6.2,1965-05-07,892.0,0.7923916894982539,2.950364854376123
5.2,1965-05-08,585.0,0.7160033436347992,2.7671558660821804
4.8,1965-05-09,465.0,0.6812412373755872,2.667452952889954
3.92,1965-05-10,249.0,0.5932860670204573,2.3961993470957363
3.83,1965-05-11,231.0,0.5831987739686227,2.3636119798921444
3.75,1965-05-12,215.0,0.5740312677277188,2.3324384599156054
3.39,1965-05-13,143.0,0.5301996982030822,2.155336037465062
3.38,1965-05-14,142.0,0.5289167002776547,2.1522883443830563
3.47,1965-05-15,159.0,0.5403294747908738,2.2013971243204513
6.51,1965-05-16,991.0,0.8135809885681919,2.9960736544852753
6.0,1965-05-17,827.0,0.7781512503836436,2.9175055095525466
4.5,1965-05-18,390.0,0.6532125137753437,2.591064607026499
3.5,1965-05-19,165.0,0.5440680443502757,2.2174839442139063
3.49,1965-05-20,163.0,0.5428254269591799,2.2121876044039577
3.24,1965-05-21,121.0,0.5105450102066121,2.0827853703164503
5.15,1965-05-22,570.0,0.7118072290411911,2.7558748556724915
4.82,1965-05-23,471.0,0.6830470382388496,2.673020907128896
4.71,1965-05-24,442.0,0.6730209071288962,2.645422269349092
4.66,1965-05-25,430.0,0.6683859166900001,2.6334684555795866
4.59,1965-05-26,413.0,0.6618126855372612,2.615950051656401
4.54,1965-05-27,400.0,0.6570558528571039,2.6020599913279625
4.63,1965-05-28,422.0,0.6655809910179531,2.625312450961674
4.62,1965-05-29,420.0,0.6646419755561255,2.6232492903979003
4.75,1965-05-30,452.0,0.6766936096248666,2.655138434811382
4.56,1965-05-31,405.0,0.658964842664435,2.6074550232146687
4.5,1965-06-01,390.0,0.6532125137753437,2.591064607026499
4.5,1965-06-02,390.0,0.6532125137753437,2.591064607026499
4.6,1965-06-03,415.0,0.6627578316815741,2.6180480967120925
4.56,1965-06-04,405.0,0.658964842664435,2.6074550232146687
4.51,1965-06-05,392.0,0.6541765418779605,2.593286067020457
4.47,1965-06-06,382.0,0.6503075231319364,2.582063362911709
4.43,1965-06-07,372.0,0.6464037262230695,2.5705429398818973
4.38,1965-06-08,360.0,0.6414741105040995,2.5563025007672873
4.5,1965-06-09,390.0,0.6532125137753437,2.591064607026499
4.59,1965-06-10,387.0,0.6618126855372612,2.5877109650189114
5.9,1965-06-11,795.0,0.7708520116421442,2.9003671286564705
6.77,1965-06-12,1070.0,0.8305886686851442,3.0293837776852097
6.71,1965-06-13,1060.0,0.8267225201689921,3.0253058652647704
6.65,1965-06-14,1040.0,0.8228216453031046,3.0170333392987803
