stage,datetime,discharge,log_stage,log_discharge
3.41,1965-01-01,9880.0,0.5327543789924978,3.9947569445876283
3.34,1965-01-02,9770.0,0.5237464668115644,3.989894563718773
3.27,1965-01-03,9670.0,0.5145477526602861,3.9854264740830017
3.23,1965-01-04,9610.0,0.5092025223311029,3.9827233876685453
3.21,1965-01-05,9580.0,0.5065050324048721,3.9813655090785445
3.19,1965-01-06,9550.0,0.5037906830571811,3.9800033715837464
3.18,1965-01-07,9530.0,0.5024271199844327,3.979092900638326
3.09,1965-01-08,9400.0,0.4899584794248346,3.9731278535996988
3.09,1965-01-09,9400.0,0.4899584794248346,3.9731278535996988
3.09,1965-01-10,9400.0,0.4899584794248346,3.9731278535996988
3.05,1965-01-11,9400.0,0.48429983934678583,3.9731278535996988
2.99,1965-01-12,9410.0,0.4756711883244297,3.973589623427257
2.97,1965-01-13,9330.0,0.4727564493172124,3.9698816437465
2.97,1965-01-14,9310.0,0.4727564493172124,3.9689496809813427
2.95,1965-01-15,9280.0,0.46982201597816303,3.967547976218862
2.94,1965-01-16,9100.0,0.46834733041215726,3.9590413923210934
2.79,1965-01-17,8975.0,0.44560420327359757,3.953034457250357
2.84,1965-01-18,8922.0,0.45331834004703764,3.950462218905598
2.77,1965-01-19,8799.0,0.4424797690644486,3.9444333177002147
2.64,1965-01-20,8629.0,0.42160392686983106,3.9359604689891663
2.84,1965-01-21,8480.0,0.45331834004703764,3.9283958522567137
2.86,1965-01-22,8400.0,0.456366033129043,3.9242792860618816
2.71,1965-01-23,8264.0,0.4329692908744057,3.917190308511564
2.67,1965-01-24,8160.0,0.42651126136457523,3.9116901587538613
2.61,1965-01-25,7961.0,0.41664050733828095,3.9009676239191244
2.61,1965-01-26,7950.0,0.41664050733828095,3.9003671286564705
2.64,1965-01-27,7945.0,0.42160392686983106,3.900093901543398
2.55,1965-01-28,7926.0,0.4065401804339551,3.8990540679981707
2.51,1965-01-29,7925.0,0.3996737214810381,3.898999270889789
2.59,1965-01-30,7910.0,0.4132997640812518,3.8981764834976764
2.49,1965-01-31,7881.0,0.3961993470957364,3.8965813275057326
