discharge,datetime
3730.0,1990-01-01
3630.0,1990-01-02
3520.0,1990-01-03
3450.0,1990-01-04
3390.0,1990-01-05
3300.0,1990-01-06
3200.0,1990-01-07
3120.0,1990-01-08
3000.0,1990-01-09
2970.0,1990-01-10
2920.0,1990-01-11
2920.0,1990-01-12
2840.0,1990-01-13
2800.0,1990-01-14
2700.0,1990-01-15
2600.0,1990-01-16
2500.0,1990-01-17
2400.0,1990-01-18
2300.0,1990-01-19
2200.0,1990-01-20
2120.0,1990-01-21
2090.0,1990-01-22
2040.0,1990-01-23
2040.0,1990-01-24
2000.0,1990-01-25
1970.0,1990-01-26
1920.0,1990-01-27
1880.0,1990-01-28
1840.0,1990-01-29
1800.0,1990-01-30
1720.0,1990-01-31
1680.0,1990-02-01
1640.0,1990-02-02
1600.0,1990-02-03
1560.0,1990-02-04
1520.0,1990-02-05
1780.0,1990-02-06
1440.0,1990-02-07
1400.0,1990-02-08
1350.0,1990-02-09
1300.0,1990-02-10
1250.0,1990-02-11
1220.0,1990-02-12
1180.0,1990-02-13
1160.0,1990-02-14
1100.0,1990-02-15
1040.0,1990-02-16
980.0,1990-02-17
920.0,1990-02-18
860.0,1990-02-19
801.0,1990-02-20
778.0,1990-02-21
755.0,1990-02-22
733.0,1990-02-23
711.0,1990-02-24
688.0,1990-02-25
666.0,1990-02-26
643.0,1990-02-27
621.0,1990-02-28
598.0,1990-03-01
576.0,1990-03-02
553.0,1990-03-03
531.0,1990-03-04
508.0,1990-03-05
485.0,1990-03-06
462.0,1990-03-07
439.0,1990-03-08
416.0,1990-03-09
416.0,1990-03-10
416.0,1990-03-11
417.0,1990-03-12
417.0,1990-03-13
417.0,1990-03-14
418.0,1990-03-15
418.0,1990-03-16
418.0,1990-03-17
419.0,1990-03-18
419.0,1990-03-19
419.0,1990-03-20
432.0,1990-03-21
446.0,1990-03-22
460.0,1990-03-23
473.0,1990-03-24
486.0,1990-03-25
500.0,1990-03-26
514.0,1990-03-27
527.0,1990-03-28
490.0,1990-03-29
454.0,1990-03-30
417.0,1990-03-31
381.0,1990-04-01
344.0,1990-04-02
308.0,1990-04-03
271.0,1990-04-04
234.0,1990-04-05
198.0,1990-04-06
220.0,1990-04-07
241.0,1990-04-08
263.0,1990-04-09
284.0,1990-04-10
306.0,1990-04-11
328.0,1990-04-12
349.0,1990-04-13
371.0,1990-04-14
393.0,1990-04-15
414.0,1990-04-16
436.0,1990-04-17
458.0,1990-04-18
479.0,1990-04-19
501.0,1990-04-20
522.0,1990-04-21
544.0,1990-04-22
565.0,1990-04-23
587.0,1990-04-24
609.0,1990-04-25
600.0,1990-04-26
592.0,1990-04-27
584.0,1990-04-28
575.0,1990-04-29
567.0,1990-04-30
558.0,1990-05-01
550.0,1990-05-02
541.0,1990-05-03
533.0,1990-05-04
524.0,1990-05-05
516.0,1990-05-06
507.0,1990-05-07
499.0,1990-05-08
490.0,1990-05-09
482.0,1990-05-10
473.0,1990-05-11
465.0,1990-05-12
456.0,1990-05-13
448.0,1990-05-14
439.0,1990-05-15
431.0,1990-05-16
420.0,1990-05-17
410.0,1990-05-18
400.0,1990-05-19
390.0,1990-05-20
370.0,1990-05-21
350.0,1990-05-22
320.0,1990-05-23
280.0,1990-05-24
240.0,1990-05-25
398.0,1990-05-26
200.0,1990-05-28
350.0,1990-05-29
480.0,1990-05-30
530.0,1990-05-31
570.0,1990-06-01
610.0,1990-06-02
650.0,1990-06-03
700.0,1990-06-04
710.0,1990-06-05
800.0,1990-06-06
1100.0,1990-06-07
1680.0,1990-06-08
2550.0,1990-06-09
3230.0,1990-06-10
3700.0,1990-06-11
3780.0,1990-06-12
3750.0,1990-06-13
3750.0,1990-06-14
3860.0,1990-06-15
4300.0,1990-06-16
5220.0,1990-06-17
5900.0,1990-06-18
5650.0,1990-06-19
5000.0,1990-06-20
4700.0,1990-06-21
4600.0,1990-06-22
4750.0,1990-06-23
4800.0,1990-06-24
5200.0,1990-06-25
5400.0,1990-06-26
5400.0,1990-06-27
5350.0,1990-06-28
5250.0,1990-06-29
5100.0,1990-06-30
5050.0,1990-07-01
4950.0,1990-07-02
4880.0,1990-07-03
4680.0,1990-07-04
4480.0,1990-07-05
4300.0,1990-07-06
4300.0,1990-07-07
4300.0,1990-07-08
4200.0,1990-07-09
3900.0,1990-07-10
3720.0,1990-07-11
3700.0,1990-07-12
3700.0,1990-07-13
3710.0,1990-07-14
3750.0,1990-07-15
3850.0,1990-07-16
3850.0,1990-07-17
3750.0,1990-07-18
3700.0,1990-07-19
3700.0,1990-07-20
3700.0,1990-07-21
3740.0,1990-07-22
3920.0,1990-07-23
4040.0,1990-07-24
4130.0,1990-07-25
4090.0,1990-07-26
4040.0,1990-07-27
4100.0,1990-07-28
4300.0,1990-07-29
4670.0,1990-07-30
5080.0,1990-07-31
5498.0,1990-08-01
5915.0,1990-08-02
6332.0,1990-08-03
6749.0,1990-08-04
7166.0,1990-08-05
7583.0,1990-08-06
8000.0,1990-08-07
7718.0,1990-08-08
7437.0,1990-08-09
7155.0,1990-08-10
6874.0,1990-08-11
6593.0,1990-08-12
6311.0,1990-08-13
6030.0,1990-08-14
5759.0,1990-08-15
5488.0,1990-08-16
5217.0,1990-08-17
4946.0,1990-08-18
4674.0,1990-08-19
4403.0,1990-08-20
4132.0,1990-08-21
3861.0,1990-08-22
3590.0,1990-08-23
3450.0,1990-08-24
3310.0,1990-08-25
3170.0,1990-08-26
3030.0,1990-08-27
3061.0,1990-08-28
3091.0,1990-08-29
3122.0,1990-08-30
3152.0,1990-08-31
3183.0,1990-09-01
3214.0,1990-09-02
3244.0,1990-09-03
3275.0,1990-09-04
3306.0,1990-09-05
3336.0,1990-09-06
3367.0,1990-09-07
3397.0,1990-09-08
3428.0,1990-09-09
3459.0,1990-09-10
3489.0,1990-09-11
3520.0,1990-09-12
3386.0,1990-09-13
3150.0,1990-09-14
