stage,datetime,discharge,log_stage,log_discharge
2.73,1990-01-01,3730.0,0.436162647040756,3.571708831808688
2.7,1990-01-02,3630.0,0.43136376415898736,3.5599066250361124
2.66,1990-01-03,3520.0,0.424881636631067,3.546542663478131
2.63,1990-01-04,3450.0,0.41995574848975786,3.537819095073274
2.58,1990-01-05,3390.0,0.41161970596323016,3.530199698203082
2.54,1990-01-06,3300.0,0.40483371661993806,3.5185139398778875
2.5,1990-01-07,3200.0,0.3979400086720376,3.505149978319906
2.46,1990-01-08,3120.0,0.39093510710337914,3.494154594018443
2.42,1990-01-09,3000.0,0.38381536598043126,3.4771212547196626
2.38,1990-01-10,2970.0,0.37657695705651195,3.4727564493172123
2.36,1990-01-11,2920.0,0.37291200297010657,3.4653828514484184
2.36,1990-01-12,2920.0,0.37291200297010657,3.4653828514484184
2.32,1990-01-13,2840.0,0.3654879848908996,3.4533183400470375
2.29,1990-01-14,2800.0,0.359835482339888,3.4471580313422194
2.25,1990-01-15,2700.0,0.3521825181113625,3.4313637641589874
2.21,1990-01-16,2600.0,0.3443922736851107,3.4149733479708178
2.17,1990-01-17,2500.0,0.3364597338485295,3.3979400086720375
2.12,1990-01-18,2400.0,0.32633586092875144,3.380211241711606
2.06,1990-01-19,2300.0,0.31386722036915343,3.361727836017593
2.02,1990-01-20,2200.0,0.3053513694466238,3.342422680822206
2.0,1990-01-21,2120.0,0.3010299956639812,3.326335860928751
1.97,1990-01-22,2090.0,0.2944662261615929,3.3201462861110542
1.95,1990-01-23,2040.0,0.290034611362518,3.3096301674258988
1.94,1990-01-24,2040.0,0.287801729930226,3.3096301674258988
1.94,1990-01-25,2000.0,0.287801729930226,3.3010299956639813
1.9,1990-01-26,1970.0,0.2787536009528289,3.294466226161593
1.88,1990-01-27,1920.0,0.2741578492636798,3.2833012287035497
1.85,1990-01-28,1880.0,0.26717172840301384,3.27415784926368
1.84,1990-01-29,1840.0,0.2648178230095365,3.2648178230095364
1.81,1990-01-30,1800.0,0.2576785748691845,3.255272505103306
1.78,1990-01-31,1720.0,0.250420002308894,3.2355284469075487
1.75,1990-02-01,1680.0,0.24303804868629444,3.225309281725863
1.72,1990-02-02,1640.0,0.2355284469075489,3.214843848047698
1.7,1990-02-03,1600.0,0.2304489213782739,3.2041199826559246
1.7,1990-02-04,1560.0,0.2304489213782739,3.1931245983544616
1.68,1990-02-05,1520.0,0.22530928172586284,3.1818435879447726
1.66,1990-02-06,1780.0,0.22010808804005508,3.250420002308894
1.64,1990-02-07,1440.0,0.21484384804769785,3.1583624920952498
1.62,1990-02-08,1400.0,0.20951501454263097,3.146128035678238
1.59,1990-02-09,1350.0,0.2013971243204515,3.130333768495006
1.55,1990-02-10,1300.0,0.1903316981702915,3.113943352306837
1.51,1990-02-11,1250.0,0.17897694729316943,3.0969100130080562
1.49,1990-02-12,1220.0,0.17318626841227402,3.0863598306747484
1.48,1990-02-13,1180.0,0.17026171539495738,3.0718820073061255
1.46,1990-02-14,1160.0,0.1643528557844371,3.0644579892269186
1.42,1990-02-15,1100.0,0.15228834438305647,3.041392685158225
1.34,1990-02-16,1040.0,0.12710479836480765,3.0170333392987803
1.26,1990-02-17,980.0,0.10037054511756291,2.9912260756924947
1.2,1990-02-18,920.0,0.07918124604762482,2.963787827345555
1.14,1990-02-19,860.0,0.05690485133647256,2.934498451243568
1.13,1990-02-20,801.0,0.05307844348341968,2.9036325160842376
1.12,1990-02-21,778.0,0.04921802267018165,2.890979596989689
1.11,1990-02-22,755.0,0.045322978786657475,2.8779469516291885
1.04,1990-02-23,733.0,0.01703333929878037,2.8651039746411278
1.01,1990-02-24,711.0,0.004321373782642578,2.851869600729766
1.03,1990-02-25,688.0,0.012837224705172217,2.837588438235511
1.11,1990-02-26,666.0,0.045322978786657475,2.823474229170301
1.16,1990-02-27,643.0,0.06445798922691845,2.808210972924222
1.18,1990-02-28,621.0,0.07188200730612536,2.79309160017658
1.21,1990-03-01,598.0,0.08278537031645007,2.776701183988411
1.23,1990-03-02,576.0,0.08990511143939793,2.760422483423212
1.23,1990-03-03,553.0,0.08990511143939793,2.7427251313046983
1.24,1990-03-04,531.0,0.09342168516223506,2.725094521081469
1.24,1990-03-05,508.0,0.09342168516223506,2.7058637122839193
1.26,1990-03-06,485.0,0.10037054511756291,2.6857417386022635
1.25,1990-03-07,462.0,0.09691001300805642,2.6646419755561257
1.26,1990-03-08,439.0,0.10037054511756291,2.6424645202421213
1.16,1990-03-09,416.0,0.06445798922691845,2.6190933306267428
1.1,1990-03-10,416.0,0.04139268515822508,2.6190933306267428
1.08,1990-03-11,416.0,0.03342375548694973,2.6190933306267428
1.08,1990-03-12,417.0,0.03342375548694973,2.6201360549737576
1.12,1990-03-13,417.0,0.04921802267018165,2.6201360549737576
1.13,1990-03-14,417.0,0.05307844348341968,2.6201360549737576
1.13,1990-03-15,418.0,0.05307844348341968,2.621176281775035
1.14,1990-03-16,418.0,0.05690485133647256,2.621176281775035
1.14,1990-03-17,418.0,0.05690485133647256,2.621176281775035
1.12,1990-03-18,419.0,0.04921802267018165,2.622214022966295
1.1,1990-03-19,419.0,0.04139268515822508,2.622214022966295
1.12,1990-03-20,419.0,0.04921802267018165,2.622214022966295
1.13,1990-03-21,432.0,0.05307844348341968,2.635483746814912
1.06,1990-03-22,446.0,0.02530586526477026,2.649334858712142
0.92,1990-03-23,460.0,-0.036212172654444715,2.662757831681574
