stage,datetime
2.77,1989-12-31
2.73,1990-01-01
2.7,1990-01-02
2.66,1990-01-03
2.63,1990-01-04
2.58,1990-01-05
2.54,1990-01-06
2.5,1990-01-07
2.46,1990-01-08
2.42,1990-01-09
2.38,1990-01-10
2.36,1990-01-11
2.36,1990-01-12
2.32,1990-01-13
2.29,1990-01-14
2.25,1990-01-15
2.21,1990-01-16
2.17,1990-01-17
2.12,1990-01-18
2.06,1990-01-19
2.02,1990-01-20
2.0,1990-01-21
1.97,1990-01-22
1.95,1990-01-23
1.94,1990-01-24
1.94,1990-01-25
1.9,1990-01-26
1.88,1990-01-27
1.85,1990-01-28
1.84,1990-01-29
1.81,1990-01-30
1.78,1990-01-31
1.75,1990-02-01
1.72,1990-02-02
1.7,1990-02-03
1.7,1990-02-04
1.68,1990-02-05
1.66,1990-02-06
1.64,1990-02-07
1.62,1990-02-08
1.59,1990-02-09
1.55,1990-02-10
1.51,1990-02-11
1.49,1990-02-12
1.48,1990-02-13
1.46,1990-02-14
1.42,1990-02-15
1.34,1990-02-16
1.26,1990-02-17
1.2,1990-02-18
1.14,1990-02-19
1.13,1990-02-20
1.12,1990-02-21
1.11,1990-02-22
1.04,1990-02-23
1.01,1990-02-24
1.03,1990-02-25
1.11,1990-02-26
1.16,1990-02-27
1.18,1990-02-28
1.21,1990-03-01
1.23,1990-03-02
1.23,1990-03-03
1.24,1990-03-04
1.24,1990-03-05
1.26,1990-03-06
1.25,1990-03-07
1.26,1990-03-08
1.16,1990-03-09
1.1,1990-03-10
1.08,1990-03-11
1.08,1990-03-12
1.12,1990-03-13
1.13,1990-03-14
1.13,1990-03-15
1.14,1990-03-16
1.14,1990-03-17
1.12,1990-03-18
1.1,1990-03-19
1.12,1990-03-20
1.13,1990-03-21
1.06,1990-03-22
0.92,1990-03-23
0.88,1990-03-24
0.82,1990-03-25
0.82,1990-03-26
0.88,1990-03-27
0.95,1990-03-28
1.01,1990-03-29
1.05,1990-03-30
1.06,1990-03-31
1.05,1990-04-01
1.04,1990-04-02
1.02,1990-04-03
0.97,1990-04-04
0.92,1990-04-05
0.95,1990-04-06
0.92,1990-04-07
0.88,1990-04-08
0.83,1990-04-09
0.84,1990-04-10
0.85,1990-04-11
0.8,1990-04-12
0.84,1990-04-13
0.78,1990-04-14
0.8,1990-04-15
0.76,1990-04-16
0.78,1990-04-17
0.69,1990-04-18
0.68,1990-04-19
0.62,1990-04-20
0.58,1990-04-21
0.58,1990-04-22
0.54,1990-04-23
0.62,1990-04-24
0.68,1990-04-25
0.75,1990-04-26
0.86,1990-04-27
0.96,1990-04-28
1.02,1990-04-29
1.04,1990-04-30
1.05,1990-05-01
0.98,1990-05-02
0.85,1990-05-03
0.72,1990-05-04
0.65,1990-05-05
0.6,1990-05-06
0.59,1990-05-07
0.64,1990-05-08
0.68,1990-05-09
0.73,1990-05-10
0.76,1990-05-11
0.76,1990-05-12
0.79,1990-05-13
0.82,1990-05-14
0.86,1990-05-15
0.9,1990-05-16
0.88,1990-05-17
0.87,1990-05-18
0.86,1990-05-19
0.88,1990-05-20
0.86,1990-05-21
0.83,1990-05-22
0.92,1990-05-23
0.99,1990-05-24
1.06,1990-05-25
1.15,1990-05-26
1.33,1990-05-27
1.46,1990-05-28
1.59,1990-05-29
1.68,1990-05-30
1.72,1990-05-31
1.75,1990-06-01
1.78,1990-06-02
1.81,1990-06-03
1.84,1990-06-04
1.85,1990-06-05
1.91,1990-06-06
2.12,1990-06-07
2.52,1990-06-08
3.11,1990-06-09
3.56,1990-06-10
3.82,1990-06-11
3.87,1990-06-12
3.86,1990-06-13
3.86,1990-06-14
3.94,1990-06-15
4.22,1990-06-16
4.76,1990-06-17
5.22,1990-06-18
5.36,1990-06-19
5.19,1990-06-20
4.98,1990-06-21
4.78,1990-06-22
4.67,1990-06-23
4.68,1990-06-24
4.82,1990-06-25
5.04,1990-06-26
5.15,1990-06-27
5.18,1990-06-28
5.14,1990-06-29
5.2,1990-06-30
5.26,1990-07-01
5.32,1990-07-02
5.38,1990-07-03
5.49,1990-07-04
5.58,1990-07-05
5.61,1990-07-06
5.6,1990-07-07
5.61,1990-07-08
5.6,1990-07-09
5.52,1990-07-10
5.43,1990-07-11
5.37,1990-07-12
5.38,1990-07-13
5.43,1990-07-14
5.5,1990-07-15
5.58,1990-07-16
5.57,1990-07-17
5.51,1990-07-18
5.43,1990-07-19
5.4,1990-07-20
5.4,1990-07-21
5.49,1990-07-22
5.64,1990-07-23
5.74,1990-07-24
5.8,1990-07-25
5.77,1990-07-26
5.74,1990-07-27
5.78,1990-07-28
5.91,1990-07-29
6.1,1990-07-30
6.33,1990-07-31
6.58,1990-08-01
6.72,1990-08-02
6.84,1990-08-03
7.01,1990-08-04
7.01,1990-08-05
7.1,1990-08-06
7.22,1990-08-07
7.33,1990-08-08
7.4,1990-08-09
7.46,1990-08-10
7.48,1990-08-11
7.46,1990-08-12
7.42,1990-08-13
7.36,1990-08-14
7.34,1990-08-15
7.42,1990-08-16
7.5,1990-08-17
7.58,1990-08-18
7.58,1990-08-19
7.5,1990-08-20
7.46,1990-08-21
7.4,1990-08-22
7.32,1990-08-23
7.21,1990-08-24
7.14,1990-08-25
7.16,1990-08-26
7.27,1990-08-27
7.4,1990-08-28
7.52,1990-08-29
7.6,1990-08-30
7.67,1990-08-31
7.83,1990-09-01
8.0,1990-09-02
8.15,1990-09-03
8.27,1990-09-04
8.38,1990-09-05
8.5,1990-09-06
8.6,1990-09-07
8.64,1990-09-08
8.65,1990-09-09
8.62,1990-09-10
8.6,1990-09-11
8.57,1990-09-12
8.52,1990-09-13
8.43,1990-09-14
8.36,1990-09-15
8.33,1990-09-16
8.33,1990-09-17
8.34,1990-09-18
8.36,1990-09-19
8.33,1990-09-20
8.33,1990-09-21
8.34,1990-09-22
8.41,1990-09-23
8.44,1990-09-24
8.5,1990-09-25
8.54,1990-09-26
8.58,1990-09-27
8.6,1990-09-28
8.64,1990-09-29
8.64,1990-09-30
8.65,1990-10-01
8.67,1990-10-02
8.66,1990-10-03
8.63,1990-10-04
8.64,1990-10-05
8.7,1990-10-06
8.74,1990-10-07
8.74,1990-10-08
8.72,1990-10-09
8.71,1990-10-10
8.66,1990-10-11
8.63,1990-10-12
8.57,1990-10-13
8.5,1990-10-14
8.41,1990-10-15
8.34,1990-10-16
8.32,1990-10-17
8.4,1990-10-18
8.52,1990-10-19
8.58,1990-10-20
8.63,1990-10-21
8.7,1990-10-22
8.74,1990-10-23
8.69,1990-10-24
8.6,1990-10-25
8.5,1990-10-26
8.4,1990-10-27
8.28,1990-10-28
8.15,1990-10-29
8.02,1990-10-30
7.88,1990-10-31
7.76,1990-11-01
7.66,1990-11-02
7.56,1990-11-03
7.46,1990-11-04
7.35,1990-11-05
7.23,1990-11-06
