datetime,stage
1989-12-31 00:00:00,2.77
1990-01-01 00:00:00,2.73
1990-01-02 00:00:00,2.7
1990-01-03 00:00:00,2.66
1990-01-04 00:00:00,2.63
1990-01-05 00:00:00,2.58
1990-01-06 00:00:00,2.54
1990-01-07 00:00:00,2.5
1990-01-08 00:00:00,2.46
1990-01-09 00:00:00,2.42
1990-01-10 00:00:00,2.38
1990-01-11 00:00:00,2.36
1990-01-12 00:00:00,2.36
1990-01-13 00:00:00,2.32
1990-01-14 00:00:00,2.29
1990-01-15 00:00:00,2.25
1990-01-16 00:00:00,2.21
1990-01-17 00:00:00,2.17
1990-01-18 00:00:00,2.12
1990-01-19 00:00:00,2.06
1990-01-20 00:00:00,2.02
1990-01-21 00:00:00,2.0
1990-01-22 00:00:00,1.97
1990-01-23 00:00:00,1.95
1990-01-24 00:00:00,1.94
1990-01-25 00:00:00,1.94
1990-01-26 00:00:00,1.9
1990-01-27 00:00:00,1.88
1990-01-28 00:00:00,1.85
1990-01-29 00:00:00,1.84
1990-01-30 00:00:00,1.81
1990-01-31 00:00:00,1.78
1990-02-01 00:00:00,1.75
1990-02-02 00:00:00,1.72
1990-02-03 00:00:00,1.7
1990-02-04 00:00:00,1.7
1990-02-05 00:00:00,1.68
1990-02-06 00:00:00,1.66
1990-02-07 00:00:00,1.64
1990-02-08 00:00:00,1.62
1990-02-09 00:00:00,1.59
1990-02-10 00:00:00,1.55
1990-02-11 00:00:00,1.51
1990-02-12 00:00:00,1.49
1990-02-13 00:00:00,1.48
1990-02-14 00:00:00,1.46
1990-02-15 00:00:00,1.42
1990-02-16 00:00:00,1.34
1990-02-17 00:00:00,1.26
1990-02-18 00:00:00,1.2
1990-02-19 00:00:00,1.14
1990-02-20 00:00:00,1.13
1990-02-21 00:00:00,1.12
1990-02-22 00:00:00,1.11
1990-02-23 00:00:00,1.04
1990-02-24 00:00:00,1.01
1990-02-25 00:00:00,1.03
1990-02-26 00:00:00,1.11
1990-02-27 00:00:00,1.16
1990-02-28 00:00:00,1.18
1990-03-01 00:00:00,1.21
1990-03-02 00:00:00,1.23
1990-03-03 00:00:00,1.23
1990-03-04 00:00:00,1.24
1990-03-05 00:00:00,1.24
1990-03-06 00:00:00,1.26
1990-03-07 00:00:00,1.25
1990-03-08 00:00:00,1.26
1990-03-09 00:00:00,1.16
1990-03-10 00:00:00,1.1
1990-03-11 00:00:00,1.08
1990-03-12 00:00:00,1.08
1990-03-13 00:00:00,1.12
1990-03-14 00:00:00,1.13
1990-03-15 00:00:00,1.13
1990-03-16 00:00:00,1.14
1990-03-17 00:00:00,1.14
1990-03-18 00:00:00,1.12
1990-03-19 00:00:00,1.1
1990-03-20 00:00:00,1.12
1990-03-21 00:00:00,1.13
1990-03-22 00:00:00,1.06
1990-03-23 00:00:00,0.92
1990-03-24 00:00:00,0.88
1990-03-25 00:00:00,0.82
1990-03-26 00:00:00,0.82
1990-03-27 00:00:00,0.88
1990-03-28 00:00:00,0.95
1990-03-29 00:00:00,1.01
1990-03-30 00:00:00,1.05
1990-03-31 00:00:00,1.06
1990-04-01 00:00:00,1.05
1990-04-02 00:00:00,1.04
1990-04-03 00:00:00,1.02
1990-04-04 00:00:00,0.97
1990-04-05 00:00:00,0.92
1990-04-06 00:00:00,0.95
1990-04-07 00:00:00,0.92
1990-04-08 00:00:00,0.88
1990-04-09 00:00:00,0.83
1990-04-10 00:00:00,0.84
1990-04-11 00:00:00,0.85
1990-04-12 00:00:00,0.8
1990-04-13 00:00:00,0.84
1990-04-14 00:00:00,0.78
1990-04-15 00:00:00,0.8
1990-04-16 00:00:00,0.76
1990-04-17 00:00:00,0.78
1990-04-18 00:00:00,0.69
1990-04-19 00:00:00,0.68
1990-04-20 00:00:00,0.62
1990-04-21 00:00:00,0.58
1990-04-22 00:00:00,0.58
1990-04-23 00:00:00,0.54
1990-04-24 00:00:00,0.62
1990-04-25 00:00:00,0.68
1990-04-26 00:00:00,0.75
1990-04-27 00:00:00,0.86
1990-04-28 00:00:00,0.96
1990-04-29 00:00:00,1.02
1990-04-30 00:00:00,1.04
1990-05-01 00:00:00,1.05
1990-05-02 00:00:00,0.98
1990-05-03 00:00:00,0.85
1990-05-04 00:00:00,0.72
1990-05-05 00:00:00,0.65
1990-05-06 00:00:00,0.6
1990-05-07 00:00:00,0.59
1990-05-08 00:00:00,0.64
1990-05-09 00:00:00,0.68
1990-05-10 00:00:00,0.73
1990-05-11 00:00:00,0.76
