discharge,datetime
500.0,1960-10-13
1050.0,1960-10-14
1600.0,1960-10-15
2250.0,1960-10-16
2900.0,1960-10-17
3440.0,1960-10-18
4410.0,1960-10-19
5520.0,1960-10-20
5900.0,1960-10-21
6200.0,1960-10-22
6600.0,1960-10-23
7000.0,1960-10-24
7270.0,1960-10-25
7630.0,1960-10-26
7730.0,1960-10-27
7900.0,1960-10-28
8050.0,1960-10-29
8200.0,1960-10-30
8300.0,1960-10-31
8470.0,1960-11-01
8290.0,1960-11-02
8980.0,1960-11-03
9060.0,1960-11-04
8990.0,1960-11-05
9220.0,1960-11-06
9360.0,1960-11-07
9270.0,1960-11-08
9180.0,1960-11-09
9170.0,1960-11-10
9010.0,1960-11-11
9060.0,1960-11-12
9020.0,1960-11-13
9080.0,1960-11-14
9000.0,1960-11-15
8850.0,1960-11-16
8770.0,1960-11-17
8620.0,1960-11-18
8600.0,1960-11-19
8580.0,1960-11-20
8540.0,1960-11-21
8420.0,1960-11-22
8410.0,1960-11-23
8410.0,1960-11-24
8440.0,1960-11-25
8450.0,1960-11-26
8460.0,1960-11-27
8420.0,1960-11-28
8540.0,1960-11-29
8390.0,1960-11-30
8080.0,1960-12-01
8000.0,1960-12-02
8160.0,1960-12-03
8310.0,1960-12-04
8120.0,1960-12-05
8170.0,1960-12-06
8270.0,1960-12-07
8180.0,1960-12-08
7970.0,1960-12-09
7960.0,1960-12-10
7840.0,1960-12-11
7750.0,1960-12-12
7650.0,1960-12-13
7640.0,1960-12-14
7270.0,1960-12-15
7090.0,1960-12-16
6980.0,1960-12-17
6790.0,1960-12-18
6690.0,1960-12-19
6590.0,1960-12-20
6570.0,1960-12-21
6630.0,1960-12-22
6400.0,1960-12-25
6380.0,1960-12-26
6310.0,1960-12-27
6250.0,1960-12-28
6190.0,1960-12-29
6020.0,1960-12-30
5900.0,1960-12-31
5950.0,1961-01-01
5850.0,1961-01-02
5760.0,1961-01-03
5650.0,1961-01-04
5520.0,1961-01-05
5440.0,1961-01-06
5380.0,1961-01-07
5340.0,1961-01-08
5300.0,1961-01-09
5220.0,1961-01-10
5130.0,1961-01-11
5000.0,1961-01-12
4910.0,1961-01-13
4760.0,1961-01-14
4650.0,1961-01-15
4560.0,1961-01-16
4490.0,1961-01-17
4380.0,1961-01-18
4230.0,1961-01-19
4170.0,1961-01-20
4090.0,1961-01-21
4060.0,1961-01-22
4030.0,1961-01-23
4000.0,1961-01-24
3950.0,1961-01-25
3920.0,1961-01-26
3710.0,1961-01-27
3580.0,1961-01-28
3460.0,1961-01-29
3210.0,1961-01-30
3040.0,1961-01-31
2980.0,1961-02-01
2920.0,1961-02-02
2850.0,1961-02-03
2780.0,1961-02-04
2760.0,1961-02-05
2740.0,1961-02-06
