datetime,discharge
1962-03-31 00:00:00,550.0
1962-04-20 00:00:00,10.0
1962-04-21 00:00:00,10.0
1962-04-22 00:00:00,10.0
1962-04-23 00:00:00,10.0
1962-04-24 00:00:00,10.0
1962-04-25 00:00:00,10.0
1962-04-26 00:00:00,20.0
1962-04-27 00:00:00,20.0
1962-04-28 00:00:00,20.0
1962-04-29 00:00:00,20.0
1962-04-30 00:00:00,20.0
1962-05-01 00:00:00,20.0
1962-05-02 00:00:00,20.0
1962-05-03 00:00:00,20.0
1962-05-04 00:00:00,30.0
1962-05-05 00:00:00,30.0
1962-05-06 00:00:00,30.0
1962-05-07 00:00:00,30.0
1962-05-08 00:00:00,40.0
1962-05-09 00:00:00,40.0
1962-05-10 00:00:00,50.0
1962-05-11 00:00:00,50.0
1962-05-12 00:00:00,50.0
1962-05-13 00:00:00,60.0
1962-05-14 00:00:00,60.0
1962-05-15 00:00:00,70.0
1962-05-16 00:00:00,80.0
1962-05-17 00:00:00,90.0
1962-05-18 00:00:00,100.0
1962-05-19 00:00:00,110.0
1962-05-20 00:00:00,120.0
1962-05-21 00:00:00,140.0
1962-05-22 00:00:00,150.0
1962-05-23 00:00:00,170.0
1962-05-24 00:00:00,190.0
1962-05-25 00:00:00,210.0
1962-05-26 00:00:00,250.0
1962-05-27 00:00:00,290.0
1962-05-28 00:00:00,340.0
1962-05-29 00:00:00,400.0
1962-05-30 00:00:00,480.0
1962-05-31 00:00:00,500.0
1962-06-01 00:00:00,610.0
1962-06-02 00:00:00,670.0
1962-06-03 00:00:00,610.0
1962-06-04 00:00:00,600.0
1962-06-05 00:00:00,580.0
1962-06-06 00:00:00,360.0
1962-06-07 00:00:00,240.0
1962-06-08 00:00:00,200.0
1962-06-09 00:00:00,180.0
1962-06-10 00:00:00,160.0
1962-06-11 00:00:00,220.0
1962-06-12 00:00:00,480.0
1962-06-13 00:00:00,660.0
1962-06-14 00:00:00,920.0
1962-06-15 00:00:00,1290.0
1962-06-16 00:00:00,1410.0
1962-06-17 00:00:00,1490.0
1962-06-18 00:00:00,1650.0
1962-06-19 00:00:00,2400.0
1962-06-20 00:00:00,3580.0
1962-06-21 00:00:00,4510.0
1962-06-22 00:00:00,4850.0
1962-06-23 00:00:00,4940.0
1962-06-24 00:00:00,3950.0
1962-06-25 00:00:00,3770.0
1962-06-26 00:00:00,3730.0
1962-06-27 00:00:00,3330.0
1962-06-28 00:00:00,2940.0
1962-06-29 00:00:00,2880.0
1962-06-30 00:00:00,3370.0
1962-07-05 00:00:00,1690.0
1962-07-06 00:00:00,2610.0
1962-07-09 00:00:00,1800.0
1962-07-10 00:00:00,2180.0
1962-07-11 00:00:00,2440.0
1962-07-12 00:00:00,2630.0
1962-07-13 00:00:00,2730.0
1962-07-14 00:00:00,4670.0
