stage,datetime,discharge,log_stage,log_discharge
8.88,1960-10-13,500.0,0.948412965778601,2.6989700043360187
8.89,1960-10-14,1050.0,0.9489017609702137,3.0211892990699383
8.9,1960-10-15,1600.0,0.9493900066449128,3.2041199826559246
8.91,1960-10-16,2250.0,0.9498777040368748,3.3521825181113627
8.89,1960-10-17,2900.0,0.9489017609702137,3.462397997898956
8.86,1960-10-18,3440.0,0.9474337218870508,3.53655844257153
8.83,1960-10-19,4410.0,0.9459607035775686,3.6444385894678386
8.79,1960-10-20,5520.0,0.9439888750737718,3.741939077729199
8.75,1960-10-21,5900.0,0.9420080530223133,3.7708520116421442
8.72,1960-10-22,6200.0,0.9405164849325672,3.792391689498254
8.68,1960-10-23,6600.0,0.9385197251764918,3.8195439355418688
8.63,1960-10-24,7000.0,0.9360107957152096,3.845098040014257
8.57,1960-10-25,7270.0,0.9329808219231982,3.8615344108590377
8.51,1960-10-26,7630.0,0.9299295600845878,3.8825245379548803
8.43,1960-10-27,7730.0,0.9258275746247423,3.888179493918325
8.36,1960-10-28,7900.0,0.9222062774390164,3.8976270912904414
8.29,1960-10-29,8050.0,0.9185545305502735,3.9057958803678687
8.21,1960-10-30,8200.0,0.9143431571194408,3.9138138523837167
8.13,1960-10-31,8300.0,0.9100905455940682,3.9190780923760737
10.06,1961-10-11,1500.0,1.0025979807199086,3.1760912590556813
10.05,1961-10-12,2500.0,1.0021660617565078,3.3979400086720375
10.05,1961-10-13,3500.0,1.0021660617565078,3.5440680443502757
10.0,1961-10-14,4500.0,1.0,3.6532125137753435
9.95,1961-10-15,4800.0,0.9978230807457255,3.681241237375587
9.91,1961-10-16,5000.0,0.9960736544852753,3.6989700043360187
9.9,1961-10-17,5100.0,0.9956351945975499,3.7075701760979363
9.87,1961-10-18,5200.0,0.9943171526696367,3.716003343634799
9.83,1961-10-19,5300.0,0.9925535178321356,3.724275869600789
9.82,1961-10-20,5400.0,0.9921114877869497,3.7323937598229686
9.77,1961-10-21,5510.0,0.989894563718773,3.741151598851785
9.78,1961-10-22,5740.0,0.9903388547876014,3.7589118923979736
9.84,1961-10-23,6020.0,0.9929950984313415,3.7795964912578244
9.86,1961-10-24,6230.0,0.9938769149412112,3.7944880466591697
9.81,1961-10-25,6780.0,0.9916690073799486,3.8312296938670634
9.77,1961-10-26,7240.0,0.989894563718773,3.859738566197147
9.73,1961-10-27,7730.0,0.9881128402683519,3.888179493918325
9.68,1961-10-28,8160.0,0.9858753573083937,3.9116901587538613
9.63,1961-10-29,8550.0,0.9836262871245346,3.931966114728173
9.53,1961-10-30,8780.0,0.9790929006383263,3.9434945159061026
9.44,1961-10-31,9120.0,0.9749719942980689,3.959994838328416
0.69,1962-05-01,20.0,-0.16115090926274472,1.3010299956639813
0.71,1962-05-02,20.0,-0.14874165128092473,1.3010299956639813
0.8,1962-05-03,20.0,-0.09691001300805639,1.3010299956639813
0.91,1962-05-04,30.0,-0.040958607678906384,1.4771212547196624
0.98,1962-05-05,30.0,-0.00877392430750515,1.4771212547196624
1.01,1962-05-06,30.0,0.004321373782642578,1.4771212547196624
1.04,1962-05-07,30.0,0.01703333929878037,1.4771212547196624
1.03,1962-05-08,40.0,0.012837224705172217,1.6020599913279623
1.04,1962-05-09,40.0,0.01703333929878037,1.6020599913279623
1.05,1962-05-10,50.0,0.021189299069938092,1.6989700043360187
1.01,1962-05-11,50.0,0.004321373782642578,1.6989700043360187
0.93,1962-05-12,50.0,-0.03151705144606486,1.6989700043360187
0.9,1962-05-13,60.0,-0.045757490560675115,1.7781512503836436
0.87,1962-05-14,60.0,-0.060480747381381476,1.7781512503836436
0.83,1962-05-15,70.0,-0.08092190762392612,1.845098040014257
0.81,1962-05-16,80.0,-0.09151498112135022,1.9030899869919435
0.85,1962-05-17,90.0,-0.07058107428570728,1.954242509439325
0.89,1962-05-18,100.0,-0.05060999335508721,2.0
0.92,1962-05-19,110.0,-0.036212172654444715,2.041392685158225
0.95,1962-05-20,120.0,-0.022276394711152253,2.0791812460476247
1.0,1962-05-21,140.0,0.0,2.146128035678238
1.08,1962-05-22,150.0,0.03342375548694973,2.1760912590556813
1.15,1962-05-23,170.0,0.06069784035361165,2.230448921378274
1.22,1962-05-24,190.0,0.08635983067474821,2.278753600952829
1.28,1962-05-25,210.0,0.10720996964786837,2.322219294733919
1.38,1962-05-26,250.0,0.13987908640123647,2.3979400086720375
1.46,1962-05-27,290.0,0.1643528557844371,2.462397997898956
1.51,1962-05-28,340.0,0.17897694729316943,2.531478917042255
1.51,1962-05-29,400.0,0.17897694729316943,2.6020599913279625
1.48,1962-05-30,480.0,0.17026171539495738,2.681241237375587
1.46,1962-05-31,500.0,0.1643528557844371,2.6989700043360187
1.42,1962-06-01,610.0,0.15228834438305647,2.785329835010767
1.42,1962-06-02,670.0,0.15228834438305647,2.8260748027008264
1.54,1962-06-03,610.0,0.18752072083646307,2.785329835010767
1.74,1962-06-04,600.0,0.24054924828259971,2.7781512503836434
2.02,1962-06-05,580.0,0.3053513694466238,2.7634279935629373
2.14,1962-06-06,360.0,0.33041377334919086,2.5563025007672873
2.16,1962-06-07,240.0,0.3344537511509309,2.380211241711606
2.16,1962-06-08,200.0,0.3344537511509309,2.3010299956639813
2.16,1962-06-09,180.0,0.3344537511509309,2.255272505103306
2.14,1962-06-10,160.0,0.33041377334919086,2.2041199826559246
