discharge,datetime
326.0,1965-01-01
334.0,1965-01-02
314.0,1965-01-03
310.0,1965-01-04
290.0,1965-01-05
262.0,1965-01-06
255.0,1965-01-07
248.0,1965-01-08
248.0,1965-01-09
244.0,1965-01-10
241.0,1965-01-11
237.0,1965-01-12
230.0,1965-01-13
227.0,1965-01-14
220.0,1965-01-15
234.0,1965-01-16
272.0,1965-01-17
411.0,1965-01-18
375.0,1965-01-19
290.0,1965-01-20
290.0,1965-01-21
281.0,1965-01-22
274.0,1965-01-23
272.0,1965-01-24
268.0,1965-01-25
258.0,1965-01-26
262.0,1965-01-27
255.0,1965-01-28
252.0,1965-01-29
248.0,1965-01-30
245.0,1965-01-31
237.0,1965-02-01
237.0,1965-02-02
224.0,1965-02-03
227.0,1965-02-04
238.0,1965-02-05
241.0,1965-02-06
248.0,1965-02-07
220.0,1965-02-08
230.0,1965-02-09
227.0,1965-02-10
217.0,1965-02-11
205.0,1965-02-12
202.0,1965-02-13
198.0,1965-02-14
190.0,1965-02-15
187.0,1965-02-16
178.0,1965-02-17
175.0,1965-02-18
166.0,1965-02-19
169.0,1965-02-20
163.0,1965-02-21
166.0,1965-02-22
175.0,1965-02-23
178.0,1965-02-24
181.0,1965-02-25
172.0,1965-02-26
166.0,1965-02-27
184.0,1965-02-28
157.0,1965-03-01
150.0,1965-03-02
148.0,1965-03-03
148.0,1965-03-04
145.0,1965-03-05
142.0,1965-03-06
145.0,1965-03-07
145.0,1965-03-08
148.0,1965-03-09
150.0,1965-03-10
153.0,1965-03-11
145.0,1965-03-12
148.0,1965-03-13
145.0,1965-03-14
148.0,1965-03-15
148.0,1965-03-16
150.0,1965-03-17
150.0,1965-03-18
150.0,1965-03-19
155.0,1965-03-20
148.0,1965-03-21
150.0,1965-03-22
153.0,1965-03-23
155.0,1965-03-24
145.0,1965-03-25
150.0,1965-03-26
148.0,1965-03-27
153.0,1965-03-28
155.0,1965-03-29
158.0,1965-03-30
155.0,1965-03-31
160.0,1965-04-01
166.0,1965-04-02
153.0,1965-04-03
148.0,1965-04-04
155.0,1965-04-05
150.0,1965-04-06
148.0,1965-04-07
155.0,1965-04-08
166.0,1965-04-09
163.0,1965-04-10
163.0,1965-04-11
160.0,1965-04-12
150.0,1965-04-13
145.0,1965-04-14
142.0,1965-04-15
140.0,1965-04-16
145.0,1965-04-17
140.0,1965-04-18
135.0,1965-04-19
135.0,1965-04-20
135.0,1965-04-21
140.0,1965-04-22
150.0,1965-04-23
160.0,1965-04-24
150.0,1965-04-25
135.0,1965-04-26
140.0,1965-04-27
150.0,1965-04-28
135.0,1965-04-29
140.0,1965-04-30
166.0,1965-05-01
152.0,1965-05-02
135.0,1965-05-03
140.0,1965-05-04
150.0,1965-05-05
172.0,1965-05-06
169.0,1965-05-07
166.0,1965-05-08
169.0,1965-05-09
184.0,1965-05-10
166.0,1965-05-11
187.0,1965-05-12
190.0,1965-05-13
160.0,1965-05-14
160.0,1965-05-15
181.0,1965-05-16
160.0,1965-05-17
155.0,1965-05-18
184.0,1965-05-19
184.0,1965-05-20
175.0,1965-05-21
