stage,datetime,discharge,log_stage,log_discharge
5.29,1965-01-01,326.0,0.7234556720351858,2.513217600067939
5.31,1965-01-02,334.0,0.725094521081469,2.5237464668115646
5.26,1965-01-03,314.0,0.7209857441537391,2.496929648073215
5.25,1965-01-04,310.0,0.7201593034059569,2.4913616938342726
5.2,1965-01-05,290.0,0.7160033436347992,2.462397997898956
5.12,1965-01-06,262.0,0.7092699609758307,2.4183012913197452
5.1,1965-01-07,255.0,0.7075701760979364,2.406540180433955
5.08,1965-01-08,248.0,0.7058637122839193,2.3944516808262164
5.08,1965-01-09,248.0,0.7058637122839193,2.3944516808262164
5.07,1965-01-10,244.0,0.705007959333336,2.387389826338729
5.06,1965-01-11,241.0,0.7041505168397991,2.3820170425748683
5.05,1965-01-12,237.0,0.7032913781186614,2.374748346010104
5.03,1965-01-13,230.0,0.7015679850559274,2.361727836017593
5.02,1965-01-14,227.0,0.7007037171450193,2.3560258571931225
5.0,1965-01-15,220.0,0.6989700043360189,2.342422680822206
5.04,1965-01-16,234.0,0.7024305364455253,2.369215857410143
5.15,1965-01-17,272.0,0.7118072290411911,2.4345689040341987
5.48,1965-01-18,411.0,0.7387805584843692,2.6138418218760693
5.4,1965-01-19,375.0,0.7323937598229685,2.574031267727719
5.2,1965-01-20,290.0,0.7160033436347992,2.462397997898956
5.2,1965-01-21,290.0,0.7160033436347992,2.462397997898956
5.18,1965-01-22,281.0,0.714329759745233,2.44870631990508
5.16,1965-01-23,274.0,0.7126497016272114,2.437750562820388
5.15,1965-01-24,272.0,0.7118072290411911,2.4345689040341987
5.14,1965-01-25,268.0,0.7109631189952758,2.428134794028789
5.11,1965-01-26,258.0,0.7084209001347127,2.41161970596323
5.12,1965-01-27,262.0,0.7092699609758307,2.4183012913197452
5.1,1965-01-28,255.0,0.7075701760979364,2.406540180433955
5.09,1965-01-29,252.0,0.7067177823367587,2.401400540781544
5.08,1965-01-30,248.0,0.7058637122839193,2.3944516808262164
5.07,1965-01-31,245.0,0.705007959333336,2.3891660843645326
5.05,1965-02-01,237.0,0.7032913781186614,2.374748346010104
5.05,1965-02-02,237.0,0.7032913781186614,2.374748346010104
5.01,1965-02-03,224.0,0.6998377258672457,2.3502480183341627
5.02,1965-02-04,227.0,0.7007037171450193,2.3560258571931225
5.05,1965-02-05,238.0,0.7032913781186614,2.376576957056512
5.06,1965-02-06,241.0,0.7041505168397991,2.3820170425748683
5.08,1965-02-07,248.0,0.7058637122839193,2.3944516808262164
5.0,1965-02-08,220.0,0.6989700043360189,2.342422680822206
5.03,1965-02-09,230.0,0.7015679850559274,2.361727836017593
5.02,1965-02-10,227.0,0.7007037171450193,2.3560258571931225
4.99,1965-02-11,217.0,0.69810054562339,2.3364597338485296
4.95,1965-02-12,205.0,0.6946051989335688,2.311753861055754
4.94,1965-02-13,202.0,0.693726948923647,2.305351369446624
4.92,1965-02-14,198.0,0.6919651027673603,2.296665190261531
4.9,1965-02-15,190.0,0.6901960800285137,2.278753600952829
4.89,1965-02-16,187.0,0.6893088591236202,2.271841606536499
4.86,1965-02-17,178.0,0.6866362692622934,2.250420002308894
4.85,1965-02-18,175.0,0.6857417386022636,2.2430380486862944
4.82,1965-02-19,166.0,0.6830470382388496,2.220108088040055
4.83,1965-02-20,169.0,0.6839471307515121,2.2278867046136734
4.81,1965-02-21,163.0,0.6821450763738317,2.2121876044039577
4.82,1965-02-22,166.0,0.6830470382388496,2.220108088040055
4.85,1965-02-23,175.0,0.6857417386022636,2.2430380486862944
4.86,1965-02-24,178.0,0.6866362692622934,2.250420002308894
4.87,1965-02-25,181.0,0.6875289612146344,2.2576785748691846
4.84,1965-02-26,172.0,0.6848453616444125,2.2355284469075487
4.82,1965-02-27,166.0,0.6830470382388496,2.220108088040055
4.78,1965-02-28,184.0,0.6794278966121189,2.2648178230095364
4.79,1965-03-01,157.0,0.6803355134145632,2.1958996524092336
4.76,1965-03-02,150.0,0.6776069527204931,2.1760912590556813
4.75,1965-03-03,148.0,0.6766936096248666,2.1702617153949575
4.75,1965-03-04,148.0,0.6766936096248666,2.1702617153949575
4.74,1965-03-05,145.0,0.6757783416740851,2.161368002234975
4.73,1965-03-06,142.0,0.6748611407378116,2.1522883443830563
4.74,1965-03-07,145.0,0.6757783416740851,2.161368002234975
4.74,1965-03-08,145.0,0.6757783416740851,2.161368002234975
4.75,1965-03-09,148.0,0.6766936096248666,2.1702617153949575
4.76,1965-03-10,150.0,0.6776069527204931,2.1760912590556813
4.78,1965-03-11,153.0,0.6794278966121189,2.184691430817599
4.74,1965-03-12,145.0,0.6757783416740851,2.161368002234975
4.75,1965-03-13,148.0,0.6766936096248666,2.1702617153949575
4.74,1965-03-14,145.0,0.6757783416740851,2.161368002234975
4.75,1965-03-15,148.0,0.6766936096248666,2.1702617153949575
4.75,1965-03-16,148.0,0.6766936096248666,2.1702617153949575
4.76,1965-03-17,150.0,0.6776069527204931,2.1760912590556813
4.76,1965-03-18,150.0,0.6776069527204931,2.1760912590556813
4.76,1965-03-19,150.0,0.6776069527204931,2.1760912590556813
4.78,1965-03-20,155.0,0.6794278966121189,2.1903316981702914
4.75,1965-03-21,148.0,0.6766936096248666,2.1702617153949575
4.76,1965-03-22,150.0,0.6776069527204931,2.1760912590556813
4.77,1965-03-23,153.0,0.6785183790401139,2.184691430817599
4.78,1965-03-24,155.0,0.6794278966121189,2.1903316981702914
4.74,1965-03-25,145.0,0.6757783416740851,2.161368002234975
4.76,1965-03-26,150.0,0.6776069527204931,2.1760912590556813
4.75,1965-03-27,148.0,0.6766936096248666,2.1702617153949575
4.77,1965-03-28,153.0,0.6785183790401139,2.184691430817599
4.78,1965-03-29,155.0,0.6794278966121189,2.1903316981702914
4.79,1965-03-30,158.0,0.6803355134145632,2.1986570869544226
