stage,datetime
5.29,1965-01-01
5.31,1965-01-02
5.26,1965-01-03
5.25,1965-01-04
5.2,1965-01-05
5.12,1965-01-06
5.1,1965-01-07
5.08,1965-01-08
5.08,1965-01-09
5.07,1965-01-10
5.06,1965-01-11
5.05,1965-01-12
5.03,1965-01-13
5.02,1965-01-14
5.0,1965-01-15
5.04,1965-01-16
5.15,1965-01-17
5.48,1965-01-18
5.4,1965-01-19
5.2,1965-01-20
5.2,1965-01-21
5.18,1965-01-22
5.16,1965-01-23
5.15,1965-01-24
5.14,1965-01-25
5.11,1965-01-26
5.12,1965-01-27
5.1,1965-01-28
5.09,1965-01-29
5.08,1965-01-30
5.07,1965-01-31
5.05,1965-02-01
5.05,1965-02-02
5.01,1965-02-03
5.02,1965-02-04
5.05,1965-02-05
5.06,1965-02-06
5.08,1965-02-07
5.0,1965-02-08
5.03,1965-02-09
5.02,1965-02-10
4.99,1965-02-11
4.95,1965-02-12
4.94,1965-02-13
4.92,1965-02-14
4.9,1965-02-15
4.89,1965-02-16
4.86,1965-02-17
4.85,1965-02-18
4.82,1965-02-19
4.83,1965-02-20
4.81,1965-02-21
4.82,1965-02-22
4.85,1965-02-23
4.86,1965-02-24
4.87,1965-02-25
4.84,1965-02-26
4.82,1965-02-27
4.78,1965-02-28
4.79,1965-03-01
4.76,1965-03-02
4.75,1965-03-03
4.75,1965-03-04
4.74,1965-03-05
4.73,1965-03-06
4.74,1965-03-07
4.74,1965-03-08
4.75,1965-03-09
4.76,1965-03-10
4.78,1965-03-11
4.74,1965-03-12
4.75,1965-03-13
4.74,1965-03-14
4.75,1965-03-15
4.75,1965-03-16
4.76,1965-03-17
4.76,1965-03-18
4.76,1965-03-19
4.78,1965-03-20
4.75,1965-03-21
4.76,1965-03-22
4.77,1965-03-23
4.78,1965-03-24
4.74,1965-03-25
4.76,1965-03-26
4.75,1965-03-27
4.77,1965-03-28
4.78,1965-03-29
4.79,1965-03-30
4.78,1965-03-31
4.8,1965-04-01
4.82,1965-04-02
4.77,1965-04-03
4.75,1965-04-04
4.78,1965-04-05
4.76,1965-04-06
4.75,1965-04-07
4.78,1965-04-08
4.82,1965-04-09
4.81,1965-04-10
4.81,1965-04-11
4.8,1965-04-12
4.76,1965-04-13
4.74,1965-04-14
4.73,1965-04-15
4.72,1965-04-16
4.74,1965-04-17
4.72,1965-04-18
4.7,1965-04-19
4.7,1965-04-20
4.7,1965-04-21
4.72,1965-04-22
4.76,1965-04-23
4.8,1965-04-24
4.76,1965-04-25
4.7,1965-04-26
4.72,1965-04-27
4.75,1965-04-28
4.7,1965-04-29
4.72,1965-04-30
4.82,1965-05-01
4.77,1965-05-02
4.7,1965-05-03
4.74,1965-05-04
4.76,1965-05-05
4.84,1965-05-06
4.83,1965-05-07
4.82,1965-05-08
4.83,1965-05-09
4.88,1965-05-10
4.82,1965-05-11
4.89,1965-05-12
4.9,1965-05-13
4.8,1965-05-14
4.8,1965-05-15
4.87,1965-05-16
4.8,1965-05-17
4.78,1965-05-18
4.88,1965-05-19
4.88,1965-05-20
4.85,1965-05-21
4.91,1965-05-22
4.88,1965-05-23
5.0,1965-05-24
5.01,1965-05-25
5.08,1965-05-26
5.18,1965-05-27
5.19,1965-05-28
5.45,1965-05-29
5.6,1965-05-30
5.92,1965-05-31
6.2,1965-06-01
5.82,1965-06-02
5.56,1965-06-03
5.5,1965-06-04
5.42,1965-06-05
5.38,1965-06-06
5.3,1965-06-07
5.32,1965-06-08
6.32,1965-06-09
6.7,1965-06-10
7.5,1965-06-11
8.62,1965-06-12
8.5,1965-06-13
8.14,1965-06-14
7.6,1965-06-15
7.1,1965-06-16
6.85,1965-06-17
7.38,1965-06-18
8.64,1965-06-19
9.2,1965-06-20
9.4,1965-06-21
9.62,1965-06-22
9.74,1965-06-23
9.8,1965-06-24
10.1,1965-06-25
10.82,1965-06-26
11.5,1965-06-27
10.95,1965-06-28
10.06,1965-06-29
9.5,1965-06-30
8.7,1965-07-01
8.0,1965-07-02
7.6,1965-07-03
7.4,1965-07-04
7.24,1965-07-05
7.32,1965-07-06
7.44,1965-07-07
7.75,1965-07-08
7.81,1965-07-09
7.8,1965-07-10
9.1,1965-07-11
9.6,1965-07-12
10.5,1965-07-13
11.88,1965-07-14
11.0,1965-07-15
9.57,1965-07-16
9.0,1965-07-17
8.62,1965-07-18
8.6,1965-07-19
8.6,1965-07-20
7.9,1965-07-21
7.44,1965-07-22
7.3,1965-07-23
7.62,1965-07-24
7.7,1965-07-25
8.84,1965-07-26
9.9,1965-07-27
12.14,1965-07-28
12.4,1965-07-29
12.2,1965-07-30
12.0,1965-07-31
11.64,1965-08-01
11.0,1965-08-02
10.2,1965-08-03
9.75,1965-08-04
10.0,1965-08-05
10.44,1965-08-06
10.0,1965-08-07
9.22,1965-08-08
8.7,1965-08-09
8.41,1965-08-10
8.26,1965-08-11
7.74,1965-08-12
7.5,1965-08-13
7.68,1965-08-14
8.08,1965-08-15
7.7,1965-08-16
7.44,1965-08-17
7.97,1965-08-18
7.84,1965-08-19
7.68,1965-08-20
7.56,1965-08-21
7.4,1965-08-22
7.48,1965-08-23
7.34,1965-08-24
7.2,1965-08-25
7.18,1965-08-26
8.1,1965-08-27
8.3,1965-08-28
8.98,1965-08-29
9.3,1965-08-30
10.14,1965-08-31
10.5,1965-09-01
9.9,1965-09-02
9.0,1965-09-03
8.44,1965-09-04
8.7,1965-09-05
10.35,1965-09-06
11.25,1965-09-07
11.4,1965-09-08
11.28,1965-09-09
12.32,1965-09-10
12.28,1965-09-11
11.34,1965-09-12
10.34,1965-09-13
9.94,1965-09-14
10.63,1965-09-15
9.98,1965-09-16
10.02,1965-09-17
9.9,1965-09-18
9.23,1965-09-19
8.58,1965-09-20
8.34,1965-09-21
8.88,1965-09-22
8.94,1965-09-23
8.52,1965-09-24
7.94,1965-09-25
