stage,datetime,discharge,log_stage,log_discharge
1.63,1962-04-02,2.0,0.21218760440395779,0.3010299956639812
1.63,1962-04-03,2.0,0.21218760440395779,0.3010299956639812
1.63,1962-04-04,2.0,0.21218760440395779,0.3010299956639812
1.65,1962-04-05,2.0,0.21748394421390627,0.3010299956639812
1.65,1962-04-06,2.0,0.21748394421390627,0.3010299956639812
1.65,1962-04-07,2.0,0.21748394421390627,0.3010299956639812
1.65,1962-04-08,2.0,0.21748394421390627,0.3010299956639812
1.67,1962-04-09,2.0,0.22271647114758325,0.3010299956639812
1.67,1962-04-10,2.0,0.22271647114758325,0.3010299956639812
1.67,1962-04-11,2.0,0.22271647114758325,0.3010299956639812
1.67,1962-04-12,2.0,0.22271647114758325,0.3010299956639812
1.69,1962-04-13,2.0,0.22788670461367352,0.3010299956639812
1.69,1962-04-14,2.0,0.22788670461367352,0.3010299956639812
1.69,1962-04-15,2.0,0.22788670461367352,0.3010299956639812
1.69,1962-04-16,2.0,0.22788670461367352,0.3010299956639812
1.69,1962-04-17,2.0,0.22788670461367352,0.3010299956639812
1.61,1962-04-18,2.0,0.20682587603184974,0.3010299956639812
1.61,1962-04-19,2.0,0.20682587603184974,0.3010299956639812
1.61,1962-04-20,2.0,0.20682587603184974,0.3010299956639812
1.61,1962-04-21,2.0,0.20682587603184974,0.3010299956639812
1.61,1962-04-22,2.0,0.20682587603184974,0.3010299956639812
1.61,1962-04-23,2.0,0.20682587603184974,0.3010299956639812
1.61,1962-04-24,2.0,0.20682587603184974,0.3010299956639812
1.63,1962-04-25,2.0,0.21218760440395779,0.3010299956639812
1.63,1962-04-26,2.0,0.21218760440395779,0.3010299956639812
1.63,1962-04-27,2.0,0.21218760440395779,0.3010299956639812
1.63,1962-04-28,2.0,0.21218760440395779,0.3010299956639812
1.61,1962-04-29,2.0,0.20682587603184974,0.3010299956639812
1.63,1962-04-30,2.0,0.21218760440395779,0.3010299956639812
1.63,1962-05-01,2.0,0.21218760440395779,0.3010299956639812
1.61,1962-05-02,2.0,0.20682587603184974,0.3010299956639812
1.61,1962-05-03,2.0,0.20682587603184974,0.3010299956639812
1.63,1962-05-04,2.0,0.21218760440395779,0.3010299956639812
1.61,1962-05-05,2.0,0.20682587603184974,0.3010299956639812
1.64,1962-05-06,2.0,0.21484384804769785,0.3010299956639812
1.67,1962-05-07,2.0,0.22271647114758325,0.3010299956639812
1.65,1962-05-08,2.0,0.21748394421390627,0.3010299956639812
1.65,1962-05-09,2.0,0.21748394421390627,0.3010299956639812
1.63,1962-05-10,2.0,0.21218760440395779,0.3010299956639812
1.71,1962-05-11,2.0,0.23299611039215382,0.3010299956639812
1.71,1962-05-12,2.0,0.23299611039215382,0.3010299956639812
1.79,1962-05-13,2.0,0.2528530309798932,0.3010299956639812
1.77,1962-05-14,2.0,0.24797326636180664,0.3010299956639812
1.75,1962-05-15,2.0,0.24303804868629444,0.3010299956639812
1.73,1962-05-16,2.0,0.2380461031287954,0.3010299956639812
1.69,1962-05-17,2.0,0.22788670461367352,0.3010299956639812
1.55,1962-05-18,2.0,0.1903316981702915,0.3010299956639812
1.49,1962-05-19,2.0,0.17318626841227402,0.3010299956639812
1.41,1962-05-20,1.0,0.14921911265537988,0.0
5.39,1962-08-01,51.0,0.7315887651867387,1.7075701760979363
5.43,1962-08-02,52.0,0.7347998295888469,1.7160033436347992
5.51,1962-08-03,56.0,0.741151598851785,1.7481880270062005
5.51,1962-08-04,56.0,0.741151598851785,1.7481880270062005
5.53,1962-08-05,57.0,0.7427251313046983,1.7558748556724915
5.54,1962-08-06,56.0,0.7435097647284298,1.7481880270062005
5.48,1962-08-07,51.0,0.7387805584843692,1.7075701760979363
5.46,1962-08-08,48.0,0.7371926427047373,1.6812412373755872
5.43,1962-08-09,45.0,0.7347998295888469,1.6532125137753437
5.41,1962-08-10,44.0,0.7331972651065695,1.6434526764861874
5.41,1962-08-11,42.0,0.7331972651065695,1.6232492903979006
5.45,1962-08-12,47.0,0.7363965022766424,1.6720978579357175
5.41,1962-08-13,39.0,0.7331972651065695,1.591064607026499
5.43,1962-08-14,39.0,0.7347998295888469,1.591064607026499
5.43,1962-08-15,38.0,0.7347998295888469,1.5797835966168101
5.43,1962-08-16,37.0,0.7347998295888469,1.568201724066995
5.43,1962-08-17,35.0,0.7347998295888469,1.5440680443502757
5.41,1962-08-18,33.0,0.7331972651065695,1.5185139398778875
5.41,1962-08-19,32.0,0.7331972651065695,1.505149978319906
5.41,1962-08-20,30.0,0.7331972651065695,1.4771212547196624
5.41,1962-08-21,28.0,0.7331972651065695,1.4471580313422192
5.37,1962-08-22,25.0,0.7299742856995556,1.3979400086720377
5.43,1962-08-23,28.0,0.7347998295888469,1.4471580313422192
5.41,1962-08-24,25.0,0.7331972651065695,1.3979400086720377
5.4,1962-08-25,24.0,0.7323937598229685,1.380211241711606
5.44,1962-08-26,27.0,0.7355988996981799,1.4313637641589874
5.43,1962-08-27,26.0,0.7347998295888469,1.414973347970818
5.42,1962-08-28,24.0,0.7339992865383869,1.380211241711606
5.45,1962-08-29,27.0,0.7363965022766424,1.4313637641589874
5.59,1962-08-30,32.0,0.7474118078864233,1.505149978319906
5.67,1962-08-31,33.0,0.7535830588929066,1.5185139398778875
5.77,1962-09-01,42.0,0.7611758131557314,1.6232492903979006
