discharge,datetime
340.0,1965-01-01
336.0,1965-01-02
332.0,1965-01-03
332.0,1965-01-04
328.0,1965-01-05
324.0,1965-01-06
316.0,1965-01-07
304.0,1965-01-08
296.0,1965-01-09
292.0,1965-01-10
292.0,1965-01-11
288.0,1965-01-12
284.0,1965-01-13
272.0,1965-01-14
268.0,1965-01-15
240.0,1965-01-16
312.0,1965-01-17
300.0,1965-01-18
296.0,1965-01-19
284.0,1965-01-20
272.0,1965-01-21
260.0,1965-01-22
244.0,1965-01-23
237.0,1965-01-24
234.0,1965-01-25
231.0,1965-01-26
228.0,1965-01-27
222.0,1965-01-28
219.0,1965-01-29
216.0,1965-01-30
216.0,1965-01-31
213.0,1965-02-01
213.0,1965-02-02
207.0,1965-02-03
204.0,1965-02-04
201.0,1965-02-05
204.0,1965-02-06
210.0,1965-02-07
204.0,1965-02-08
195.0,1965-02-09
192.0,1965-02-10
189.0,1965-02-11
183.0,1965-02-12
177.0,1965-02-13
174.0,1965-02-14
171.0,1965-02-15
168.0,1965-02-16
165.0,1965-02-17
165.0,1965-02-18
162.0,1965-02-19
159.0,1965-02-20
156.0,1965-02-21
162.0,1965-02-22
174.0,1965-02-23
177.0,1965-02-24
174.0,1965-02-25
171.0,1965-02-26
162.0,1965-02-27
156.0,1965-02-28
150.0,1965-03-01
148.0,1965-03-02
146.0,1965-03-03
146.0,1965-03-04
144.0,1965-03-05
142.0,1965-03-06
140.0,1965-03-07
138.0,1965-03-08
136.0,1965-03-09
136.0,1965-03-10
134.0,1965-03-11
130.0,1965-03-12
134.0,1965-03-13
132.0,1965-03-14
132.0,1965-03-15
128.0,1965-03-16
128.0,1965-03-17
126.0,1965-03-18
122.0,1965-03-19
122.0,1965-03-20
122.0,1965-03-21
120.0,1965-03-22
120.0,1965-03-23
120.0,1965-03-24
118.0,1965-03-25
118.0,1965-03-26
116.0,1965-03-27
114.0,1965-03-28
114.0,1965-03-29
112.0,1965-03-30
118.0,1965-03-31
122.0,1965-04-01
118.0,1965-04-02
118.0,1965-04-03
116.0,1965-04-04
114.0,1965-04-05
126.0,1965-04-06
126.0,1965-04-07
134.0,1965-04-08
138.0,1965-04-09
134.0,1965-04-10
124.0,1965-04-11
120.0,1965-04-12
122.0,1965-04-13
120.0,1965-04-14
118.0,1965-04-15
116.0,1965-04-16
112.0,1965-04-17
109.0,1965-04-18
107.0,1965-04-19
112.0,1965-04-20
110.0,1965-04-21
112.0,1965-04-22
118.0,1965-04-23
124.0,1965-04-24
118.0,1965-04-25
116.0,1965-04-26
114.0,1965-04-27
118.0,1965-04-28
124.0,1965-04-29
122.0,1965-04-30
128.0,1965-05-01
118.0,1965-05-02
116.0,1965-05-03
122.0,1965-05-04
132.0,1965-05-05
166.0,1965-05-06
222.0,1965-05-07
204.0,1965-05-08
162.0,1965-05-09
148.0,1965-05-10
138.0,1965-05-11
110.0,1965-05-12
122.0,1965-05-13
130.0,1965-05-14
126.0,1965-05-15
128.0,1965-05-16
134.0,1965-05-17
130.0,1965-05-18
130.0,1965-05-19
134.0,1965-05-20
142.0,1965-05-21
150.0,1965-05-22
148.0,1965-05-23
142.0,1965-05-24
140.0,1965-05-25
168.0,1965-05-26
186.0,1965-05-27
222.0,1965-05-28
336.0,1965-05-29
550.0,1965-05-30
540.0,1965-05-31
408.0,1965-06-01
400.0,1965-06-02
328.0,1965-06-03
284.0,1965-06-04
284.0,1965-06-05
272.0,1965-06-06
320.0,1965-06-07
336.0,1965-06-08
464.0,1965-06-09
525.0,1965-06-10
880.0,1965-06-11
1270.0,1965-06-12
1100.0,1965-06-13
1060.0,1965-06-14
860.0,1965-06-15
740.0,1965-06-16
740.0,1965-06-17
970.0,1965-06-18
1060.0,1965-06-19
1290.0,1965-06-20
1180.0,1965-06-21
1040.0,1965-06-22
1050.0,1965-06-23
840.0,1965-06-24
1640.0,1965-06-25
1400.0,1965-06-26
1470.0,1965-06-27
1270.0,1965-06-28
980.0,1965-06-29
926.0,1965-06-30
870.0,1965-07-01
750.0,1965-07-02
670.0,1965-07-03
890.0,1965-07-04
810.0,1965-07-05
770.0,1965-07-06
740.0,1965-07-07
830.0,1965-07-08
910.0,1965-07-09
1100.0,1965-07-10
1320.0,1965-07-11
1650.0,1965-07-12
2380.0,1965-07-13
2340.0,1965-07-14
1940.0,1965-07-15
1860.0,1965-07-16
1560.0,1965-07-17
1430.0,1965-07-18
1350.0,1965-07-19
1370.0,1965-07-20
1240.0,1965-07-21
1180.0,1965-07-22
1150.0,1965-07-23
1330.0,1965-07-24
1510.0,1965-07-25
1920.0,1965-07-26
2580.0,1965-07-27
2400.0,1965-07-28
2290.0,1965-07-29
2170.0,1965-07-30
1970.0,1965-07-31
1800.0,1965-08-01
1640.0,1965-08-02
1450.0,1965-08-03
1350.0,1965-08-04
1480.0,1965-08-05
1910.0,1965-08-06
1650.0,1965-08-07
1470.0,1965-08-08
1660.0,1965-08-09
1220.0,1965-08-10
1160.0,1965-08-11
1080.0,1965-08-12
1020.0,1965-08-13
1140.0,1965-08-14
1590.0,1965-08-15
1600.0,1965-08-16
1120.0,1965-08-17
1180.0,1965-08-18
1350.0,1965-08-19
1160.0,1965-08-20
1120.0,1965-08-21
1110.0,1965-08-22
1010.0,1965-08-23
998.0,1965-08-24
1050.0,1965-08-25
1020.0,1965-08-26
1180.0,1965-08-27
1440.0,1965-08-28
1350.0,1965-08-29
1240.0,1965-08-30
1590.0,1965-08-31
2360.0,1965-09-01
1900.0,1965-09-02
1520.0,1965-09-03
1440.0,1965-09-04
1680.0,1965-09-05
1900.0,1965-09-06
2000.0,1965-09-07
1950.0,1965-09-08
1850.0,1965-09-09
1840.0,1965-09-10
2410.0,1965-09-11
2370.0,1965-09-12
1830.0,1965-09-13
1920.0,1965-09-14
2420.0,1965-09-15
1710.0,1965-09-16
1600.0,1965-09-17
1920.0,1965-09-18
1680.0,1965-09-19
1440.0,1965-09-20
1370.0,1965-09-21
1360.0,1965-09-22
1660.0,1965-09-23
1660.0,1965-09-24
1440.0,1965-09-25
1240.0,1965-09-26
1180.0,1965-09-27
1370.0,1965-09-28
1420.0,1965-09-29
1330.0,1965-09-30
1270.0,1965-10-01
1790.0,1965-10-02
1480.0,1965-10-03
1380.0,1965-10-04
1360.0,1965-10-05
1840.0,1965-10-06
1460.0,1965-10-07
1260.0,1965-10-08
1100.0,1965-10-09
1050.0,1965-10-10
1010.0,1965-10-11
970.0,1965-10-12
925.0,1965-10-13
900.0,1965-10-14
880.0,1965-10-15
990.0,1965-10-16
1010.0,1965-10-17
995.0,1965-10-18
915.0,1965-10-19
925.0,1965-10-20
910.0,1965-10-21
875.0,1965-10-22
835.0,1965-10-23
795.0,1965-10-24
880.0,1965-10-25
770.0,1965-10-26
710.0,1965-10-27
690.0,1965-10-28
680.0,1965-10-29
655.0,1965-10-30
635.0,1965-10-31
620.0,1965-11-01
605.0,1965-11-02
575.0,1965-11-03
550.0,1965-11-04
550.0,1965-11-05
540.0,1965-11-06
530.0,1965-11-07
525.0,1965-11-08
520.0,1965-11-09
515.0,1965-11-10
505.0,1965-11-11
500.0,1965-11-12
480.0,1965-11-13
480.0,1965-11-14
464.0,1965-11-15
456.0,1965-11-16
448.0,1965-11-17
440.0,1965-11-18
428.0,1965-11-19
416.0,1965-11-20
412.0,1965-11-21
420.0,1965-11-22
424.0,1965-11-23
416.0,1965-11-24
542.0,1965-11-25
440.0,1965-11-26
472.0,1965-11-27
460.0,1965-11-28
452.0,1965-11-29
440.0,1965-11-30
432.0,1965-12-01
396.0,1965-12-02
376.0,1965-12-03
364.0,1965-12-04
344.0,1965-12-05
340.0,1965-12-06
336.0,1965-12-07
336.0,1965-12-08
332.0,1965-12-09
320.0,1965-12-10
324.0,1965-12-11
332.0,1965-12-12
316.0,1965-12-13
312.0,1965-12-14
304.0,1965-12-15
296.0,1965-12-16
292.0,1965-12-17
288.0,1965-12-18
304.0,1965-12-19
368.0,1965-12-20
408.0,1965-12-21
