stage,datetime,discharge,log_stage,log_discharge
4.25,1965-01-01,340.0,0.6283889300503115,2.531478917042255
4.24,1965-01-02,336.0,0.6273658565927327,2.526339277389844
4.23,1965-01-03,332.0,0.6263403673750424,2.5211380837040362
4.23,1965-01-04,332.0,0.6263403673750424,2.5211380837040362
4.22,1965-01-05,328.0,0.6253124509616739,2.515873843711679
4.21,1965-01-06,324.0,0.6242820958356683,2.510545010206612
4.19,1965-01-07,316.0,0.6222140229662954,2.499687082618404
4.16,1965-01-08,304.0,0.6190933306267428,2.482873583608754
4.14,1965-01-09,296.0,0.617000341120899,2.4712917110589387
4.13,1965-01-10,292.0,0.615950051656401,2.4653828514484184
4.13,1965-01-11,292.0,0.615950051656401,2.4653828514484184
4.12,1965-01-12,288.0,0.6148972160331346,2.459392487759231
4.11,1965-01-13,284.0,0.6138418218760693,2.4533183400470375
4.08,1965-01-14,272.0,0.6106601630898799,2.4345689040341987
4.07,1965-01-15,268.0,0.60959440922522,2.428134794028789
4.0,1965-01-16,240.0,0.6020599913279624,2.380211241711606
4.18,1965-01-17,312.0,0.6211762817750351,2.494154594018443
4.15,1965-01-18,300.0,0.6180480967120927,2.4771212547196626
4.14,1965-01-19,296.0,0.617000341120899,2.4712917110589387
4.11,1965-01-20,284.0,0.6138418218760693,2.4533183400470375
4.08,1965-01-21,272.0,0.6106601630898799,2.4345689040341987
4.05,1965-01-22,260.0,0.6074550232146685,2.4149733479708178
4.01,1965-01-23,244.0,0.6031443726201823,2.387389826338729
3.99,1965-01-24,237.0,0.6009728956867483,2.374748346010104
3.98,1965-01-25,234.0,0.5998830720736879,2.369215857410143
3.97,1965-01-26,231.0,0.5987905067631151,2.3636119798921444
3.96,1965-01-27,228.0,0.5976951859255123,2.357934847000454
3.94,1965-01-28,222.0,0.5954962218255742,2.346352974450639
3.93,1965-01-29,219.0,0.5943925503754267,2.3404441148401185
3.92,1965-01-30,216.0,0.5932860670204573,2.3344537511509307
3.92,1965-01-31,216.0,0.5932860670204573,2.3344537511509307
3.91,1965-02-01,213.0,0.5921767573958668,2.3283796034387376
3.91,1965-02-02,213.0,0.5921767573958668,2.3283796034387376
3.89,1965-02-03,207.0,0.5899496013257077,2.315970345456918
3.88,1965-02-04,204.0,0.5888317255942073,2.3096301674258988
3.87,1965-02-05,201.0,0.5877109650189114,2.303196057420489
3.88,1965-02-06,204.0,0.5888317255942073,2.3096301674258988
3.9,1965-02-07,210.0,0.5910646070264992,2.322219294733919
3.88,1965-02-08,204.0,0.5888317255942073,2.3096301674258988
3.85,1965-02-09,195.0,0.5854607295085007,2.290034611362518
3.84,1965-02-10,192.0,0.5843312243675308,2.2833012287035497
3.83,1965-02-11,189.0,0.5831987739686227,2.2764618041732443
3.81,1965-02-12,183.0,0.5809249756756193,2.2624510897304293
3.79,1965-02-13,177.0,0.5786392099680724,2.247973266361807
3.78,1965-02-14,174.0,0.5774917998372253,2.2405492482826
3.77,1965-02-15,171.0,0.5763413502057929,2.2329961103921536
3.76,1965-02-16,168.0,0.5751878449276611,2.225309281725863
3.75,1965-02-17,165.0,0.5740312677277188,2.2174839442139063
3.75,1965-02-18,165.0,0.5740312677277188,2.2174839442139063
3.74,1965-02-19,162.0,0.5728716022004802,2.2095150145426308
3.73,1965-02-20,159.0,0.5717088318086876,2.2013971243204513
3.72,1965-02-21,156.0,0.5705429398818975,2.1931245983544616
3.74,1965-02-22,162.0,0.5728716022004802,2.2095150145426308
3.78,1965-02-23,174.0,0.5774917998372253,2.2405492482826
3.79,1965-02-24,177.0,0.5786392099680724,2.247973266361807
3.78,1965-02-25,174.0,0.5774917998372253,2.2405492482826
3.77,1965-02-26,171.0,0.5763413502057929,2.2329961103921536
3.74,1965-02-27,162.0,0.5728716022004802,2.2095150145426308
3.72,1965-02-28,156.0,0.5705429398818975,2.1931245983544616
3.7,1965-03-01,150.0,0.568201724066995,2.1760912590556813
