stage,datetime
4.25,1965-01-01
4.24,1965-01-02
4.23,1965-01-03
4.23,1965-01-04
4.22,1965-01-05
4.21,1965-01-06
4.19,1965-01-07
4.16,1965-01-08
4.14,1965-01-09
4.13,1965-01-10
4.13,1965-01-11
4.12,1965-01-12
4.11,1965-01-13
4.08,1965-01-14
4.07,1965-01-15
4.0,1965-01-16
4.18,1965-01-17
4.15,1965-01-18
4.14,1965-01-19
4.11,1965-01-20
4.08,1965-01-21
4.05,1965-01-22
4.01,1965-01-23
3.99,1965-01-24
3.98,1965-01-25
3.97,1965-01-26
3.96,1965-01-27
3.94,1965-01-28
3.93,1965-01-29
3.92,1965-01-30
3.92,1965-01-31
3.91,1965-02-01
3.91,1965-02-02
3.89,1965-02-03
3.88,1965-02-04
3.87,1965-02-05
3.88,1965-02-06
3.9,1965-02-07
3.88,1965-02-08
3.85,1965-02-09
3.84,1965-02-10
3.83,1965-02-11
3.81,1965-02-12
3.79,1965-02-13
3.78,1965-02-14
3.77,1965-02-15
3.76,1965-02-16
3.75,1965-02-17
3.75,1965-02-18
3.74,1965-02-19
3.73,1965-02-20
3.72,1965-02-21
3.74,1965-02-22
3.78,1965-02-23
3.79,1965-02-24
3.78,1965-02-25
3.77,1965-02-26
3.74,1965-02-27
3.72,1965-02-28
3.7,1965-03-01
3.69,1965-03-02
3.68,1965-03-03
3.68,1965-03-04
3.67,1965-03-05
3.66,1965-03-06
3.65,1965-03-07
3.64,1965-03-08
3.63,1965-03-09
3.63,1965-03-10
3.62,1965-03-11
3.6,1965-03-12
3.62,1965-03-13
3.61,1965-03-14
3.61,1965-03-15
3.59,1965-03-16
3.59,1965-03-17
3.58,1965-03-18
3.56,1965-03-19
3.56,1965-03-20
3.56,1965-03-21
3.55,1965-03-22
3.55,1965-03-23
3.55,1965-03-24
3.54,1965-03-25
3.54,1965-03-26
3.53,1965-03-27
3.52,1965-03-28
3.52,1965-03-29
3.51,1965-03-30
3.54,1965-03-31
3.56,1965-04-01
3.54,1965-04-02
3.54,1965-04-03
3.58,1965-04-04
3.52,1965-04-05
3.58,1965-04-06
3.58,1965-04-07
3.62,1965-04-08
3.64,1965-04-09
3.62,1965-04-10
3.57,1965-04-11
3.55,1965-04-12
3.56,1965-04-13
3.55,1965-04-14
3.54,1965-04-15
3.53,1965-04-16
3.51,1965-04-17
3.49,1965-04-18
3.47,1965-04-19
3.51,1965-04-20
3.5,1965-04-21
3.51,1965-04-22
3.54,1965-04-23
3.57,1965-04-24
3.54,1965-04-25
3.53,1965-04-26
3.52,1965-04-27
3.54,1965-04-28
3.57,1965-04-29
3.56,1965-04-30
3.59,1965-05-01
3.54,1965-05-02
3.53,1965-05-03
3.56,1965-05-04
3.61,1965-05-05
3.76,1965-05-06
3.94,1965-05-07
3.88,1965-05-08
3.74,1965-05-09
3.69,1965-05-10
3.64,1965-05-11
3.5,1965-05-12
3.56,1965-05-13
3.6,1965-05-14
3.58,1965-05-15
3.59,1965-05-16
3.62,1965-05-17
3.6,1965-05-18
3.6,1965-05-19
3.62,1965-05-20
3.66,1965-05-21
3.7,1965-05-22
3.69,1965-05-23
3.66,1965-05-24
3.65,1965-05-25
3.76,1965-05-26
3.72,1965-05-27
3.94,1965-05-28
4.24,1965-05-29
4.74,1965-05-30
4.72,1965-05-31
4.42,1965-06-01
4.4,1965-06-02
4.22,1965-06-03
4.11,1965-06-04
4.11,1965-06-05
4.08,1965-06-06
4.2,1965-06-07
4.24,1965-06-08
4.56,1965-06-09
4.69,1965-06-10
5.4,1965-06-11
6.08,1965-06-12
5.8,1965-06-13
5.7,1965-06-14
5.35,1965-06-15
5.12,1965-06-16
5.12,1965-06-17
5.58,1965-06-18
5.74,1965-06-19
6.12,1965-06-20
5.93,1965-06-21
5.7,1965-06-22
5.72,1965-06-23
5.32,1965-06-24
6.7,1965-06-25
6.3,1965-06-26
6.42,1965-06-27
6.08,1965-06-28
5.6,1965-06-29
5.49,1965-06-30
5.39,1965-07-01
5.13,1965-07-02
4.98,1965-07-03
5.42,1965-07-04
5.27,1965-07-05
5.17,1965-07-06
5.13,1965-07-07
5.3,1965-07-08
5.47,1965-07-09
5.8,1965-07-10
6.17,1965-07-11
6.71,1965-07-12
7.77,1965-07-13
7.72,1965-07-14
7.17,1965-07-15
7.06,1965-07-16
6.56,1965-07-17
6.35,1965-07-18
6.22,1965-07-19
6.25,1965-07-20
6.03,1965-07-21
5.93,1965-07-22
5.88,1965-07-23
6.18,1965-07-24
6.48,1965-07-25
7.14,1965-07-26
8.02,1965-07-27
7.8,1965-07-28
7.66,1965-07-29
7.5,1965-07-30
7.22,1965-07-31
6.97,1965-08-01
6.7,1965-08-02
6.38,1965-08-03
6.22,1965-08-04
6.43,1965-08-05
7.13,1965-08-06
6.71,1965-08-07
6.42,1965-08-08
6.73,1965-08-09
6.0,1965-08-10
5.9,1965-08-11
5.76,1965-08-12
5.66,1965-08-13
5.86,1965-08-14
6.62,1965-08-15
6.64,1965-08-16
5.83,1965-08-17
5.93,1965-08-18
6.21,1965-08-19
5.9,1965-08-20
5.84,1965-08-21
5.82,1965-08-22
5.65,1965-08-23
5.63,1965-08-24
5.72,1965-08-25
5.66,1965-08-26
5.94,1965-08-27
6.36,1965-08-28
6.21,1965-08-29
6.03,1965-08-30
6.62,1965-08-31
7.75,1965-09-01
7.11,1965-09-02
6.5,1965-09-03
6.36,1965-09-04
6.76,1965-09-05
7.12,1965-09-06
7.25,1965-09-07
7.18,1965-09-08
7.05,1965-09-09
7.17,1965-09-10
7.81,1965-09-11
7.76,1965-09-12
7.02,1965-09-13
7.14,1965-09-14
7.82,1965-09-15
6.82,1965-09-16
6.63,1965-09-17
7.14,1965-09-18
6.77,1965-09-19
6.37,1965-09-20
6.25,1965-09-21
6.23,1965-09-22
6.74,1965-09-23
6.74,1965-09-24
6.36,1965-09-25
6.04,1965-09-26
5.94,1965-09-27
6.25,1965-09-28
6.33,1965-09-29
6.16,1965-09-30
6.08,1965-10-01
6.95,1965-10-02
6.43,1965-10-03
6.26,1965-10-04
6.24,1965-10-05
7.03,1965-10-06
6.4,1965-10-07
6.06,1965-10-08
5.8,1965-10-09
5.71,1965-10-10
5.66,1965-10-11
5.58,1965-10-12
5.49,1965-10-13
5.44,1965-10-14
5.4,1965-10-15
5.62,1965-10-16
5.65,1965-10-17
5.63,1965-10-18
5.47,1965-10-19
5.49,1965-10-20
5.46,1965-10-21
5.39,1965-10-22
5.31,1965-10-23
5.23,1965-10-24
5.24,1965-10-25
5.18,1965-10-26
5.06,1965-10-27
5.02,1965-10-28
5.0,1965-10-29
4.95,1965-10-30
4.91,1965-10-31
4.88,1965-11-01
4.85,1965-11-02
4.79,1965-11-03
4.74,1965-11-04
4.74,1965-11-05
4.72,1965-11-06
4.7,1965-11-07
4.69,1965-11-08
4.68,1965-11-09
4.67,1965-11-10
4.65,1965-11-11
4.64,1965-11-12
4.6,1965-11-13
4.6,1965-11-14
4.56,1965-11-15
4.54,1965-11-16
4.52,1965-11-17
4.5,1965-11-18
4.47,1965-11-19
4.44,1965-11-20
4.43,1965-11-21
4.45,1965-11-22
4.46,1965-11-23
4.44,1965-11-24
4.53,1965-11-25
4.5,1965-11-26
4.58,1965-11-27
4.55,1965-11-28
4.53,1965-11-29
4.5,1965-11-30
4.48,1965-12-01
4.39,1965-12-02
4.34,1965-12-03
4.31,1965-12-04
4.26,1965-12-05
4.25,1965-12-06
4.24,1965-12-07
4.24,1965-12-08
4.23,1965-12-09
4.2,1965-12-10
4.21,1965-12-11
4.23,1965-12-12
4.19,1965-12-13
4.18,1965-12-14
4.16,1965-12-15
4.14,1965-12-16
4.13,1965-12-17
4.12,1965-12-18
4.16,1965-12-19
4.32,1965-12-20
4.42,1965-12-21
4.33,1965-12-22
4.24,1965-12-23
4.19,1965-12-24
4.14,1965-12-25
4.12,1965-12-26
4.07,1965-12-27
4.05,1965-12-28
4.03,1965-12-29
4.01,1965-12-30
3.98,1965-12-31
3.97,1966-01-01
3.98,1966-01-02
3.98,1966-01-03
3.98,1966-01-04
3.96,1966-01-05
3.94,1966-01-06
3.93,1966-01-07
3.91,1966-01-08
3.89,1966-01-09
3.99,1966-01-10
3.97,1966-01-11
3.95,1966-01-12
3.92,1966-01-13
3.88,1966-01-14
3.86,1966-01-15
3.84,1966-01-16
3.83,1966-01-17
3.81,1966-01-18
3.8,1966-01-19
3.8,1966-01-20
