datetime,stage
1965-01-01 00:00:00,4.25
1965-01-02 00:00:00,4.24
1965-01-03 00:00:00,4.23
1965-01-04 00:00:00,4.23
1965-01-05 00:00:00,4.22
1965-01-06 00:00:00,4.21
1965-01-07 00:00:00,4.19
1965-01-08 00:00:00,4.16
1965-01-09 00:00:00,4.14
1965-01-10 00:00:00,4.13
1965-01-11 00:00:00,4.13
1965-01-12 00:00:00,4.12
1965-01-13 00:00:00,4.11
1965-01-14 00:00:00,4.08
1965-01-15 00:00:00,4.07
1965-01-16 00:00:00,4.0
1965-01-17 00:00:00,4.18
1965-01-18 00:00:00,4.15
1965-01-19 00:00:00,4.14
1965-01-20 00:00:00,4.11
1965-01-21 00:00:00,4.08
1965-01-22 00:00:00,4.05
1965-01-23 00:00:00,4.01
1965-01-24 00:00:00,3.99
1965-01-25 00:00:00,3.98
1965-01-26 00:00:00,3.97
1965-01-27 00:00:00,3.96
1965-01-28 00:00:00,3.94
1965-01-29 00:00:00,3.93
1965-01-30 00:00:00,3.92
1965-01-31 00:00:00,3.92
1965-02-01 00:00:00,3.91
1965-02-02 00:00:00,3.91
1965-02-03 00:00:00,3.89
1965-02-04 00:00:00,3.88
1965-02-05 00:00:00,3.87
1965-02-06 00:00:00,3.88
1965-02-07 00:00:00,3.9
1965-02-08 00:00:00,3.88
1965-02-09 00:00:00,3.85
1965-02-10 00:00:00,3.84
1965-02-11 00:00:00,3.83
1965-02-12 00:00:00,3.81
1965-02-13 00:00:00,3.79
1965-02-14 00:00:00,3.78
1965-02-15 00:00:00,3.77
1965-02-16 00:00:00,3.76
1965-02-17 00:00:00,3.75
1965-02-18 00:00:00,3.75
1965-02-19 00:00:00,3.74
1965-02-20 00:00:00,3.73
1965-02-21 00:00:00,3.72
1965-02-22 00:00:00,3.74
1965-02-23 00:00:00,3.78
1965-02-24 00:00:00,3.79
1965-02-25 00:00:00,3.78
1965-02-26 00:00:00,3.77
1965-02-27 00:00:00,3.74
1965-02-28 00:00:00,3.72
1965-03-01 00:00:00,3.7
1965-03-02 00:00:00,3.69
1965-03-03 00:00:00,3.68
1965-03-04 00:00:00,3.68
1965-03-05 00:00:00,3.67
1965-03-06 00:00:00,3.66
1965-03-07 00:00:00,3.65
1965-03-08 00:00:00,3.64
1965-03-09 00:00:00,3.63
1965-03-10 00:00:00,3.63
1965-03-11 00:00:00,3.62
1965-03-12 00:00:00,3.6
1965-03-13 00:00:00,3.62
1965-03-14 00:00:00,3.61
1965-03-15 00:00:00,3.61
1965-03-16 00:00:00,3.59
1965-03-17 00:00:00,3.59
1965-03-18 00:00:00,3.58
1965-03-19 00:00:00,3.56
1965-03-20 00:00:00,3.56
1965-03-21 00:00:00,3.56
1965-03-22 00:00:00,3.55
1965-03-23 00:00:00,3.55
1965-03-24 00:00:00,3.55
1965-03-25 00:00:00,3.54
1965-03-26 00:00:00,3.54
1965-03-27 00:00:00,3.53
1965-03-28 00:00:00,3.52
1965-03-29 00:00:00,3.52
1965-03-30 00:00:00,3.51
1965-03-31 00:00:00,3.54
1965-04-01 00:00:00,3.56
1965-04-02 00:00:00,3.54
1965-04-03 00:00:00,3.54
1965-04-04 00:00:00,3.58
1965-04-05 00:00:00,3.52
1965-04-06 00:00:00,3.58
1965-04-07 00:00:00,3.58
1965-04-08 00:00:00,3.62
1965-04-09 00:00:00,3.64
1965-04-10 00:00:00,3.62
1965-04-11 00:00:00,3.57
1965-04-12 00:00:00,3.55
1965-04-13 00:00:00,3.56
1965-04-14 00:00:00,3.55
1965-04-15 00:00:00,3.54
1965-04-16 00:00:00,3.53
1965-04-17 00:00:00,3.51
1965-04-18 00:00:00,3.49
1965-04-19 00:00:00,3.47
1965-04-20 00:00:00,3.51
1965-04-21 00:00:00,3.5
1965-04-22 00:00:00,3.51
1965-04-23 00:00:00,3.54
1965-04-24 00:00:00,3.57
1965-04-25 00:00:00,3.54
1965-04-26 00:00:00,3.53
1965-04-27 00:00:00,3.52
1965-04-28 00:00:00,3.54
1965-04-29 00:00:00,3.57
1965-04-30 00:00:00,3.56
1965-05-01 00:00:00,3.59
1965-05-02 00:00:00,3.54
1965-05-03 00:00:00,3.53
1965-05-04 00:00:00,3.56
1965-05-05 00:00:00,3.61
1965-05-06 00:00:00,3.76
1965-05-07 00:00:00,3.94
1965-05-08 00:00:00,3.88
1965-05-09 00:00:00,3.74
1965-05-10 00:00:00,3.69
1965-05-11 00:00:00,3.64
1965-05-12 00:00:00,3.5
1965-05-13 00:00:00,3.56
1965-05-14 00:00:00,3.6
1965-05-15 00:00:00,3.58
1965-05-16 00:00:00,3.59
1965-05-17 00:00:00,3.62
1965-05-18 00:00:00,3.6
1965-05-19 00:00:00,3.6
1965-05-20 00:00:00,3.62
1965-05-21 00:00:00,3.66
1965-05-22 00:00:00,3.7
1965-05-23 00:00:00,3.69
1965-05-24 00:00:00,3.66
1965-05-25 00:00:00,3.65
1965-05-26 00:00:00,3.76
1965-05-27 00:00:00,3.72
1965-05-28 00:00:00,3.94
1965-05-29 00:00:00,4.24
1965-05-30 00:00:00,4.74
1965-05-31 00:00:00,4.72
1965-06-01 00:00:00,4.42
1965-06-02 00:00:00,4.4
1965-06-03 00:00:00,4.22
1965-06-04 00:00:00,4.11
1965-06-05 00:00:00,4.11
1965-06-06 00:00:00,4.08
1965-06-07 00:00:00,4.2
1965-06-08 00:00:00,4.24
1965-06-09 00:00:00,4.56
1965-06-10 00:00:00,4.69
1965-06-11 00:00:00,5.4
1965-06-12 00:00:00,6.08
1965-06-13 00:00:00,5.8
1965-06-14 00:00:00,5.7
1965-06-15 00:00:00,5.35
1965-06-16 00:00:00,5.12
1965-06-17 00:00:00,5.12
1965-06-18 00:00:00,5.58
1965-06-19 00:00:00,5.74
1965-06-20 00:00:00,6.12
1965-06-21 00:00:00,5.93
1965-06-22 00:00:00,5.7
1965-06-23 00:00:00,5.72
1965-06-24 00:00:00,5.32
1965-06-25 00:00:00,6.7
1965-06-26 00:00:00,6.3
1965-06-27 00:00:00,6.42
1965-06-28 00:00:00,6.08
1965-06-29 00:00:00,5.6
1965-06-30 00:00:00,5.49
1965-07-01 00:00:00,5.39
1965-07-02 00:00:00,5.13
1965-07-03 00:00:00,4.98
1965-07-04 00:00:00,5.42
1965-07-05 00:00:00,5.27
1965-07-06 00:00:00,5.17
1965-07-07 00:00:00,5.13
1965-07-08 00:00:00,5.3
1965-07-09 00:00:00,5.47
1965-07-10 00:00:00,5.8
1965-07-11 00:00:00,6.17
1965-07-12 00:00:00,6.71
1965-07-13 00:00:00,7.77
1965-07-14 00:00:00,7.72
1965-07-15 00:00:00,7.17
1965-07-16 00:00:00,7.06
1965-07-17 00:00:00,6.56
1965-07-18 00:00:00,6.35
1965-07-19 00:00:00,6.22
1965-07-20 00:00:00,6.25
1965-07-21 00:00:00,6.03
1965-07-22 00:00:00,5.93
1965-07-23 00:00:00,5.88
1965-07-24 00:00:00,6.18
1965-07-25 00:00:00,6.48
1965-07-26 00:00:00,7.14
1965-07-27 00:00:00,8.02
1965-07-28 00:00:00,7.8
1965-07-29 00:00:00,7.66
1965-07-30 00:00:00,7.5
1965-07-31 00:00:00,7.22
1965-08-01 00:00:00,6.97
1965-08-02 00:00:00,6.7
1965-08-03 00:00:00,6.38
1965-08-04 00:00:00,6.22
1965-08-05 00:00:00,6.43
1965-08-06 00:00:00,7.13
1965-08-07 00:00:00,6.71
1965-08-08 00:00:00,6.42
1965-08-09 00:00:00,6.73
1965-08-10 00:00:00,6.0
1965-08-11 00:00:00,5.9
1965-08-12 00:00:00,5.76
1965-08-13 00:00:00,5.66
1965-08-14 00:00:00,5.86
1965-08-15 00:00:00,6.62
1965-08-16 00:00:00,6.64
1965-08-17 00:00:00,5.83
1965-08-18 00:00:00,5.93
1965-08-19 00:00:00,6.21
1965-08-20 00:00:00,5.9
1965-08-21 00:00:00,5.84
1965-08-22 00:00:00,5.82
1965-08-23 00:00:00,5.65
1965-08-24 00:00:00,5.63
1965-08-25 00:00:00,5.72
1965-08-26 00:00:00,5.66
1965-08-27 00:00:00,5.94
1965-08-28 00:00:00,6.36
1965-08-29 00:00:00,6.21
1965-08-30 00:00:00,6.03
1965-08-31 00:00:00,6.62
1965-09-01 00:00:00,7.75
1965-09-02 00:00:00,7.11
1965-09-03 00:00:00,6.5
1965-09-04 00:00:00,6.36
1965-09-05 00:00:00,6.76
1965-09-06 00:00:00,7.12
1965-09-07 00:00:00,7.25
1965-09-08 00:00:00,7.18
1965-09-09 00:00:00,7.05
1965-09-10 00:00:00,7.17
1965-09-11 00:00:00,7.81
1965-09-12 00:00:00,7.76
1965-09-13 00:00:00,7.02
1965-09-14 00:00:00,7.14
1965-09-15 00:00:00,7.82
1965-09-16 00:00:00,6.82
1965-09-17 00:00:00,6.63
1965-09-18 00:00:00,7.14
1965-09-19 00:00:00,6.77
1965-09-20 00:00:00,6.37
1965-09-21 00:00:00,6.25
1965-09-22 00:00:00,6.23
1965-09-23 00:00:00,6.74
1965-09-24 00:00:00,6.74
1965-09-25 00:00:00,6.36
1965-09-26 00:00:00,6.04
1965-09-27 00:00:00,5.94
1965-09-28 00:00:00,6.25
1965-09-29 00:00:00,6.33
1965-09-30 00:00:00,6.16
1965-10-01 00:00:00,6.08
1965-10-02 00:00:00,6.95
1965-10-03 00:00:00,6.43
1965-10-04 00:00:00,6.26
1965-10-05 00:00:00,6.24
1965-10-06 00:00:00,7.03
1965-10-07 00:00:00,6.4
1965-10-08 00:00:00,6.06
1965-10-09 00:00:00,5.8
1965-10-10 00:00:00,5.71
1965-10-11 00:00:00,5.66
1965-10-12 00:00:00,5.58
1965-10-13 00:00:00,5.49
1965-10-14 00:00:00,5.44
1965-10-15 00:00:00,5.4
1965-10-16 00:00:00,5.62
1965-10-17 00:00:00,5.65
1965-10-18 00:00:00,5.63
1965-10-19 00:00:00,5.47
1965-10-20 00:00:00,5.49
1965-10-21 00:00:00,5.46
1965-10-22 00:00:00,5.39
1965-10-23 00:00:00,5.31
1965-10-24 00:00:00,5.23
1965-10-25 00:00:00,5.24
1965-10-26 00:00:00,5.18
1965-10-27 00:00:00,5.06
1965-10-28 00:00:00,5.02
1965-10-29 00:00:00,5.0
1965-10-30 00:00:00,4.95
1965-10-31 00:00:00,4.91
1965-11-01 00:00:00,4.88
1965-11-02 00:00:00,4.85
1965-11-03 00:00:00,4.79
1965-11-04 00:00:00,4.74
1965-11-05 00:00:00,4.74
1965-11-06 00:00:00,4.72
1965-11-07 00:00:00,4.7
1965-11-08 00:00:00,4.69
1965-11-09 00:00:00,4.68
1965-11-10 00:00:00,4.67
1965-11-11 00:00:00,4.65
1965-11-12 00:00:00,4.64
1965-11-13 00:00:00,4.6
1965-11-14 00:00:00,4.6
1965-11-15 00:00:00,4.56
1965-11-16 00:00:00,4.54
1965-11-17 00:00:00,4.52
1965-11-18 00:00:00,4.5
1965-11-19 00:00:00,4.47
1965-11-20 00:00:00,4.44
1965-11-21 00:00:00,4.43
1965-11-22 00:00:00,4.45
1965-11-23 00:00:00,4.46
1965-11-24 00:00:00,4.44
1965-11-25 00:00:00,4.53
1965-11-26 00:00:00,4.5
1965-11-27 00:00:00,4.58
1965-11-28 00:00:00,4.55
1965-11-29 00:00:00,4.53
1965-11-30 00:00:00,4.5
1965-12-01 00:00:00,4.48
1965-12-02 00:00:00,4.39
1965-12-03 00:00:00,4.34
1965-12-04 00:00:00,4.31
1965-12-05 00:00:00,4.26
1965-12-06 00:00:00,4.25
1965-12-07 00:00:00,4.24
1965-12-08 00:00:00,4.24
1965-12-09 00:00:00,4.23
1965-12-10 00:00:00,4.2
1965-12-11 00:00:00,4.21
1965-12-12 00:00:00,4.23
1965-12-13 00:00:00,4.19
1965-12-14 00:00:00,4.18
1965-12-15 00:00:00,4.16
1965-12-16 00:00:00,4.14
1965-12-17 00:00:00,4.13
1965-12-18 00:00:00,4.12
1965-12-19 00:00:00,4.16
1965-12-20 00:00:00,4.32
1965-12-21 00:00:00,4.42
1965-12-22 00:00:00,4.33
1965-12-23 00:00:00,4.24
