datetime,observation,prediction
2012-01-01,7153.668960786018,3886.9897
2012-01-02,6963.897019432236,3841.878
2012-01-03,6776.002996745631,3832.111
2012-01-04,6633.594971895573,3831.3833
2012-01-05,6449.04865758097,3823.9963
2012-01-06,6245.059968578297,3763.2432
2012-01-07,6191.779248644135,3656.6184
2012-01-08,6277.108697084024,3560.7131
2012-01-09,6438.252541377359,3480.6155
2012-01-10,6438.252541377359,3416.6104
2012-01-11,6416.680217665791,3378.9712
2012-01-12,6352.1227302706675,3346.2140000000004
2012-01-13,6245.0599685783,3284.0647
2012-01-14,6223.727591210161,3193.683
2012-01-15,6149.27533782664,3109.8267
2012-01-16,6001.35929167931,3052.724
2012-01-17,5833.935474047271,3010.6885
2012-01-18,5678.559175557556,2976.4856
2012-01-19,5565.597064866704,2951.7197
2012-01-20,5423.034840697879,2921.9136
2012-01-21,5362.352940793167,2880.1917
2012-01-22,5301.921839821215,2847.5596
2012-01-23,5261.7741462737185,2839.671
2012-01-24,5211.747098206934,2831.4978
2012-01-25,5181.815077386839,2810.2637
2012-01-26,5142.004160204072,2798.6926
2012-01-27,5171.851793314862,2800.107
2012-01-28,5231.736883325113,2769.5193
2012-01-29,5311.976241287495,2718.2524
2012-01-30,5352.263653643982,2719.3882
2012-01-31,5311.976241287495,2779.1719
2012-02-01,5181.815077386839,2863.2222
2012-02-02,5052.842082795987,2924.0542
2012-02-03,4925.065266490422,2921.233
2012-02-04,4750.13357307377,2853.2134
2012-02-05,4577.533248639448,2761.1357
2012-02-06,4482.6600375689195,2694.6692
2012-02-07,4435.4972046473995,2659.8792
2012-02-08,4426.086605602999,2633.307
2012-02-09,4444.915131719135,2597.1118
2012-02-10,4454.3403826767735,2556.781
2012-02-11,4407.287408201582,2523.1438
2012-02-12,4369.777132832061,2477.8374
2012-02-13,4323.054858347152,2410.6316
2012-02-14,4267.231661846801,2336.2493
2012-02-15,4239.41995925565,2263.1191
2012-02-16,4119.675442500229,2190.8887
2012-02-17,4037.514715747621,2128.4814
2012-02-18,4010.262896501956,2087.9128
2012-02-19,3964.993809207922,2076.8096
2012-02-20,3955.962624483612,2084.302
2012-02-21,3964.993809207922,2080.6155
2012-02-22,3974.0325442754242,2052.6187
2012-02-23,3955.962624483612,2011.2136
2012-02-24,3901.934331057621,1974.5479
2012-02-25,3839.24640581232,1947.7039
2012-02-26,3866.0670606540525,1926.0417
2012-02-27,3901.934331057621,1904.8839
2012-02-28,3875.022487918361,1872.5978
2012-02-29,3839.24640581232,1833.9218
2012-03-01,3785.8108420276894,1791.2413
2012-03-02,3688.56110575952,1742.2202
2012-03-03,3600.960297351959,1688.3739
2012-03-04,3662.1998189099104,1645.0709
2012-03-05,3662.1998189099104,1618.4889
2012-03-06,3653.428140553704,1597.885
2012-03-07,3679.766306427472,1574.1942
2012-03-08,3697.3636022718047,1545.2894
2012-03-09,3706.1737910760053,1516.4962
2012-03-10,3750.33994911504,1490.636
2012-03-11,3803.5921715293703,1469.1791
2012-03-12,3812.494290319216,1451.9215
2012-03-13,3759.1961895994373,1441.5454
2012-03-14,3706.1737910760057,1438.9772
2012-03-15,3635.9079392992962,1456.1211
2012-03-16,3574.8308883027366,1508.4608
2012-03-17,3479.621746271238,1629.0033
2012-03-18,3436.657164056941,1780.5770000000002
2012-03-19,3436.657164056941,1891.7971
2012-03-20,3359.8155092129778,1909.7449
2012-03-21,3183.010820790195,1783.882
2012-03-22,3108.3151706810186,1609.9618
2012-03-23,3100.055860465134,1511.8461
2012-03-24,3116.5825373303246,1495.0829
2012-03-25,3183.010820790195,1532.0996
2012-03-26,3216.417277086854,1613.6603
2012-03-27,3199.6980600202064,1721.1185
2012-03-28,3149.732454435472,1831.7462
2012-03-29,3108.3151706810195,1934.4142
2012-03-30,3009.736817105638,2017.6102
2012-03-31,2944.667373083324,2000.0748
2012-04-01,2920.4010289573966,1910.2689
2012-04-02,2880.1210320972805,1797.329
2012-04-03,2960.885812894661,1670.8062
2012-04-04,3017.907126309477,1626.1007
2012-04-05,2985.2746686382484,1857.0497
2012-04-06,2912.3286224527906,2219.5935
2012-04-07,2952.772509278252,2125.3542
2012-04-08,3166.355603993003,1717.4453
2012-04-09,3342.826252008037,1504.1869
2012-04-10,3368.3219771122917,1584.0751
2012-04-11,3351.316932402085,1856.0148
2012-04-12,3283.6130390758503,2222.2366
2012-04-13,3158.0400180005768,2539.965
2012-04-14,3100.055860465134,2522.9788
2012-04-15,3141.432918931741,2406.0315
2012-04-16,3183.010820790195,2403.8003
2012-04-17,3292.048294328148,2422.9702
2012-04-18,3368.3219771122917,2454.9204
2012-04-19,3402.4266534484764,2345.614
2012-04-20,3419.526200494436,2258.5383
2012-04-21,3419.526200494436,2330.9932
2012-04-22,3402.4266534484764,2473.9473
2012-04-23,3393.8886742380314,2626.0527
2012-04-24,3410.9724972860795,2636.8062
2012-04-25,3402.4266534484764,2553.57
2012-04-26,3359.8155092129778,2569.12
2012-04-27,3283.6130390758503,2626.1777
2012-04-28,3266.766352469617,2641.0442
2012-04-29,3334.3434733714216,2595.0732
