observation,datetime,prediction
4918.207372143055,2012-01-01,3794.308
4792.983611990085,2012-01-02,3794.5771
4738.660673433803,2012-01-03,3793.7903
4715.465695161895,2012-01-04,3741.2317
4539.3601937652475,2012-01-05,3631.3413
4456.215192401854,2012-01-06,3534.0256
4723.191599978203,2012-01-07,3454.7625
4863.241156121183,2012-01-08,3388.387
4785.205943559853,2012-01-09,3350.7275
4808.556189925114,2012-01-10,3322.876
4738.660673433803,2012-01-11,3265.1184
4577.38446472443,2012-01-12,3173.9333
4585.006635792882,2012-01-13,3086.407
4607.907767203279,2012-01-14,3028.3499
4509.044730263517,2012-01-15,2987.3145
4396.1857001970475,2012-01-16,2952.1733
4329.095642980889,2012-01-17,2927.597
4284.629904962878,2012-01-18,2898.9075
4174.380360166968,2012-01-19,2856.2615
4130.646977346394,2012-01-20,2819.4402
4123.378461208872,2012-01-21,2812.95
4137.921318160622,2012-01-22,2807.4849
4072.662016813883,2012-01-23,2786.0
3964.9466275842537,2012-01-24,2771.6406
3964.9466275842537,2012-01-25,2778.2722
4036.610929167681,2012-01-26,2755.902
4159.779279454009,2012-01-27,2698.7185
4277.239262767257,2012-01-28,2692.7612
4381.2362308313295,2012-01-29,2752.4373
4381.2362308313295,2012-01-30,2839.0708
4306.836661183977,2012-01-31,2907.886
4240.373166455404,2012-02-01,2911.8955
4101.607870086638,2012-02-02,2846.2498
3865.5989744298345,2012-02-03,2750.0747
3691.050704313848,2012-02-04,2680.0422
3588.0859385662434,2012-02-05,2645.4836
3588.0859385662434,2012-02-06,2621.2117
3622.260221946612,2012-02-07,2586.4866
3635.9711994231307,2012-02-08,2544.636
3615.4135735140003,2012-02-09,2512.3633
3594.909001475441,2012-02-10,2470.7703
3554.059127666895,2012-02-11,2404.0244
3540.489723891389,2012-02-12,2329.064
3506.669587002149,2012-02-13,2256.466
3520.1799156561324,2012-02-14,2183.932
3499.923288789403,2012-02-15,2119.5786
3439.472772950887,2012-02-16,2075.556
3406.0963531150105,2012-02-17,2061.4749
3386.141611750725,2012-02-18,2071.4114
3366.240237720789,2012-02-19,2071.785
3359.618310672401,2012-02-20,2045.475
3359.618310672401,2012-02-21,2003.5494
3346.3922593193483,2012-02-22,1965.6125
3326.5977049468147,2012-02-23,1938.686
3306.8566031105993,2012-02-24,1916.9557
3379.501889308534,2012-02-25,1897.5886
3479.719870895441,2012-02-26,1866.0857
3479.719870895441,2012-02-27,1826.8573
3466.280499850867,2012-02-28,1785.2805
3426.10443362501,2012-02-29,1737.8362
3359.618310672401,2012-03-01,1683.3765
3339.788137119726,2012-03-02,1637.9474
3372.868097615911,2012-03-03,1611.3595
3386.141611750725,2012-03-04,1591.5282
3412.759788102271,2012-03-05,1568.8064
3432.785642081499,2012-03-06,1539.9537
3439.472772950887,2012-03-07,1510.1686
3419.4291486189827,2012-03-08,1482.8156
3426.10443362501,2012-03-09,1453.6119
3466.280499850867,2012-03-10,1436.6111
3432.785642081499,2012-03-11,1430.016
3372.868097615911,2012-03-12,1427.7854
3359.618310672401,2012-03-13,1443.9814
3346.3922593193483,2012-03-14,1491.2109
3326.5977049468147,2012-03-15,1605.7404
3254.475206352289,2012-03-16,1766.1698
3287.168982425862,2012-03-17,1883.2617
3280.6183318593926,2012-03-18,1918.6843
3234.9303427955188,2012-03-19,1797.635
3118.7875120514545,2012-03-20,1609.4768
3023.48005056291,2012-03-21,1502.6653
3055.099630407449,2012-03-22,1483.7179999999996
3042.433836205695,2012-03-23,1516.589
3055.099630407449,2012-03-24,1593.1605
3004.580178642671,2012-03-25,1700.3857
3010.8741436612763,2012-03-26,1815.1187
3048.763740342261,2012-03-27,1918.2312
3023.48005056291,2012-03-28,2015.5348
3029.791990195021,2012-03-29,2007.0022
2979.464267780284,2012-03-30,1914.8108
3086.868830608404,2012-03-31,1803.5826
3023.48005056291,2012-04-01,1673.0385
3093.24061283325,2012-04-02,1548.6451
3150.855536530437,2012-04-03,1492.0598
3029.791990195021,2012-04-04,1538.4398
2879.961085349403,2012-04-05,1596.8683
2898.5007494507695,2012-04-06,1500.5181
3144.4299907954305,2012-04-07,1394.3882
3215.439066246732,2012-04-08,1490.7184
3234.9303427955156,2012-04-09,1751.1954
3228.427295064461,2012-04-10,2149.7932
3196.0014058341103,2012-04-11,2534.8628
3138.0104143822778,2012-04-12,2529.2244
3099.618373196342,2012-04-13,2378.9155
3274.0736279002363,2012-04-14,2373.77
3326.5977049468147,2012-04-15,2386.009
3406.0963531150105,2012-04-16,2389.2913
3554.059127666895,2012-04-17,2290.3484
3581.268774553856,2012-04-18,2221.654
3594.909001475441,2012-04-19,2306.0723
3594.909001475441,2012-04-20,2449.3677
3581.268774553856,2012-04-21,2619.994
3540.489723891389,2012-04-22,2649.0151
3560.85268599174,2012-04-23,2543.3198
3588.0859385662434,2012-04-24,2553.0112
3533.7138804718325,2012-04-25,2614.363
3459.569689679967,2012-04-26,2636.8833
3486.448429710543,2012-04-27,2592.3325
3601.737962273849,2012-04-28,2514.8901
3629.112764250171,2012-04-29,2426.6348
3533.7138804718325,2012-04-30,2396.3462
3466.280499850867,2012-05-01,2481.8528
3601.737962273849,2012-05-02,2521.2456
3684.1451620980683,2012-05-03,2498.9946
3629.1127642501733,2012-05-04,2581.812
3493.1829026839073,2012-05-05,2779.893
3506.669587002146,2012-05-06,3062.0754
3670.3517333584664,2012-05-07,3176.8027
3753.4652416529134,2012-05-08,3035.0027
3684.1451620980683,2012-05-09,2879.3892
3567.6521472559625,2012-05-10,2976.558
3581.268774553856,2012-05-11,3419.1636
3629.112764250171,2012-05-12,3899.472
3656.581852160868,2012-05-13,4659.1157
3656.581852160868,2012-05-14,5228.8564
3823.3728265786353,2012-05-15,4745.1626
3830.3958602666216,2012-05-16,4029.1853
3964.9466275842537,2012-05-17,3651.9175
3957.8123357326735,2012-05-18,3487.011
3816.3556581944267,2012-05-19,3646.0752
4007.875114974565,2012-05-20,4102.81
4072.662016813883,2012-05-21,4745.737
4329.095642980889,2012-05-22,5242.2829999999985
4630.860807839048,2012-05-23,5391.9644
4847.588168628964,2012-05-24,5388.6895
5213.403901481655,2012-05-25,5275.186
5458.486916927152,2012-05-26,4928.0127
5759.333219976177,2012-05-27,4547.51
6189.322370779065,2012-05-28,4491.312
6409.588253603946,2012-05-29,4733.3
6250.643443388243,2012-05-30,4850.4736
6110.885427386537,2012-05-31,4969.115
6215.569144609112,2012-06-01,5317.69
6338.721910823269,2012-06-02,6055.272
6462.973190425168,2012-06-03,6884.2363
6778.394870081493,2012-06-04,7618.0317
7534.495694498698,2012-06-05,8442.662
8266.879586111474,2012-06-06,9046.268
8690.476678192023,2012-06-07,9361.607
9301.75221879579,2012-06-08,9726.158
9513.24757710556,2012-06-09,10106.744
9417.806920515552,2012-06-10,10614.626
9154.99389813104,2012-06-11,11215.056
9217.760272145417,2012-06-12,11361.234
9460.170927449672,2012-06-13,11242.919
9759.13912157692,2012-06-14,11313.934
10204.536814987807,2012-06-15,11276.066
10226.494723342608,2012-06-16,10875.741000000002
9845.335474552121,2012-06-17,10424.521
9386.090704015767,2012-06-18,10049.024
9396.657366641752,2012-06-19,10125.645
10292.497280954798,2012-06-20,10803.865
11887.16316978463,2012-06-21,11934.93
13598.153584532982,2012-06-22,13884.525
14293.835160696035,2012-06-23,16737.178
14089.826587399382,2012-06-24,19407.559
13448.469667441172,2012-06-25,20432.053
13040.730471937319,2012-06-26,19811.049
12832.914377172036,2012-06-27,18409.729
12505.978991458709,2012-06-28,17993.955
12242.428642143534,2012-06-29,19283.47
12457.870795184926,2012-06-30,20891.178
12457.870795184926,2012-07-01,21429.176
12808.565326606033,2012-07-02,20915.305
13498.280533791245,2012-07-03,19691.092
14127.976530821954,2012-07-04,18481.78
16068.08881291508,2012-07-05,18329.26
18464.60486110822,2012-07-06,19010.254
21302.275170912337,2012-07-07,19617.525
22451.093519540933,2012-07-08,19984.934
22482.523411137416,2012-07-09,20329.33
21625.499962276783,2012-07-10,19748.918
20195.947607197064,2012-07-11,19201.928
19586.379258218585,2012-07-12,19148.877
20061.411901127638,2012-07-13,19073.072
19350.806809943067,2012-07-14,18841.379
18149.634859316167,2012-07-15,18896.389
17094.44376668345,2012-07-16,19288.914
16189.723590028147,2012-07-17,19799.098
16230.36125598857,2012-07-18,20609.96
16873.063001366543,2012-07-19,21652.05
16639.285597882812,2012-07-20,22521.111
15705.69092948235,2012-07-21,22857.984
14848.711672420935,2012-07-22,23064.586
13887.153366509065,2012-07-23,23135.05
12967.210165324324,2012-07-24,22510.54
12505.978991458709,2012-07-25,21235.744
12505.978991458709,2012-07-26,20191.389
13411.166516334126,2012-07-27,19915.87
14357.861418304648,2012-07-28,19981.334
15919.99115913536,2012-07-29,20314.377
17094.44376668345,2012-07-30,20586.408
17993.075051667078,2012-07-31,20335.467
19072.750253691607,2012-08-01,20173.623
19852.947774620603,2012-08-02,20087.22
21966.490393310392,2012-08-03,20031.047
28010.08012107812,2012-08-04,20347.225
31876.75316794232,2012-08-05,20822.184
31950.49889952793,2012-08-06,21807.982000000004
30997.85808122634,2012-08-07,22950.074
29771.928268197546,2012-08-08,23843.785
27722.362500000007,2012-08-09,24360.506
27284.711138498587,2012-08-10,24824.846
26280.39025542339,2012-08-11,25632.717
26095.041018487987,2012-08-12,26945.244
26635.895591583256,2012-08-13,28699.25
27079.054509687103,2012-08-14,30121.816000000006
27974.375,2012-08-15,30278.787
27698.147315638358,2012-08-16,29607.977000000006
27456.63236315881,2012-08-17,29097.21
27767.32833161689,2012-08-18,28698.525
28079.614340960616,2012-08-19,28605.465
27405.004401909668,2012-08-20,29654.832
25520.3775,2012-08-21,32289.943
25559.23991318804,2012-08-22,36584.41
25061.52434190013,2012-08-23,41989.207
25525.920349763932,2012-08-24,45773.914
26737.86765910891,2012-08-25,45827.473
27508.30453689577,2012-08-26,43912.152
28358.53546170767,2012-08-27,42240.84400000001
31195.91666666667,2012-08-28,41778.11
31088.887773171627,2012-08-29,41826.71
32394.600981579984,2012-08-30,42112.004
32227.735816208413,2012-08-31,42657.316
30351.015,2012-09-01,43188.875
31052.461320831495,2012-09-02,43328.395
32135.202413058487,2012-09-03,42751.098
34008.83573682848,2012-09-04,42179.56200000001
35484.384607162836,2012-09-05,41540.188
35678.104850140066,2012-09-06,40235.09
34656.86069363956,2012-09-07,40020.098
33065.980219474535,2012-09-08,41362.69
31711.108846164083,2012-09-09,43240.28
30961.48021708319,2012-09-10,43930.836
30001.2325,2012-09-11,43802.656
30616.860311969263,2012-09-12,44716.92
31034.255382186224,2012-09-13,46361.414
31747.884757008305,2012-09-14,47307.242
33630.24616852592,2012-09-15,48395.09400000001
34198.853472397306,2012-09-16,49500.895
32246.25702453912,2012-09-17,49984.027
27332.565,2012-09-18,50063.707
28796.859647200865,2012-09-19,49713.45
27646.313093323173,2012-09-20,48724.63
26517.152313235285,2012-09-21,47860.305
26061.405301306182,2012-09-22,47409.12
26466.336249667616,2012-09-23,46763.49
25870.0975,2012-09-24,44498.863
27164.658723531764,2012-09-25,41270.7
27301.88114681585,2012-09-26,38334.664
26398.65050209308,2012-09-27,36837.035
25011.997827051087,2012-09-28,35255.605
24307.02104467684,2012-09-29,33142.01
24160.62916275935,2012-09-30,32293.752
22924.64141757433,2012-10-01,32974.906
21210.33219651286,2012-10-02,32327.486
20121.15503200273,2012-10-03,31362.416
21011.743452265546,2012-10-04,30950.623
21563.76259463425,2012-10-05,30311.28
21532.924031824077,2012-10-06,29494.268
23226.87978397995,2012-10-07,29105.613
21228.2675,2012-10-08,29229.65
22561.185662344076,2012-10-09,29674.002
22028.74937927207,2012-10-10,30897.195
