observation,datetime,prediction
4615.949481593795,2012-01-01,3765.9668
4579.825206535198,2012-01-02,3714.7876
4579.825206535198,2012-01-03,3595.0696
4329.078678196862,2012-01-04,3499.0676
4293.564552411065,2012-01-05,3423.0051
4815.966125564226,2012-01-06,3355.9146
4870.903900185649,2012-01-07,3321.4128
4797.690244339272,2012-01-08,3298.4304
4889.253093339871,2012-01-09,3240.7356
4779.432772996596,2012-01-10,3145.3164
4543.776199412183,2012-01-11,3055.8562
4670.276414640131,2012-01-12,3000.9055
4615.949481593796,2012-01-13,2962.7140000000004
4182.51,2012-01-14,2927.4158
4329.078678196861,2012-01-15,2904.6677
4275.83656658079,2012-01-16,2876.4084
4169.878124193724,2012-01-17,2831.4458
4064.6276754746523,2012-01-18,2793.1
4012.270616360626,2012-01-19,2790.4814
4029.702998009966,2012-01-20,2788.422
4064.6276754746523,2012-01-21,2765.058
3925.4099179924387,2012-01-22,2749.653
3839.055057287947,2012-01-23,2761.6907
3936.35,2012-01-24,2741.6023
4047.155364581921,2012-01-25,2675.4082
4240.4389380700095,2012-01-26,2669.8567
4418.20148257421,2012-01-27,2737.6177
4507.802740653227,2012-01-28,2827.9343
4489.844430279401,2012-01-29,2901.1519
4400.338499492724,2012-01-30,2902.4155
4275.83656658079,2012-01-31,2831.5054
4047.155364581921,2012-02-01,2728.807
3856.2853089581704,2012-02-02,2659.4238
3650.8813618001836,2012-02-03,2629.2083
3515.6155177329024,2012-02-04,2607.5679
3549.3050637971637,2012-02-05,2572.8062
3566.1816833311627,2012-02-06,2528.793
3599.9983788708228,2012-02-07,2498.627
3532.4496594051534,2012-02-08,2458.9167
3498.802686632561,2012-02-09,2389.561
3212.92,2012-02-10,2313.4646
3415.059884066257,2012-02-11,2241.6665
3398.375936984094,2012-02-12,2168.9673
3482.0112142332173,2012-02-13,2104.2512
3381.713643340469,2012-02-14,2060.9263
3298.728742184324,2012-02-15,2048.1304
3282.1974327079383,2012-02-16,2061.6318
3331.8571859572603,2012-02-17,2062.9788
3315.2820104888488,2012-02-18,2033.9253
3265.688134037326,2012-02-19,1991.2274
3282.1974327079383,2012-02-20,1953.3746
3135.39,2012-02-21,1927.887
3199.8720981064644,2012-02-22,1906.3743
3167.097519950083,2012-02-23,1888.4907
3381.713643340469,2012-02-24,1856.6383
3482.0112142332173,2012-02-25,1815.6677
3431.7654347406933,2012-02-26,1774.5320000000004
3415.059884066257,2012-02-27,1727.6466
3365.073053277429,2012-02-28,1672.3334
3199.8720981064644,2012-02-29,1626.2135
3134.412476880754,2012-03-01,1602.0175
3365.073053277429,2012-03-02,1583.434
3348.454217235639,2012-03-03,1561.1001
3398.375936984094,2012-03-04,1531.616
3415.059884066257,2012-03-05,1501.4242
3415.059884066257,2012-03-06,1474.9827
3331.8571859572603,2012-03-07,1444.2158
3415.059884066257,2012-03-08,1424.6709
3431.7654347406933,2012-03-09,1419.3849
3381.713643340469,2012-03-10,1415.6218
